FIPS,food_desert
48201100000,0
48201210100,1
48201210400,1
48201210500,1
48201210600,1
48201210700,0
48201210800,1
48201210900,0
48201211000,0
48201211100,2
48201211200,1
48201211300,2
48201211400,2
48201211500,2
48201211600,1
48201211700,2
48201211900,1
48201212300,1
48201212400,1
48201212500,2
48201220100,1
48201220200,1
48201220300,1
48201220400,0
48201220500,1
48201220600,1
48201220700,1
48201220800,0
48201220900,1
48201221000,1
48201221100,2
48201221200,1
48201221300,2
48201221400,1
48201221500,1
48201221600,2
48201221700,2
48201221800,1
48201221900,1
48201222000,0
48201222100,1
48201222200,1
48201222300,2
48201222401,2
48201222402,2
48201222501,1
48201222502,2
48201222503,1
48201222600,1
48201222700,2
48201222800,2
48201222900,2
48201223001,1
48201223002,1
48201223100,1
48201230100,1
48201230200,2
48201230300,2
48201230400,2
48201230500,1
48201230600,1
48201230700,1
48201230800,2
48201230900,2
48201231000,2
48201231100,1
48201231200,2
48201231300,2
48201231400,1
48201231500,1
48201231600,1
48201231700,1
48201231800,1
48201231900,2
48201232100,1
48201232200,2
48201232302,2
48201232401,2
48201232402,1
48201232403,2
48201232500,2
48201232600,1
48201232701,2
48201232702,1
48201232800,1
48201232900,1
48201233001,0
48201233002,1
48201233003,1
48201233101,1
48201233102,1
48201233103,1
48201233200,1
48201233300,2
48201233400,0
48201233500,1
48201233600,2
48201233701,1
48201233702,1
48201233703,2
48201240100,0
48201240400,2
48201240501,1
48201240502,1
48201240600,0
48201240701,2
48201240702,2
48201240801,2
48201240802,2
48201240901,2
48201240902,2
48201241000,2
48201241101,2
48201241102,2
48201241103,1
48201241200,1
48201241300,2
48201241400,2
48201241500,2
48201250100,2
48201250200,2
48201250301,2
48201250302,1
48201250401,1
48201250402,2
48201250500,2
48201250600,2
48201250702,1
48201250800,2
48201250900,2
48201251000,2
48201251100,2
48201251200,2
48201251300,2
48201251401,2
48201251402,2
48201251501,2
48201251502,2
48201251503,1
48201251700,2
48201251902,2
48201252000,2
48201252100,2
48201252200,2
48201252301,2
48201252302,2
48201252400,1
48201252500,2
48201252600,2
48201252900,2
48201253000,2
48201253100,2
48201253300,2
48201253400,2
48201253500,2
48201253600,1
48201253700,1
48201253800,2
48201253900,1
48201254000,1
48201254100,1
48201254200,2
48201254300,1
48201254400,2
48201254500,2
48201254600,2
48201254700,2
48201310100,2
48201310200,1
48201310300,1
48201310400,2
48201310500,1
48201310600,1
48201310700,1
48201310800,0
48201310900,1
48201311000,1
48201311100,2
48201311200,0
48201311300,1
48201311400,1
48201311500,1
48201311600,0
48201311700,1
48201311800,0
48201311900,1
48201312000,2
48201312100,1
48201312200,0
48201312300,1
48201312400,1
48201312500,1
48201312600,0
48201312700,1
48201312800,2
48201312900,2
48201313000,1
48201313100,1
48201313200,1
48201313300,2
48201313400,1
48201313500,1
48201313600,0
48201313700,0
48201313800,1
48201313900,1
48201314001,0
48201314002,1
48201314300,1
48201314400,1
48201320100,0
48201320200,1
48201320500,2
