rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,Success_Index
2358.0, ALLCOIN,ALC,0,0.00046,0,0.0,0.0,0.0,,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Closed,ICO,2018-08-31 00:00:00,2018-06-15 00:00:00,118,0 days 00:00:00.000000000,0.8381647059999999,0.127294118,0.032411765,0.840470588,17.0,20.0,0.11028202170541926
1753.0, BitGuild PLAT,PLAT,25741,0.000784,0,0.0,0.0,-65.2,Cayman Islands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Closed,ICO,2018-04-06 06:59:59,2018-03-16 00:33:33,92,0 days 00:00:00.000000000,0.9509,0.059,0.049,0.892,1.0,76.0,0.11023023317409097
48.0, Bytom,BTM,120996522,0.279289,122140708,-1.1,-3.2,2.14,China,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,46,0 days 00:00:00.000000000,0.538654902,0.062862745,0.040764706,0.896411765,51.0,92.0,1.0
851.0, Eden,EDN,1153784,1.6e-05,188113,-1.13,-8.91,-9.87,Virgin Islands (British),Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2018-05-25 00:00:00,2018-05-24 00:00:00,211,0 days 00:00:00.000000000,0.547588889,0.073222222,0.025888889,0.900666667,9.0,139.0,0.11009408998380853
1356.0, Soma,SCT,171449,0.000221,20214,0.09,-1.82,-7.99,Finland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-11-14 12:00:00,2017-09-27 12:00:00,90,0 days 00:00:00.000000000,0.7603,0.02,0.005,0.974,1.0,139.0,0.11017737320746752
1039.0, Hacken,HKN,558260,0.001818,314,-37.25,-69.5,-3.91,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2017-11-30 12:00:00,2017-10-31 12:00:00,65,0 days 00:00:00.000000000,0.2263,0.006,0.0,0.994,1.0,147.0,0.10938136255125472
2085.0, Tesra,TSR,0,0.001088,424036,0.09,-2.54,-4.08,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2018-05-28 00:00:00,2018-03-05 00:00:00,14,0 days 00:00:00.000000000,0.501907,0.07946,0.034260000000000006,0.88633,100.0,154.0,0.11403253157138551
834.0, DAEX,DAX,1224336,0.008369,13863965,1.13,3.5,5.8,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2018-09-15 00:00:00,2018-09-09 00:00:00,10,0 days 00:00:00.000000000,-0.6486,0.026,0.962,0.011,1.0,155.0,0.23129120035654332
2059.0, StarChain,STC,0,1.02,1972607,1.91,-15.95,-13.21,,Ethereum,2018-03-31 08:00:00,2018-01-22 08:00:00,4.8,Closed,ICO,2018-07-17 08:00:00,2018-06-17 08:00:00,150,68 days 00:00:00.000000000,0.600258,0.0917,0.04277,0.86554,100.0,169.0,0.12776754618266073
1230.0, Bezop,BEZ,285662,0.000608,10465,-0.16,-2.62,-20.19,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2018-01-10 00:00:00,2017-12-20 00:00:00,389,0 days 00:00:00.000000000,0.264089,0.05583,0.8528399999999999,0.09131,100.0,178.0,0.1099055305017126
1373.0, DeviantCoin,DEV,161166,0.0048460000000000005,125910,-0.06,16.83,13.57,Thailand,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2018-03-30 23:59:59,2018-02-16 00:00:00,42,0 days 00:00:00.000000000,0.15175,0.0055,0.9855,0.009000000000000001,2.0,188.0,0.11113208244906778
801.0, Colu Local Ne...,CLN,1373986,0.000107,1611,-0.1,-4.2,-4.74,Gibraltar,Ethereum,2018-01-17 00:00:00,2017-11-02 00:00:00,4.3,Closed,ICO,2018-02-18 00:00:00,2018-02-14 00:00:00,90,76 days 00:00:00.000000000,-0.0664,0.0135,0.017,0.9695,2.0,215.0,0.10808849759096319
2042.0, Echoin,EC,0,0.00139,5047109,-0.19,-19.28,-27.04,,,2018-07-31 00:00:00,2018-07-01 00:00:00,2.6,Closed,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,90,30 days 00:00:00.000000000,0.620784091,0.103352273,0.049943182,0.846704545,88.0,220.0,0.15503961397571359
850.0, Azbit,AZ,1154256,0.000423,3888,-1.25,-2.72,-10.15,Switzerland,Ethereum,2018-11-30 00:00:00,2018-10-01 00:00:00,4.6,Closed,ICO,2019-06-30 00:00:00,2018-12-01 00:00:00,59,60 days 00:00:00.000000000,0.127433333,0.015,0.013,0.972,3.0,222.0,0.10846056537685766
213.0, Veritaseum,VERI,73853427,0.200478,896373,-0.06,1.0,-1.37,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,43,0 days 00:00:00.000000000,0.733514,0.12577,0.04674,0.8274600000000001,100.0,230.0,0.0
1085.0, Electrify.Asia,ELEC,491880,0.006567,21618,1.18,3.12,-10.99,Singapore,Ethereum,2018-02-15 23:59:59,2018-01-15 00:00:00,4.1,Trading,ICO,2018-03-01 23:59:59,2018-02-23 00:00:00,89,31 days 23:59:59.000000000,0.3775,0.0625,0.00475,0.933,4.0,230.0,0.109677553211449
437.0, Flash,FLASH,5406679,0.0008089999999999999,376062,-0.31,0.79,-2.6,Liechtenstein,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2016-12-23 00:00:00,2016-11-27 00:00:00,35,0 days 00:00:00.000000000,0.578818,0.03027,0.8849600000000001,0.0848,100.0,237.0,0.10495522198737253
248.0, Santiment Net...,SAN,21465139,0.054891,535430,2.23,-1.71,-11.21,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.6,Trading,ICO,2017-08-04 23:59:59,2017-07-04 15:00:00,181,0 days 00:00:00.000000000,-0.177866667,0.006333333000000001,0.011333333,0.982333333,3.0,243.0,0.0806618077665426
1874.0, Eternity,ENT,9743,0.001756,0,0.0,-0.22,-2.06,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,ICO,2017-12-07 00:00:00,2017-11-02 00:00:00,13,0 days 00:00:00.000000000,0.5766,0.014,0.005,0.981,1.0,249.0,0.11025659458967275
