rank_cnc,Name,ticker,market_cap,price,volume24,pct1h,pct24h,pct7d
1, Bitcoin,BTC,"156,629,905,950","8,678.58","19,216,389,896",-0.28,-1.35,-6.14
2, Ethereum,ETH,"20,155,411,771",185.67,"7,906,136,399",-0.1,-1.2,-0.96
3, XRP,XRP,"11,612,597,542",0.268199,"1,265,885,288",-0.57,-1.75,-7.36
4, Bitcoin Cash,BCH,"5,016,918,192",276.97,"1,842,963,894",-0.75,-3.01,-5.39
5, Tether,USDT,"4,135,369,515",1.01,"22,054,927,684",-0.08,0.36,0.34
6, Litecoin,LTC,"3,789,318,881",59.50,"3,035,425,552",0.05,-2.46,-4.08
7, Binance Coin,BNB,"3,277,372,658",21.07,"231,846,713",-0.46,-1.33,2.49
8, EOS,EOS,"3,214,893,394",3.42,"1,735,988,258",0.11,-1.49,-2.55
9, Bitcoin SV,BSV,"2,275,488,045",125.94,"526,955,932",-0.54,-2.27,-5.24
10, Stellar,XLM,"1,486,207,241",0.074107,"215,228,210",-0.96,-2.91,-1.84
11, TRON,TRX,"1,291,760,185",0.019372,"994,049,447",-0.6,-3.79,-1.11
12, Monero,XMR,"1,124,900,671",64.99,"201,498,302",-0.62,-0.49,2.46
13, Cardano,ADA,"1,105,888,653",0.042654,"53,437,224",-0.5,-1.72,-2.12
14, Chainlink,LINK,"1,071,343,419",3.06,"198,766,022",0.25,2.36,13.27
15, UNUS SED LEO,LEO,"960,125,587",0.960607,"9,874,874",-0.09,0.03,-3.02
16, Huobi Token,HT,"913,746,412",3.79,"252,881,495",-0.27,-1.89,-4.79
17, NEO,NEO,"905,300,693",12.83,"539,393,726",-0.54,-2.78,15.23
18, Tezos,XTZ,"821,746,518",1.24,"44,390,717",-0.25,10.13,2.47
19, Cosmos,ATOM,"760,265,147",3.99,"147,439,544",-1.62,1.29,2.14
20, IOTA,MIOTA,"734,718,919",0.264332,"12,949,994",-0.2,2.17,-2.56
21, Maker,MKR,"648,508,753",648.51,"5,647,468",-0.24,-1.22,-2.18
22, Dash,DASH,"632,251,075",69.07,"346,367,843",-0.12,-1.18,-5.06
23, Ethereum Classic,ETC,"547,458,892",4.76,"642,121,534",-0.2,-2.1,-9.16
24, Ontology,ONT,"521,521,369",0.887921,"151,706,591",-0.95,-4.34,0.07
25, USD Coin,USDC,"443,052,752",1.01,"206,362,239",-0.02,0.46,0.48
26, Crypto.com Coin,CRO,"439,760,940",0.037694,"22,132,681",1.12,7.17,-1.59
27, VeChain,VET,"409,600,618",0.007386,"149,690,512",-0.06,17.07,29.48
28, NEM,XEM,"360,395,045",0.040044,"8,053,821",-0.52,-0.97,-4.36
29, Basic Attenti...,BAT,"347,237,523",0.256002,"73,875,875",-1.56,-1.64,1.16
30, Dogecoin,DOGE,"326,591,088",0.002676,"77,442,937",-0.21,-0.16,-1.05
31, Zcash,ZEC,"286,610,830",36.50,"126,441,057",-0.29,-1.3,-5.64
32, Decred,DCR,"245,750,516",23.02,"16,965,158",1.2,4.69,14.03
33, Paxos Standard,PAX,"234,203,207",1.01,"236,369,070",-0.02,0.47,0.52
34, Qtum,QTUM,"224,670,479",2.34,"348,323,741",-0.52,0.08,5.38
