rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts
7, Binance Coin,BNB,"3,277,372,658",21.07,"231,846,713",-0.46,-1.33,2.49,Japan,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,Binance,ICO,2017-07-21 07:00:00,2017-07-01 07:00:00,20 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5637730000000001,0.09667000000000003,0.04140999999999999,0.8618899999999999,100
8, EOS,EOS,"3,214,893,394",3.42,"1,735,988,258",0.11,-1.49,-2.55,Cayman Islands,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,EOS,ICO,2018-06-12 00:00:00,2017-06-26 16:00:00,350 days 08:00:00.000000000,0 days 00:00:00.000000000,0.8284699999999998,0.0322,0.8585499999999997,0.10926999999999998,100
13, Cardano,ADA,"1,105,888,653",0.042654,"53,437,224",-0.5,-1.72,-2.12,Switzerland,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Closed,Cardano,ICO,2017-01-01 00:00:00,2015-09-01 00:00:00,488 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5894741935483871,0.09838709677419354,0.032946236559139766,0.8687526881720431,93
18, Tezos,XTZ,"821,746,518",1.24,"44,390,717",-0.25,10.13,2.47,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Tezos,ICO,2017-07-14 12:00:00,2017-07-01 12:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000,0.663938775510204,0.021938775510204084,0.8788571428571427,0.0993265306122449,49
19, Cosmos,ATOM,"760,265,147",3.99,"147,439,544",-1.62,1.29,2.14,Canada,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Cosmos,ICO,2017-04-06 13:00:00,2017-04-06 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.3404955223880597,0.06068656716417909,0.02322388059701492,0.9161940298507459,67
29, Basic Attenti...,BAT,"347,237,523",0.256002,"73,875,875",-1.56,-1.64,1.16,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Basic Attention,ICO,2017-05-31 23:00:00,2017-05-31 00:00:00,0 days 23:00:00.000000000,0 days 00:00:00.000000000,0.8302950000000001,0.03159999999999998,0.8379100000000003,0.13052999999999995,100
34, Qtum,QTUM,"224,670,479",2.34,"348,323,741",-0.52,0.08,5.38,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,QTUM,ICO,2017-03-21 12:00:00,2017-03-16 12:00:00,5 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6787735294117646,0.02108823529411765,0.9135588235294118,0.06538235294117646,34
36, 0x,ZRX,"171,969,043",0.285660,"20,011,107",-1.93,-5.29,-7.94,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,0x,ICO,2017-08-16 17:00:00,2017-08-15 00:00:00,1 days 17:00:00.000000000,0 days 00:00:00.000000000,0.7294196078431373,0.01784313725490197,0.9040980392156864,0.07807843137254905,51
42, OmiseGO,OMG,"141,224,124",1.01,"90,308,960",-0.97,2.19,1.07,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,OmiseGO,ICO,2017-06-23 13:00:00,2017-06-23 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.7722400000000006,0.038130000000000004,0.8556100000000001,0.10621000000000004,100
47, Augur,REP,"122,772,944",11.16,"9,187,231",-1.84,-3.8,-1.21,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,Augur,ICO,2015-10-01 00:00:00,2015-08-17 00:00:00,45 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6450492307692308,0.0296153846153846,0.8837384615384619,0.08672307692307693,65
