rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,success_PCA
35.0, 0x,ZRX,210898190,0.731445,195643,0.29,-1.2,-4.96,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.6,Trading,ICO,2017-08-16 17:00:00,2017-08-15 00:00:00,31,0,-0.11523333300000001,0.022333332999999997,0.029333333,0.948333333,3.0,364.0,0
359.0, Perlin,PERL,7547077,0.019287000000000002,23506334,0.79,1.16,-8.86,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Upcoming,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,49,0,0.8171666670000001,0.053166667,0.8305,0.11599999999999999,6.0,367.0,0
823.0, Medicalchain,MTN,1279470,0.000174,52,-0.2,-34.19,-6.05,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2018-02-01 00:00:00,2018-02-01 00:00:00,86,0,0.746697183,0.025394366,0.892535211,0.08204225400000001,71.0,381.0,0
1310.0, GoPower,GPT,204249,0.000128,0,0.0,-0.06,5.58,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,ICO,2018-04-30 23:59:00,2018-02-27 00:00:00,60,0,-0.35684,0.0166,0.9758,0.0072,5.0,381.0,0
603.0, Swarm,SWM,2752050,0.002171,5,-0.21,-5.07,2.12,Liechtenstein,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Closed,ICO,2017-10-27 12:00:00,2017-10-21 12:00:00,13,0,0.435584211,0.069210526,0.032684211,0.898157895,19.0,381.0,0
447.0, Genesis Vision,GVT,5270656,0.0016469999999999998,141224,-1.08,-5.29,-5.34,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-11-15 12:00:00,2017-10-15 12:00:00,365,0,0.343957,0.03457,0.01329,0.95214,100.0,388.0,0
738.0, Lendingblock,LND,1767014,0.012879,232964,0.12,-13.15,-38.12,United Kingdom,Ethereum,2018-04-14 15:00:00,2018-04-07 15:00:00,4.4,Trading,ICO,2018-04-18 11:00:00,2018-04-15 15:00:00,33,7,0.8239799999999999,0.1127,0.03258,0.8547299999999999,100.0,390.0,0
615.0, Change,CAG,2655421,0.005933,107409,-1.69,-3.16,9.89,,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-10-16 03:00:00,2017-09-16 15:00:00,2,0,0.72621875,0.1265625,0.025,0.8484375,16.0,393.0,0
1500.0, Bonpay,BON,90375,0.007295,69,-0.2,-2.45,0.24,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2017-11-28 14:00:00,2017-10-31 14:00:00,7,0,0.678585714,0.09157142900000001,0.035714286,0.8727142859999999,7.0,394.0,0
1478.0, Etheera,ETA,101497,0.000177,0,0.0,0.0,-4.57,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,ICO,2018-06-03 10:00:00,2018-02-10 10:00:00,153,0,0.133266667,0.07933333299999999,0.06333333299999999,0.857666667,3.0,397.0,0
1865.0, BowsCoin,BSC,10833,0.000334,21294,0.29,3.43,3.24,United Kingdom,Ethereum,2018-12-13 00:00:00,2018-11-30 00:00:00,4.8,Closed,ICO,2019-03-12 00:00:00,2019-02-27 00:00:00,30,13,0.541983,0.09712,0.04135,0.8615,100.0,398.0,0
982.0, DomRaider,DRT,721728,0.0016010000000000002,27588,-4.22,-8.9,-3.9,France,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2017-10-11 08:00:00,2017-09-12 08:00:00,9,0,0.0,0.0,0.0,0.0,0.0,399.0,0
