country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Aigang,ICO,2017-12-15 12:00:00,2017-11-15 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,AirToken,ICO,2017-09-28 03:00:00,2017-09-19 03:00:00,9 days 00:00:00.000000000,0 days 00:00:00.000000000
Canada,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,Bowhead Health,ICO,2017-08-31 23:59:59,2017-07-17 00:00:00,45 days 23:59:59.000000000,0 days 00:00:00.000000000
Bulgaria,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,aeternity,ICO,2017-06-09 18:30:51,2017-05-29 00:00:36,11 days 18:30:15.000000000,0 days 00:00:00.000000000
Russia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,AdEx,ICO,2017-06-30 11:00:00,2017-06-30 03:00:00,0 days 08:00:00.000000000,0 days 00:00:00.000000000
Marshall Islands,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,Adshares,ICO,2017-08-15 13:00:00,2017-07-07 00:00:00,39 days 13:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Own Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,0.0,Closed,Cardano,ICO,2017-01-01 00:00:00,2015-09-01 00:00:00,488 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Closed,ACT,ICO,2018-01-18 06:00:00,2017-11-18 06:00:00,61 days 00:00:00.000000000,0 days 00:00:00.000000000
Taiwan,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,CryptoABS,ICO,2017-08-04 23:59:59,2017-07-14 00:00:00,21 days 23:59:59.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,1.9,Closed,7ype,ICO,2017-08-17 23:59:59,2017-07-17 00:00:00,31 days 23:59:59.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Closed,21 Million,ICO,2017-07-28 12:00:00,2017-06-12 12:00:00,46 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Trading,FirstBlood,ICO,2016-09-26 00:00:00,2016-09-25 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
Australia,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Unknown,Blockfreight,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,DAO.casino,ICO,2017-07-26 16:00:00,2017-06-29 16:00:00,27 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-08-31 23:00:00,2017-08-11 06:00:00,4.1,Closed,BEEQB,ICO,2017-12-29 00:00:00,2017-11-29 00:00:00,30 days 00:00:00.000000000,20 days 17:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Trading,BlockCDN,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
China,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,LakeBanker,ICO,2017-10-04 15:00:00,2017-09-29 15:00:00,5 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,BeOne,ICO,2017-10-07 12:00:00,2017-09-07 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,Aventus,ICO,2017-09-06 15:07:00,2017-09-06 15:00:00,0 days 00:07:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-08-18 01:00:00,2017-08-01 01:00:00,3.5,Closed,Authoreon,ICO,2017-12-31 00:00:00,2017-08-19 00:00:00,134 days 00:00:00.000000000,17 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Closed,Autoria,ICO,2017-08-04 23:59:59,2017-07-14 00:00:00,21 days 23:59:59.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.3,Unknown,AUcoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.8,Trading,Authorship,ICO,2017-08-29 23:59:59,2017-08-15 00:00:00,14 days 23:59:59.000000000,0 days 00:00:00.000000000
