rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration
2, Ethereum,ETH,"20,155,411,771",185.67,"7,906,136,399",-0.1,-1.2,-0.96,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,Ether,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
3, XRP,XRP,"11,612,597,542",0.268199,"1,265,885,288",-0.57,-1.75,-7.36,United States of America,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,Ripple,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
5, Tether,USDT,"4,135,369,515",1.01,"22,054,927,684",-0.08,0.36,0.34,,Omni,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,Tether,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
7, Binance Coin,BNB,"3,277,372,658",21.07,"231,846,713",-0.46,-1.33,2.49,Japan,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,Binance,ICO,2017-07-21 07:00:00,2017-07-01 07:00:00,20 days 00:00:00.000000000,0 days 00:00:00.000000000
8, EOS,EOS,"3,214,893,394",3.42,"1,735,988,258",0.11,-1.49,-2.55,Cayman Islands,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,EOS,ICO,2018-06-12 00:00:00,2017-06-26 16:00:00,350 days 08:00:00.000000000,0 days 00:00:00.000000000
10, Stellar,XLM,"1,486,207,241",0.074107,"215,228,210",-0.96,-2.91,-1.84,,Stellar,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,Stellar,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
12, Monero,XMR,"1,124,900,671",64.99,"201,498,302",-0.62,-0.49,2.46,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.6,Unknown,Monero,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
13, Cardano,ADA,"1,105,888,653",0.042654,"53,437,224",-0.5,-1.72,-2.12,Switzerland,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Closed,Cardano,ICO,2017-01-01 00:00:00,2015-09-01 00:00:00,488 days 00:00:00.000000000,0 days 00:00:00.000000000
16, Huobi Token,HT,"913,746,412",3.79,"252,881,495",-0.27,-1.89,-4.79,Seychelles,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Unknown,HUNT.BET,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
18, Tezos,XTZ,"821,746,518",1.24,"44,390,717",-0.25,10.13,2.47,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Tezos,ICO,2017-07-14 12:00:00,2017-07-01 12:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000
