,Compound,Negative,Neutral,Positive
 Ethereum,0.14712200000000003,0.01278,0.9200999999999998,0.06711999999999999
 Binance Coin,0.08145400000000003,0.00598,0.9693999999999997,0.0246
 EOS,0.075546,0.009,0.95624,0.034760000000000006
 Cardano,0.10752,0.018420000000000002,0.9225799999999998,0.059
 Huobi Token,0.320004,0.00584,0.87434,0.11982
 Tezos,0.17607999999999996,0.011280000000000002,0.9085200000000002,0.08024
 Cosmos,0.027052,0.01646,0.95378,0.029759999999999998
 Dash,-0.03234,0.06132000000000001,0.90818,0.0305
 Ethereum Classic,-0.034868,0.029060000000000002,0.9577600000000001,0.01316
 Basic Attenti...,0.3953,0.0,0.907,0.093
 Decred,0.014013999999999997,0.020739999999999998,0.9528200000000002,0.026419999999999996
 Qtum,0.12205,0.0074199999999999995,0.95394,0.03864
 HedgeTrade,0.10047800000000001,0.00752,0.9433399999999997,0.04912
 0x,0.03033,0.013099999999999999,0.96544,0.02144
 Holo,0.15140000000000003,0.015119999999999998,0.9123400000000003,0.07252
 OmiseGO,0.23230200000000006,0.0,0.9357800000000002,0.06422000000000004
 Augur,0.06779,0.05999999999999999,0.8651800000000001,0.07482000000000001
 Algorand,0.26563400000000004,0.0141,0.88308,0.10284
 Bytom,0.015622000000000007,0.02406,0.9431,0.032819999999999995
 Komodo,0.11804800000000001,0.0024,0.94454,0.05306
 Lisk,-0.032606,0.05015999999999999,0.9245,0.02532
 Bitcoin Diamond,0.12525599999999998,0.031819999999999994,0.8856999999999998,0.08250000000000003
 DxChain Token,-0.08457599999999997,0.027860000000000006,0.9629800000000001,0.00918
 BitTorrent,0.274918,0.02182,0.8557200000000003,0.12244
 ICON,0.17433800000000002,0.0308,0.88598,0.08324
 Waves,0.11769199999999999,0.02244,0.8982800000000001,0.07932
 BitShares,0.18273333333333333,0.0,0.9357948717948716,0.06420512820512819
 Bytecoin,0.396526,0.0016,0.8748400000000001,0.12354000000000001
 Aeternity,0.203776,0.006980000000000001,0.9192399999999998,0.07375999999999999
 MCO,0.06447599999999999,0.013879999999999998,0.95178,0.03434
 iExec RLC,0.12523600000000001,0.01966,0.9207199999999998,0.05966000000000001
 Enjin Coin,0.195838,0.00506,0.9201000000000001,0.07484
 Status,0.012046000000000003,0.0437,0.91416,0.042140000000000004
 Golem,0.032430000000000014,0.04805999999999999,0.8882800000000001,0.06368
 Crypterium,-0.01311000000000001,0.10814,0.82062,0.07126000000000002
 GXChain,0.2277375,0.0,0.9000312500000001,0.09996874999999998
 Metaverse ETP,0.044475,0.0,0.98575,0.01425
 Electroneum,0.3105099999999999,0.0037,0.87494,0.12138000000000003
 Digitex Futures,0.293388,0.0,0.9072000000000001,0.09280000000000004
 Aion,0.07267,0.00394,0.9661399999999999,0.02992
 Elastos,0.41220999999999997,0.001,0.83516,0.16383999999999996
 Decentraland,0.0,0.0,1.0,0.0
 Populous,-0.03187000000000002,0.08294,0.8432800000000001,0.07374
 Kyber Network,0.49177199999999993,0.0009,0.7868199999999997,0.21228000000000008
 Bread,0.224818,0.048839999999999995,0.7992800000000002,0.1519
 Thunder Token,0.0576027027027027,0.019324324324324325,0.9454054054054053,0.035297297297297296
 Ignis,0.07586400000000001,0.026459999999999997,0.8932199999999999,0.08027999999999999
 Fetch.ai,0.20345200000000002,0.01322,0.9111999999999999,0.0756
 Civic,0.22283200000000009,0.06312000000000002,0.8095400000000003,0.12734000000000004
 IoTeX,0.33071399999999995,0.00942,0.8570199999999999,0.13354
 YOU COIN,0.345368,0.02052,0.8478600000000002,0.13160000000000005
