Ticker,Name,Description,Price(USD),Start,End,ROI(Pct),Timezone,Duration
REP,Augur,Augur is a decentralized prediction market,11.4,2015-08-17 00:00:00,2015-10-01 00:00:00,18.6608,UTC+0,45 days 00:00:00.000000000
LSK,Lisk,It is a cryptocurrency and decentralized application platform,0.75,2016-02-22 00:00:00,2016-03-21 00:00:00,9.0516,UTC+0,28 days 00:00:00.000000000
DGD,Digix DAO,A Decentralized Autonomous Organization focused on goldtracking assets,12.25,2016-03-30 12:00:00,2016-03-30 12:00:00,2.7809,UTC+0,0 days 00:00:00.000000000
WAVES,Waves,Waves helps to make the launching and coordination of projects on blockchain very easy,0.78,2016-04-12 13:00:00,2016-05-31 13:00:00,3.1354,UTC+0,49 days 00:00:00.000000000
STRAT,Stratis,Stratis was developed to help organisations develop their own private blockchains,0.3,2016-06-21 00:00:00,2016-07-26 00:00:00,40.4598,UTC+0,35 days 00:00:00.000000000
XTO,Tao Network,Tao Network posits itself as a digital asset management system meant to be used by stakeholders in the music industry,0.03,2016-07-16 00:00:00,2016-08-15 00:00:00,1.8419999999999999,UTC+0,30 days 00:00:00.000000000
INCNT,Incent,Incent is a blockchain based loyalty program for traders especially retailers,0.15,2016-09-01 00:00:00,2016-09-01 00:00:00,2.1277,UTC+0,0 days 00:00:00.000000000
NEO,NEO,NEO is a China based smart contract Blockchain project that aims to revolutionize the way ecommerce operates,12.98,2016-08-08 00:00:00,2016-09-07 00:00:00,80.6559,UTC+0,30 days 00:00:00.000000000
BLOCKPAY,BlockPay,This is a retail platform that allows multicryptocurrency payment,0.06,2016-08-15 00:00:00,2016-09-15 00:00:00,-0.5009,UTC+0,31 days 00:00:00.000000000
1ST,FirstBlood,FirstBlood is a eSports matches and betting project,0.1,2016-09-25 00:00:00,2016-09-26 12:00:00,0.3743,UTC+0,1 days 12:00:00.000000000
ICN,Iconomi,The Iconomi platform helps users with simple methods to enter the growing distributed economy,0.19,2016-08-25 00:00:00,2016-09-26 12:00:00,0.6067,UTC+0,32 days 12:00:00.000000000
LKK,Lykke,Global market space based on blockchain,0.01,2016-10-09 06:00:00,2016-10-09 06:00:00,-0.8284999999999999,UTC+0,0 days 00:00:00.000000000
AMP,Synereo,Synereo is a decentralized and distributed social network,0.0,2016-09-18 00:00:00,2016-10-18 12:00:00,-0.988,UTC+0,30 days 12:00:00.000000000
SNGLS,SingularDTV,This is a film and television studio and also a distribution portal based on blockchain technology,0.01,2016-10-05 00:00:00,2016-10-29 12:00:00,-0.33549999999999996,UTC+0,24 days 12:00:00.000000000
NXC,Beyond The Void,Video Game in Real Time,0.0,2016-10-01 06:00:00,2016-11-01 13:00:00,0.0,UTC+0,31 days 07:00:00.000000000
DCT,Decent,Decent is a content distribution project,0.03,2016-10-10 00:00:00,2016-11-10 12:00:00,-0.7451000000000001,UTC+0,31 days 12:00:00.000000000
GNT,Golem,The Golem platform enables personal computers to perform functions traditionally reserved for servers,0.05,2016-10-13 00:00:00,2016-11-13 00:00:00,-0.5653,UTC+0,31 days 00:00:00.000000000
ARK,Ark,The Ark project aims to make cryptocurrency adoption mainstream as quickly as possible,0.22,2016-11-07 00:00:00,2016-12-12 00:00:00,21.45,UTC+0,35 days 00:00:00.000000000
VSLICE,vDice.io,Betting Game based on the Ethereum Blockchain,0.0,2016-11-15 00:00:00,2016-12-15 02:00:00,0.0,UTC+0,30 days 02:00:00.000000000
KMD,Komodo,Komodo is a decentralized ICO platform,0.93,2016-10-15 12:00:00,2016-12-16 12:00:00,41.312,UTC+0,62 days 00:00:00.000000000
Golos,Golos,Golos is open source technology bringing the power of voice media to blockchain,0.0,2016-11-22 12:00:00,2016-12-22 12:00:00,0.0,UTC+0,30 days 00:00:00.000000000
CREA,CreativeCoin,CreativeCoin for the registration and distribution of creative works and rights,0.03,2017-03-15 00:00:00,2017-01-05 00:00:00,0.0203,UTC+0,-69 days +00:00:00.000000000
WINGS,Wings,A decentralized platform for the creation management and interlinking of DAOs,0.03,2016-11-18 00:00:00,2017-01-06 00:00:00,-0.0146,UTC+0,49 days 00:00:00.000000000
TKS,Tokes,Tokes is a digital currency project for the legalization of the cannabis industry,0.06,2016-12-12 12:00:00,2017-01-16 12:00:00,-0.6545000000000001,UTC+0,35 days 00:00:00.000000000
TIME,ChronoBank,Time based currencies on multiple blockchains,1.61,2016-12-15 00:00:00,2017-02-15 13:00:00,-0.9464,UTC+0,62 days 13:00:00.000000000
QTUM,Qtum,A smart contract platform for PoS transactions,2.28,2017-03-12 00:00:00,2017-03-17 00:00:00,14.1919,UTC+0,5 days 00:00:00.000000000
EDG,Edgeless,Edgeless solves Casino transparency problems through the use of the Ethereum blockchain,0.01,2017-02-28 00:00:00,2017-03-21 00:00:00,-0.5114,UTC+0,21 days 00:00:00.000000000
RLC,iEx.ec,IeXec is a fully decentralized cloud based computing system based on Blockchain,0.75,2017-04-19 00:00:00,2017-04-19 23:59:59,1.9935,UTC+0,0 days 23:59:59.000000000
ETT,EncryptoTel,Encrypto Telecom offers solutions for secure communication over the blockchain,0.0,2017-04-24 00:00:00,2017-04-24 00:00:00,-0.9433,UTC+0,0 days 00:00:00.000000000
GNO,Gnosis,it is an Ethereumbased prediction market that works using crowdsourcing methods,15.83,2017-04-24 00:00:00,2017-04-24 11:59:59,-0.4939,UTC+0,0 days 11:59:59.000000000
