compound,negative,neutral,positive,text
0.0,0.0,1.0,0.0,"Deliveries were made from a pharmacy in North Carolina 
Image: UPS
UPS subsidiary UPS Flight Forward has just completed what it claims is a first for the US drone delivery market delivering prescription medication directly to a customers home by drone. On N… [+1819 chars]"
0.8126,0.0,0.827,0.173,"Roku owners will be able to stream Apples original shows on November 1st
Photo by Chris Welch / The Verge
With Apple TV Plus set to arrive next month, Apple is making sure Roku owners will be ready to stream its original programming. Today, the Apple TV app… [+759 chars]"
0.8689,0.061,0.686,0.253,"The Washington Nationals celebrate after winning the World Series on Wednesday, October 30. The Nationals defeated the Houston Astros 6-2 to win Game 7 and their first title in franchise history.
Home-field advantage. What's that?
The Washington Nationals p… [+543 chars]"
-0.5939,0.116,0.855,0.029,"AT&amp;T dropped a huge deal this weekend: an Apple TV 4K for just $90. Thats nearly 50 percent off its regular $179 price tag and also the lowest price weve yet seen for the Apple TV 4K. Now, its no longer available online, but that doesnt mean all hope is l… [+1431 chars]"
0.8977,0.0,0.771,0.229,"KBS's annual year-end music festival - the '2019 KBS Gayo Festival' - has announced its first lineup of performing artists, as well as its date and location!
Some of the headliners of this year's festivities will include BTS, GOT7, MONSTA X, TWICE, NU'EST, R… [+248 chars]"
-0.0258,0.031,0.941,0.028,"16 with 15 posters participating
<ul><li>
 Fallout 1st comes with everything seen here. More info on the updates in the gallery. 
</li><li>
 Want unlimited storage in Fallout 76? You can now pay for it, only as part of the Fallout 1st subscription service… [+3697 chars]"
0.6124,0.0,0.896,0.104,"Well be joined by Pixel camera product manager Isaac Reynolds and Instagram director of product Robby Stein
James Bareham
The Vergecast will return for a live recording in San Francisco, CA on Thursday, October 31st at 7:30 PM. This time were thrilled to ho… [+870 chars]"
0.0,0.0,1.0,0.0,"U.S. astronauts Christina Koch and Jessica Meir made history on Friday when they stepped outside the International Space Station (ISS) on the first all-female spacewalk.
The much-anticipated milestone for NASA was achieved during a relatively routine mission… [+2854 chars]"
0.0258,0.0,0.973,0.027,"A routine maintenance mission aboard the International Space Station made history Friday when NASA astronauts Christina Koch and Jessica Meir completed the first all-female spacewalk. While the eyes of the world were watching, the mission went off without a h… [+1318 chars]"
0.6747,0.0,0.862,0.138,"For $4.99 per month, they'll have access to more than 100,000 movies and TV shows, including original programming like For All Mankind, The Morning Show, Dickinson and Oprah's Book Club.
Apple hasn't been shy about pushing its Apple TV+ streaming service. La… [+326 chars]"
-0.6705,0.131,0.838,0.031,"Image: Amazon With a week to go before its TV service launches, Apple has brought the Apple TV app to Amazon’s streaming devices. The Apple TV app is now available on three different models of Fire TV devices — the Fire TV Stick 4K, the Fire TV Stick (2nd Gen… [+1443 chars]"
0.4939,0.0,0.918,0.082,"The Apple TV app has been available on just about every Apple device since the service launched, and began appearing on select Samsung smart TVs in the past couple of years. And as of today, Apple TV is (finally) available on a wide array of Roku devices.
As… [+1571 chars]"
-0.4767,0.07,0.93,0.0,"RALEIGH, N.C. —NASA astronauts Christina Koch and Jessica Meir exited the International Space Station on Friday, the first time in a half-century of spacewalking that a woman floated out without a male crewmate. Their job was to fix a broken part of the stati… [+1525 chars]"
0.0258,0.0,0.973,0.027,"NASA astronauts Christina Koch and Jessica Meir. Image via NASA.
Two NASA astronauts aboard the International Space Station (ISS) will make history this week by performing the first ever all-female spacewalk, currently scheduled for Friday, October 18, 2019.… [+2474 chars]"
0.7896,0.0,0.863,0.137,"WASHINGTON It was merely the first inning, yet fans kept rising out of their seats to applaud or yell or twirl their red towels, to chant ""Let's go, Nats!"" and ""M-V-P!"" and various players' names, enjoying every moment of a seven-run outburst that would, even… [+4868 chars]"
-0.4767,0.127,0.825,0.048,"Her Twitter post drew a range of responses. This is not what a 1st world country looks like. How savage, one person wrote. 
Another challenged Ms. Warren from the right, writing that they had filled up their cars gas tank that day and no Democrat offered to … [+1116 chars]"
0.6249,0.079,0.769,0.152,"The world's first Ebola vaccine is finally approved, a critical move that opens the door for its use in countries at high risk for the infectious disease.
Interested in Ebola?
Add Ebola as an interest to stay up to date on the latest Ebola news, video, and … [+2109 chars]"
-0.0772,0.049,0.909,0.042,"Titans 23, Chargers 20 Down by just three points, Los Angeles got a 1st-and-goal at Tennessees 1-yard line with plenty of time to get multiple plays off and the Chargers still lost. On his first attempt, Melvin Gordon had a touchdown overturned on review, wit… [+653 chars]"
0.7506,0.042,0.81,0.148,"Edmonton Oilers 4 Columbus Blue Jackets 1
Prior to this evening, the Edmonton Oilers had scored just 1 lone goal in their previous 6 1st Periods.
So it speaks volumes when I say that the 4-1 win Wednesday in Columbus ran the Oilers record to a perfect 6-and… [+8499 chars]"
