compound,negative,neutral,positive,text
-0.886,0.236,0.764,0.0,"(COLLEGE PARK, Md.) — At least 12 white supremacists have been arrested on allegations of plotting, threatening or carrying out anti-Semitic attacks in the U.S. since the massacre at a Pittsburgh synagogue nearly one year ago, a Jewish civil rights group repo… [+3149 chars]"
-0.7003,0.179,0.766,0.055,"Jewish communities in the U.S. continue to face threats as the anniversary of the deadliest attack on Jews in the nation approaches.
According to a new report from the Anti-Defamation League, a Jewish organization focused on fighting anti-Semitism, at least … [+1924 chars]"
-0.6124,0.154,0.791,0.055,"Rabbi Yisroel Goldstein, who was wounded in a synagogue shooting in San Diego in April, told the United Nations General Assembly that anti-Semitism is a ""problem for the world."" (June 26)
 AP, AP
At least 12 white supremacists have been arrested for their r… [+2075 chars]"
0.4019,0.0,0.93,0.07,"Sheryl Sandberg
Getty / Marla Aufmuth
Facebook chief operating officer Sheryl Sandberg on Wednesday pledged to make a personal donation of $2.5 million to the Anti-Defamation League, to support anti-hate and anti-bias education programs, research and advoca… [+1043 chars]"
-0.8934,0.245,0.724,0.03,"The 27-year-old white supremacist charged with a federal hate crime for allegedly plotting to bomb a Colorado synagogue had been known to law enforcement for years due to his frequent, neo-Nazi postings on Facebook, including a video of himself urinating on a… [+4295 chars]"
-0.8834,0.219,0.737,0.043,"A black activist who commandeered a prominent neo-Nazi group died before he could carry out his plan to dismantle it from within.
James Stern died of cancer October 11, his attorney told media outlets this week. He garnered national media attention earlier t… [+2492 chars]"
-0.2023,0.115,0.787,0.098,"The ADL said its Center on Extremism provided critical intelligence to law enforcement in at least three of the 12 cases it counted. 
Last December, authorities in Monroe, Washington, arrested a white supremacist after the ADL notified law enforcement about … [+1434 chars]"
-0.0772,0.064,0.879,0.057,"On Wednesday, controversy surrounding Fortnite golden boy Tyler Ninja Blevins resurfaced after a high-profile callout of his apparent avoidance of streaming with female gamers. Blevins defended himself on Twitter and, on Friday afternoon, did in fact play For… [+2858 chars]"
-0.886,0.236,0.764,0.0,"At least 12 white supremacists have been arrested on allegations of plotting, threatening or carrying out anti-Semitic attacks in the US since the massacre at a Pittsburgh synagogue nearly one year ago, a Jewish civil rights group reported. 
In a report publ… [+3173 chars]"
-0.4423,0.098,0.902,0.0,"House Foreign Affairs Committee Chairman Eliot Engel defended the Democrats' handling of the impeachment inquiry, calling the president's actions on Ukraine ""essentially"" a bribe, while Republican Whip Steve Scalise said the inquiry is nothing like what Presi… [+4661 chars]"
-0.9276,0.245,0.73,0.026,"For Jessica Reaves, the journey into the most hateful reaches of the internet began after the 2018 van attack in Toronto. A white male in his 20s plowed his vehicle into a crowd of pedestrians, killing 10 and injuring 16. After he was arrested, the driver tol… [+5694 chars]"
-0.8534,0.2,0.745,0.055,"The death of ISIS leader Abu Bakr al-Baghdadi last week ended one of the most intense and aggressive manhunts in the world.
The death of ISIS leader Abu Bakr al-Baghdadi last week ended one of the most intense and aggressive manhunts in the world. The race f… [+5605 chars]"
-0.886,0.231,0.769,0.0,"COLLEGE PARK, Md. At least 12 white supremacists have been arrested on allegations of plotting, threatening or carrying out anti-Semitic attacks in the US since the massacre at a Pittsburgh synagogue nearly one year ago, a Jewish civil rights group reported S… [+3110 chars]"
-0.8271,0.205,0.724,0.07,"In response to the growing global threat of white nationalist terror, House Democrats are calling on the U.S. State Department to add three international far-right groups to its list of Foreign Terror Organizations. 
 This is significant because, since 9/11,… [+6913 chars]"
0.4019,0.055,0.835,0.11,"Swastikas have been found painted on the shells of several turtles in a park outside Seattle, and local animal control officers are having trouble catching them.
Federal help is now being called in to help apprehend the tagged turtles, according to KIRO, a l… [+1699 chars]"
0.4767,0.0,0.907,0.093,"The United States is on track to record another year with a ""historically high"" number of anti-Semitic incidents, the Anti-Defamation League said Sunday.
In the first six months of 2019, the Jewish civil rights group counted 780 cases that include vandalism,… [+1722 chars]"
-0.1779,0.041,0.959,0.0,"Image copyrightMicrosoftImage caption
 The filtering system hides messages when it judges them to be inappropriate
Microsoft is turning to AI and machine learning to let Xbox gamers filter the language they see in text messages.
It is introducing customisa… [+2956 chars]"
0.0,0.082,0.816,0.103,"(Informed Comment) – October 25 marks the one-year anniversary of the Tree of Life Congregation massacre in Pittsburgh. This was a result of President Donald Trump giving aid and comfort to sinister right-wing forces, which had been buried under rocks of West… [+5932 chars]"
-0.886,0.231,0.769,0.0,"COLLEGE PARK, Md. (AP) At least 12 white supremacists have been arrested on allegations of plotting, threatening or carrying out anti-Semitic attacks in the U.S. since the massacre at a Pittsburgh synagogue nearly one year ago, a Jewish civil rights group rep… [+3117 chars]"
