compound,negative,neutral,positive,text
0.1779,0.0,0.946,0.054,"GRAPEVINE, Texas--(BUSINESS WIRE)--Comprehensive Finance, Inc. (CFI), a fast-growing financial technology company offering payment solutions for healthcare providers, today announced the hiring of Ryan Mullin as company controller.
A Certified Public Account… [+2906 chars]"
0.0,0.0,1.0,0.0,"FITCHBURG, Mass.--(BUSINESS WIRE)--Simonds Saw LLC of Fitchburg MA announces a partnership with Kaltband AG of Reinach Switzerland for raw materials related to the production of bi-metal band saw blades globally. As a part of the transaction, Simonds will sel… [+1181 chars]"
0.0085,0.095,0.81,0.095,"HOBOKEN, N.J.--(BUSINESS WIRE)--NICE Actimize, a NICE (Nasdaq: NICE) business and a leader inAutonomous Financial Crime Management today confirmed that its Financial Markets Compliance business, including its end-to-end holistic trade and communications surve… [+6908 chars]"
0.875,0.0,0.783,0.217,"OLDWICK, N.J.--(BUSINESS WIRE)--AM Best has removed from under review with developing implications and affirmed the Financial Strength Rating (FSR) of A- (Excellent) and the Long-Term Issuer Credit Ratings (Long-Term ICR) of a- of Bahamas First General Insura… [+2879 chars]"
0.6801,0.0,0.877,0.123,"When I read the story about the posting of neo-Nazi posters at the largest and most prominent synagogue in Grand Rapids, I said immediately that CFI Michigan, on whose board I still sit, should issue a statement condemning it. I wrote up a press release while… [+2871 chars]"
-0.8481,0.199,0.801,0.0,"Dogs were left ""bleeding and dying"" after being ""tortured"" at a German lab where secret footage showed monkeys screaming in pain during ""barbaric"" tests, say campaigners. 
Disturbing new footage recorded at the animal testing facility shows two motionless be… [+5355 chars]"
0.3818,0.0,0.944,0.056,"New Delhi: IIT Madras will open the door to its Centre For Innovation (CFI) for public during CFI Open House 2019. The event which will be held on November 2, 2019 (Saturday) will see participation from students who would demonstrate some cutting-edge technol… [+3984 chars]"
0.7269,0.0,0.862,0.138,"The Malibu M-Class Owners &amp; Pilots Association (MMOPA) held its first-ever nationwide Safety Stand Down Saturday, Oct. 12, 2019. The free, one-day event, which was open to MMOPA members and non-members, took place simultaneously at seven locations across … [+3365 chars]"
-0.886,0.262,0.738,0.0,"Citizens are calling for a Germany laboratory to be shut down after distressing footage showed monkeys screaming in pain.
On Saturday protesters will gather outside the Laboratory of Pharmacology and Toxicology (LPT) in Hamburg demanding the facility be clos… [+4170 chars]"
0.4404,0.0,0.932,0.068,"Rovers, drones, e-bikes for better mobility, a 3D food printer and a text-to-braille converter were among the multiple innovations showcased at the CFI Open House 2019 by students of IIT Madras on Saturday.
Several young children and students who visited the… [+2093 chars]"
0.6361,0.047,0.794,0.159,"IMAGE: Fluctuations in atmospheric pressure can heavily influence how much natural gas leaks from wells below the ground surface at oil and gas sites, according to new University of British Columbia...
 view more 
Credit: Aaron Cahill
Fluctuations in atmos… [+3897 chars]"
0.8851,0.0,0.765,0.235,"McGill University researchers have gained tantalizing new insights into the properties of perovskites, one of the world's most promising materials in the quest to produce a more efficient, robust and cheaper solar cell.
In a study published today in Nature C… [+3321 chars]"
0.4939,0.0,0.935,0.065,"A much upgraded version of the speedy SJ30i light bizjet has taken to the skies... just in time to be able to strut its stuff for the upcoming NBAA Convention next week in Las Vegas, NV.
SyberJet Aircraft’s SJ30i successfully completed the first flight of it… [+2592 chars]"
0.4939,0.0,0.935,0.065,"A much upgraded version of the speedy SJ30i light bizjet has taken to the skies... just in time to be able to strut its stuff for the upcoming NBAA Convention next week in Las Vegas, NV.
SyberJet Aircraft’s SJ30i successfully completed the first flight of it… [+2592 chars]"
0.4767,0.0,0.872,0.128,"PLANO, Texas--(BUSINESS WIRE)--Karamba Security, a world-leading provider of embedded cybersecurity for connected machines, today announced a collaboration with Winbond Electronics, a leading global supplier of semiconductor memory solutions and a pioneer in … [+3977 chars]"
0.128,0.0,0.969,0.031,"Were being invaded, my Uber driver tells me as she signals, carefully watching the road ahead. So many illegals, she sighs. Sweat pools under the armpits of my dress suit, and I am either too hot under the Arizona sun or too concerned with maintaining my 4.8 … [+11768 chars]"
-0.836,0.224,0.697,0.079,"Yet another white supremacist has been arrested stockpiling weapons and explosives, thankfully before he could pull off an attack on a synagogue in Colorado that he was planning. He was arrested after meeting with an undercover FBI agent and telling him of hi… [+1548 chars]"
0.7783,0.0,0.826,0.174,"UNOOSA and Sierra Nevada announce Call for Interest to provide landing site for Dream Chaser spacecraft mission carrying experiments from UN Member St
Press Release
 From: United Nations Office for Outer Space AffairsPosted: Tuesday, October 22, 2019 
The … [+2289 chars]"
0.7003,0.0,0.864,0.136,"UNOOSA and Sierra Nevada Corporation announce Call For Interest to provide landing site for mission carrying experiments from UN Member States
Press Release
 From: United Nations Office for Outer Space AffairsPosted: Wednesday, October 30, 2019 
The United… [+2477 chars]"
0.4215,0.0,0.926,0.074,"A charity based in Sackville is buying an old-growth forest in Cambridge-Narrows that has been in environmentalist Robena Weatherly's family for generations.
Community Forest International bought the 350-acre property (about 141 hectares) through its carbon … [+4359 chars]"
