compound,negative,neutral,positive,text
0.5106,0.0,0.898,0.102,"Ever heard of context modeling? It defines how contextual data is structured and maintained, and it plays a pivotal role in open domain conversation. That’s why researchers at Microsoft recently investigated a novel approach that involves rewriting the last u… [+2918 chars]"
0.0772,0.055,0.884,0.061,"Data protection software vendor Veeam has sold its N2WS business, which it acquired less than two years ago, in response to U.S. government concerns. 
Some of Veeam's channel partners see this as a good move because it removes a distraction for the Baar, Swi… [+2957 chars]"
0.5994,0.0,0.886,0.114,"DXC Technology is planning ""strategic alternatives,"" including the possible divesture, of three of its businesses in an effort to restart growth. 
Tysons, Va.-based DXC Technology, the global solution provider formed in the 2017 merger of HPE Enterprise Serv… [+8307 chars]"
0.5994,0.0,0.886,0.114,"DXC Technology is planning ""strategic alternatives,"" including the possible divesture, of three of its five businesses in an effort to restart growth. 
Tysons, Va.-based DXC Technology, the global solution provider formed in the 2017 merger of HPE Enterprise… [+8322 chars]"
0.1779,0.051,0.882,0.067,"Powering Tech Transformation
Through digital transformation, every company is becoming a tech company. And it's happening fast: The pace of transition to digital has shown no signs of slowing in 2019. Powering this transition are innovative vendors in sector… [+773 chars]"
0.4588,0.0,0.929,0.071,"Tech Data is the latest major IT distributor to receive interest from private equity, according to Reuters. 
Private equity firm Apollo Global Management has initiated discussions with Clearwater, Fla.-based Tech Data to acquire the distributor for about $5 … [+1483 chars]"
0.9136,0.0,0.734,0.266,"D&amp;H’s Tribute To Dedicated Employees And Partners
The D&amp;H sculpture that welcomes visitors entering the main building pays tribute to D&amp;H’s “family of dedicated employees and outstanding partners who have helped shape the company’s success” for t… [+589 chars]"
0.4939,0.044,0.827,0.129,"A Force To Be Reckoned With
Tech Data moved into the U.S. federal government space in a big way Wednesday with the acquisition of Herndon, Va.-based DLT Solutions, No. 42 on the 2019 CRN Solution Provider 500. 
The deal will marry DLT’s robust federal contr… [+824 chars]"
0.6597,0.0,0.866,0.134,"SEATTLE--(BUSINESS WIRE)--ExtraHop, the leader in cloud-native network detection and response, today announced that CRN, a brand of The Channel Company, has recognized Reveal(x) as a finalist for the 2019 Tech Innovator Awards in the Network Security category… [+3019 chars]"
0.0,0.0,1.0,0.0,"In the wake of news that Xerox could acquire HP, Xerox resellers are keeping an eye on a lucrative line of business they have developed selling compatible ink and toner products to HP customers. 
“I sell a lot of HP compatibles, especially on the black and w… [+3886 chars]"
0.8481,0.0,0.792,0.208,"SANTA MONICA, Calif.--(BUSINESS WIRE)--Aparavi, a leader in multi-cloud data management, announced today that CRN®, a brand of The Channel Company, has recognized the company as a finalist in the 2019 CRN Tech Innovator Awards. These annual awards honor innov… [+3075 chars]"
0.3818,0.0,0.931,0.069,"CAMPBELL, Calif.--(BUSINESS WIRE)--WekaIO (Weka), the innovation leader in high-performance, scalable file storage for data-intensive applications, announced today that CRN®,a brand of The Channel Company, has recognized Weka as a finalist in the 2019 CRN Tec… [+3841 chars]"
0.6249,0.0,0.826,0.174,"CONCORD, Calif. &amp; IRVINE, Calif.--(BUSINESS WIRE)--Entisys360, an award-winning IT consultancy specializing in the deployment and delivery of advanced IT infrastructure, virtualization, security, automation and cloud first solutions, today announced that … [+4817 chars]"
0.5267,0.0,0.923,0.077,"Cloud visionary Deepak Patil, one of the founding members of Microsoft Azure, has been appointed to lead Dell Technologies’ cloud business as the $91 billion infrastructure giant strives to make its Dell Technologies Cloud the market leading hybrid cloud plat… [+3911 chars]"
0.8481,0.0,0.792,0.208,"SEATTLE--(BUSINESS WIRE)--Qumulo, the leader in enterprise-proven hybrid cloud file storage, announced today that CRN®, a brand of The Channel Company, has recognized Qumulo as a finalist in the 2019 CRN Tech Innovator Awards. These annual awards honor innova… [+3777 chars]"
0.6369,0.0,0.885,0.115,"SYDNEY--(BUSINESS WIRE)--StorageCraft, whose mission is to protect all data and ensure its constant availability, today announced that CRN named Leo Lynch, the head of sales for its ANZ region, a 2019 Channel Chief for the third consecutive year.
The CRN Cha… [+2224 chars]"
0.1779,0.0,0.951,0.049,"SAN JOSE, Calif.--(BUSINESS WIRE)--8x8, Inc. (NYSE: EGHT), a leading Software-as-a-Service provider of voice, video, chat, contact center and enterprise-class API solutions powered by one global cloud communications platform, announced today that CRN®,a brand… [+4813 chars]"
0.3182,0.0,0.944,0.056,"SANTA MONICA, Calif.--(BUSINESS WIRE)--Aparavi®, a Gartner Cool Vendor in the multi-cloud data management space, today announced that Chief Product Evangelist Darryl Richardson was named among The 100 People You Dont Know But Should 2019 by CRN. The list reco… [+2445 chars]"
0.4588,0.031,0.871,0.098,"Tech Data's shares have spiked following a report that it is the subject of a near $5bn takeover approach.
According to a report today by Reuters, private equity firm Apollo Global Management is offering to pay about $130 a share for the global distribution … [+721 chars]"
