compound,negative,neutral,positive,text
0.5994,0.042,0.832,0.126,"Trends can be difficult to track, and just when you think you're on top of everything, a new movement will appear out of nowhere to remind you that you actually know nothing at all.
The good news is that we can help you stay up to date with all the latest tr… [+4530 chars]"
0.4019,0.0,0.94,0.06,"Bosch is set to launch a new AI-based sensor system to the International Space Station that could change the way astronauts and ground crew monitor the ISS’s continued healthy operation. The so-called “SoundSee” module will be roughly the size of a lunch box,… [+1511 chars]"
-0.2732,0.068,0.888,0.043,"Fortnitemares returns in Chapter 2
Earlier this month, the entire Fortnite island was sucked into a black hole and replaced with a brand-new location, erasing two years worth of history in the process. Just a few weeks later, though, the new Fortnite island … [+1419 chars]"
0.5719,0.0,0.892,0.108,"WALLOPS ISLAND, Va. A Northrop Grumman Antares rocket successfully launched a Cygnus cargo spacecraft on a mission to the International Space Station Nov. 2, kicking off a new era in cargo delivery for the station.
The Antares 230+ rocket lifted off from Pad… [+8200 chars]"
0.9001,0.0,0.745,0.255,"Crystals are nature's most orderly substances. Inside them, atoms and molecules are arranged in regular, repeating structures, giving rise to solids that are stable and rigid—and often beautiful to behold.
People have found crystals fascinating and attractiv… [+25348 chars]"
0.6486,0.0,0.868,0.132,"When our creative director, Michael Mrak, sent around the illustration for this month's cover story—a conceptual rendering of so-called time crystals—our features editor, Seth Fletcher, responded, “Cool. Very prog rock.” The artwork certainly seems ready-made… [+2998 chars]"
-0.9403,0.287,0.713,0.0,"As the barrier between your insides and our environment, your skin takes on a lot, including, unfortunately, sun damage and the accumulation of dead skin cells. With age, it becomes harder to naturally shed the dead cells on your skin's surface, leaving dulle… [+207 chars]"
0.5719,0.0,0.892,0.108,"Laverne Cox is keeping 2018's ""naked"" fashion trend alive well into 2019.
On Monday, she attended the ""Charlie's Angels"" premiere in Los Angeles, California, wearing a sheer gown designed by Hakan Akkaya. The long-sleeved, high-neck dress was made almost ent… [+1268 chars]"
0.4939,0.0,0.931,0.069,"Some recipes specify kosher salt, or canning salt, or sea salt in their ingredients list. But when youre stirring a hot pan while attempting to read a recipe on your phone and hold a semi-coherent conversation with your friend in the kitchenits tempting to ju… [+3961 chars]"
-0.4019,0.127,0.819,0.055,"I lie in bed, alone in a darkened room, naked. My glowing technicolor oil diffuser emits lavender scents and trickling sounds of ambient music. I take two long puffs off my vaporizer, hoping weed might make the inexplicable panic at the back of my throat go a… [+2419 chars]"
0.966,0.0,0.662,0.338,"Rock Candy is a fun treat that just about everyone makes as kids. It's easy, requires very few ingredients and the results look like real crystals (or at least they do when you're five)! So join me as we make these yummy rock candy crystals! Have fun!
Ingred… [+3092 chars]"
0.4404,0.036,0.873,0.091,"With all the talk about sending humans to the moon and eventually Mars, it can be easy to forget there are other planets worth exploring. But a team of researchers at NASA has set its sights on Venus, Earths closest neighbor and one of the least understood pl… [+3656 chars]"
0.8442,0.0,0.807,0.193,"While many people love colorful photos of landscapes, flowers or rainbows, some biomedical researchers treasure vivid images on a much smaller scale as tiny as one-thousandth the width of a human hair.
To study the micro-world and help advance medical knowle… [+6924 chars]"
-0.5267,0.08,0.92,0.0,"For sufferers of chronic rhinosinusitis (CRS), surgery is often the only treatment option due to the severity of their condition.A new study led by a University of Cincinnati researcher may provide another option, however: in a recent clinical study, a regime… [+1870 chars]"
0.34,0.0,0.948,0.052,"Kylie Jenner dressed her daughter Stormi in a miniature version of her elaborate lavender 2019 Met Gala outfit for Halloween this year. 
Jenner shared an Instagram post on Sunday of her mini-me to her 149 million followers showing Stormi all dolled up from p… [+1342 chars]"
0.0,0.0,1.0,0.0,"Including one pitcher, two glasses and one stirring rodall of which are hand-blownGlacce’s ritual cocktail kit integrates custom-cut quartz crystals into the cocktail-making process. The stirring rod features a round quartz bauble, whereas both glasses contai… [+264 chars]"
-0.4939,0.091,0.865,0.044,"Gravity crystals arent just consumable items in Fortnite anymore. A scientist has figured out how to use cheap household materials to create gravity crystals to study the exotic interiors of distant dead stars right here on Earth. 
The new concept was develo… [+2718 chars]"
0.25,0.0,0.951,0.049,"A new technique to change the structure of liquid crystals could lead to the development of fast-responding liquid crystals suitable for next generation displays -- 3D, augmented and virtual reality -- and advanced photonic applications such as mirrorless las… [+1955 chars]"
0.0,0.0,1.0,0.0,"What appears to be an impossibly complicated maze is actually quite simple. Two complicated mazes, intertwined but not touching, tell a different story.Now imagine them on the nanoscale and made of soft crystals. Materials scientist Ned Thomas of Rice Univers… [+5069 chars]"
