compound,negative,neutral,positive,text
0.1779,0.048,0.891,0.061,"The Greeks and the Romans werent the only ancient people fascinated with Mercury and with the four other planets visible with the naked eye. 
For instance, the Chinese named the five after their primary elements. Jupiter is the wood star (), Mars the fire st… [+1075 chars]"
0.0772,0.0,0.97,0.03,"By Jenina P. Ibañez
THE DEPARTMENT of Trade and Industry (DTI) is studying the possibility of putting plywood back on the list of products under mandatory certification in a bid to curb importation of substandard products.
In a statement on Wednesday, DTI s… [+3651 chars]"
0.1901,0.0,0.956,0.044,"Boxing legend turned Philippines senatorManny Pacquiao has, for several years, told anyone who will listen that he'd like a rematch against undefeated American boxer Floyd Mayweather. Mayweather beat Pacquiao by unanimous decision back in 2015, but now Pacqui… [+3121 chars]"
0.4019,0.0,0.934,0.066,"The anonymous senior Trump administration official behind a 2018 New York Times op-ed that declared there was a resistance within the administration is writing a book available next month, the persons publisher said on Tuesday.
Interested in Donald Trump?
A… [+3003 chars]"
0.91,0.0,0.727,0.273,"Afterparty,the latest from Oxenfree developer Night School Studio, is out October 29 (and rated M for Mature, like all the best night clubs). Its a story-based adventure game written in the snarky spirit of its point-and-click predecessors, full to bursting b… [+6029 chars]"
0.0,0.0,1.0,0.0,"Decentralized finance (DeFi) meets decentralized governance.
That’s the idea behind StakerDAO, a new decentralized autonomous organization (DAO) for investing in existing proof-of-stake (PoS) blockchains.
Introduced Wednesday by Tezos Capital CEO Jonas Lami… [+4155 chars]"
0.3313,0.039,0.892,0.069,"But the Greeks and Romans werent the only ancient cultures fascinated with that planet and the four others we now call the naked-eye planets, those visible without magnification. 
For instance, the Chinese named the five after their primary elements. Jupiter… [+1063 chars]"
0.25,0.0,0.938,0.062,"© WOHO
+ 27
<ul><li>Architects
Authors of this architecture project
LWK + PARTNERS</li><li>Area
Area of this architecture project
</li><li>Project Year
Brands with products used in this architecture project 
</li><li>Photographer
Created with Sketch.… [+2182 chars]"
0.8715,0.0,0.782,0.218,"There is so much to love in every Julie C. Dao novel: the gorgeous worldbuilding, the atmospheric fantasy, the high-stakes plot — but my favorite element will always be her unapologetically complex characters. While Dao uses fairytale as her launchpad in the … [+5865 chars]"
0.1779,0.0,0.958,0.042,"The aviation sector is becoming increasingly competitive. Multi-million dollar aircraft purchases or leasing costs means that if a plane is not in the sky, its not making the airline revenue. This means tighter turnaround times, congested schedules, and most … [+10631 chars]"
0.2732,0.0,0.957,0.043,"If there is a god of small things, it could be said to have taken up residence, for a while at least, in a remote valley in the northern highlands of Vietnam. A lush forest canopy spreads evenly up the slopes of the surrounding hills. On the valley floor sits… [+18212 chars]"
0.3197,0.054,0.836,0.111,"Optimize your data repositories for Java multi-threaded applications.
Data repositories are often the bottleneck of highly demanding systems where the number of queries being executed is extremely large. DelayedBatchExecutor is a component used to decrease t… [+10170 chars]"
0.1779,0.0,0.958,0.042,"The aviation sector is becoming increasingly competitive. Multi-million dollar aircraft purchases or leasing costs means that if a plane is not in the sky, its not making the airline revenue. This means tighter turnaround times, congested schedules, and most … [+10633 chars]"
0.6249,0.0,0.866,0.134,"Developer: Night School StudioPublisher: Night School StudioRelease: Out nowOn: WindowsFrom:Epic Games StoreFor: £16, $20, 16
If you’ve played Oxenfree you probably already know a little of what to expect from Afterparty: a smart, walking–and–talking adventu… [+7473 chars]"
0.4019,0.0,0.915,0.085,"The Securities and Exchange Commission (SEC) said Kiks August defense of its $100 million initial coin offering (ICO) was untenable and is asking judges to toss it.
A discovery motion filed Monday further raised the stakes, following the SEC’s 49-page filing… [+5695 chars]"
0.4019,0.089,0.771,0.141,"Afterparty is Night School Studio's second game, after the team's debut title Oxenfree in 2016. Instead of a coming-of-age story with mysterious happenings, however, Afterparty gets right to the point. Two best friends, Milo and Lola, are in Hell. Why? Who kn… [+6126 chars]"
0.4215,0.0,0.931,0.069,"DUBAI, United Arab Emirates--(BUSINESS WIRE)--The WBF 2019 Indonesia Technology Conference was held at the Ritz-Carlton Jakarta on 20 September in Jakarta, a key city in Southeast Asia. The event was attended by officials from Samsung, Indodax, Asian regulato… [+2301 chars]"
-0.6329,0.16,0.749,0.09,"NEW YORK--(BUSINESS WIRE)--On September 27, 2019, the ""WBF2019 New York Technology Conference"" kicked off at the Altman Building in New York. S BLOCK, the Switzerland-based value added digital assets wallet, is a co-organizer of the event.
S BLOCK - Digital … [+2016 chars]"
0.4019,0.0,0.915,0.085,"The Securities and Exchange Commission (SEC) said Kiks August defense of its $100 million initial coin offering (ICO) was untenable and is asking judges to toss it.
A discovery motion filed Monday further raised the stakes, following the SECs 49-page filing … [+5842 chars]"
0.0,0.0,1.0,0.0,"Investment Thesis
Youdao (DAO), the education unit of Chinese Game giant NetEase (NASDAQ: NTES) is looking to IPO on the US market and has amended its initial public offering registration. As the education arm of NetEase, we think it is operating in a fast-g… [+7698 chars]"
