compound,negative,neutral,positive,text
0.3612,0.0,0.948,0.052,"The ongoing rennovation and expansion of the Museum of Modern Art will culminate in its opening on Monday October 21, 2019. 
Installation View of the Marie Josée and Henry Kravis Studio, The Museum of Modern Art. Photo by Iwan Baan, Courtesy of MoMA
The exp… [+1630 chars]"
-0.2263,0.044,0.956,0.0,"The Chairman, Dangote Group, Alhaji Aliko Dangote
By Nkiruka Nnorom
Dangote Group Plc has announced the intention to merge the operation of two of its subsidiaries, Dangote Sugar Refinery (DSR) Plc and it’s subsidiary Savannah Sugar Company Limited (SSCL) i… [+973 chars]"
-0.2263,0.044,0.956,0.0,"President of the Dangote Group, Alhaji Aliko Dangote
Dangote Group Plc has announced the intension to merge the operations of two of its subsidiaries, Dangote Sugar Refinery (DSR) Plc and its subsidiary Savannah Sugar Company Limited (SSCL) into a single ent… [+1151 chars]"
0.0,0.0,1.0,0.0,"In an age where everyone seems to gravitate towards bigger sensors and interchangeable lens cameras is there still a place for fixed lens pro camcorders?
Ive been shooting broadcast and web video for twenty years. I started off with a Sony PD150 and then qui… [+5386 chars]"
-0.0534,0.15,0.687,0.164,Ananya Panday's DSR initiative 'So Positive' is there to support and build a healthy social media environment with their medium. One such issue that is very common in children who are cancer survivors and are bullied on social media for their physical appeara… [+1768 chars]
-0.1779,0.084,0.864,0.052,"COMMENT | Reactions to Budget 2020 range from it being a pro-Malay Budget to one that is no different from the budgets of the previous regime.
This is exactly my point in my pre-budget article because it shows that no one gets everything they wish from the b… [+8231 chars]"
0.8437,0.072,0.687,0.241,"Ananya Panday's 'So Positive' initiative has been hailed by many for taking a stand against social media bullying.
So Positive gave a shoutout to Sonakshi for coming out and talking about it with the caption,
`Kudos to @aslisona 🙌
Kudos @aslisona for spea… [+1012 chars]"
0.0,0.0,1.0,0.0,": http://tomcat.2ch.sc/test/read.cgi/livejupiter/1571159945/
1: 2019/10/16() 02:19:05.09 ID:1cAphIcN0
2: 2019/10/16() 02:19:20.86 ID:sk/Xlxxwa
3: 2019/10/16() 02:19:27.78 ID:/a63nsWF0
4: 2019/10/16() 02:19:33.00 ID:59e/CjHf0
5: 2019/10/16() 02:19:41.47 I… [+695 chars]"
0.9041,0.0,0.752,0.248,"On occasion of Ananya Panday's birthday, actress Janhvi Kapoor shared an adorable throwback picture to wish the birthday girl and even gave a shoutout to 'So Positive' which is Ananya Panday's DSR initiative to take a stand against social media bullying.Janhv… [+932 chars]"
0.0772,0.0,0.97,0.03,"Japan, the second-largest source of traffic for global crypto exchanges to date, witnessed a number of industry announcements this week as the country hosted the major blockchain event Devcon 5 from Oct. 8 to Oct. 11.
Organized on an annual basis by the Ethe… [+2331 chars]"
0.5859,0.0,0.906,0.094,"Productivity is core to any IT teams mission. Whether youre upgrading an internal network or vetting new software, its for the purpose of helping your employees get more work done each day. At Slack, where we lean onIT to drive business growth, we take this a… [+4688 chars]"
0.5106,0.0,0.927,0.073,"EICMA 2019, or the Milan Motorcycle Show, begins on Tuesday, November 5th. EICMA is the biggest international motorcycle trade show of the year and is where most companies choose to make their new motorcycle announcements. Last year saw an impressive showing … [+9304 chars]"
0.5023,0.0,0.935,0.065,"Six Point Five Creedmoor – it’s not new, but expect to hear and read more about this caliber as the “Department of the Navy Office: Naval Sea Systems Command” is looking to buy MK110K1 uppers from Knights Armament Co.
The upper is supposed to fit the M110K1 … [+3958 chars]"
0.4404,0.0,0.943,0.057,"Ananya Panday has had a very busy debut year as the actress is working non-stop ever since her debut. Her second movie Pati Patni Aur Woh is all set to release in December and earlier today the trailer was dropped by the makers.
The actress shines bright in … [+1061 chars]"
0.4767,0.0,0.909,0.091,Prominent real estate developer DLF in Delhi-NCR recently clocked over Rs 700 crore on the day of the launch of its new ready-to-move-in project. What's significant is the apartments were priced Rs 1.6 crore onwards - almost at a 20-to-25 percent premium comp… [+8672 chars]
0.7415,0.0,0.852,0.148,"Ananya Panday is creating waves ever since her debut. The actress is shining bright on the November issue of a leading magazine. Earlier today, the new song from her upcoming movie was released and we can't stop grooving to the tunes!
 Brides Today magazine … [+997 chars]"
0.7964,0.0,0.864,0.136,"Fans are hailing Ananya Panday for her mesmerising looks, the actress is an ideal fashion icon and often teaches us how to master the perfect look. Ananya hit the ground running with her astronomical performance in Student of the Year 2 and in a short span th… [+2345 chars]"
0.9201,0.0,0.713,0.287,"Cybersecurity Malaysia’s Amirudin Abd Wahab says trust and confidence are key to accepting a technology like digital economy. (Bernama pic)
KUALA LUMPUR: Digital security is crucial in efforts to steer the country towards a digital economy as stated in Budge… [+1229 chars]"
0.7814,0.029,0.795,0.176,"Calculating your car purchase may surprise you. (rawpixel.com pic)
This is a common dilemma for millennials, especially if you are working in the Klang Valley but are originally from out-of-town.
Most of you believe that a property will appreciate in value … [+4455 chars]"
0.3182,0.0,0.951,0.049,"Since her debut in Student of the year 2 earlier this year, Ananya has emerged as a youth icon and has garnered a tremendous fan following especially among the youth. 
Recently, the trailer of her upcoming film Pati Patni Aur Woh was released and her fans co… [+1453 chars]"
