compound,negative,neutral,positive,text
-0.4515,0.059,0.941,0.0,"What are those new keys about, anyway?
One of the first shocks that you may experience when you buy your first Chromebook probably comes when you look at the keyboard. Where is the Caps Lock key? What (if you have a Pixelbook) is that strange-looking key bet… [+2343 chars]"
0.0,0.0,1.0,0.0,"Apple's marketing chief Phil Schiller has spoken with CNET's Roger Cheng about the new 16-inch MacBook Pro, reflecting on the new Magic Keyboard, the Touch Bar, and many other aspects of the notebook.
When asked about the redesigned scissor keyboard on the 1… [+3351 chars]"
0.7845,0.0,0.842,0.158,The ability to take a screenshot (a.k.a. screen capture or screen grab) of your desktop or an application window opens a lot of doors for easier sharing: from posting images or specific sections of article text on social media to sending messages to tech supp… [+4360 chars]
-0.3612,0.057,0.943,0.0,"Apple's widely rumored 16-inch MacBook Pro is likely still coming based on recent supply chain checks by IDC analyst Jitesh Ubrani and Forbes contributor Brooke Crothers, but release timing remains unclear. Crothers is a former contributor to CNET, The New Yo… [+1207 chars]"
0.0,0.0,1.0,0.0,"Before beginning we knew from a past project that the stock steering servo could be controlled from an Arduino with a PWM signal, having similar wiring, and plugging into different channels on the same stock radio receiver, we assumed the Electronic Speed Con… [+5116 chars]"
-0.5994,0.1,0.9,0.0,"Rumors about a redesigned MacBook Pro with a 16-inch screen have been buzzing for nearly all of 2019. The latest rumor indicates that Apple may be responding to one of the biggest complaints about the current MacBook Pro: the Touch Bar.
No, it’s not being re… [+1804 chars]"
-0.9171,0.277,0.618,0.104,"Apple's MacBook Pro butterfly keyboard was bad, very bad. It was so bad that Apple created an extended service program just to cover bad keyboards. It was so bad that when Apple launched its newest, most powerful, and largest laptop in years, the first thing … [+1891 chars]"
0.0,0.0,1.0,0.0,"After doing some research I ended up ordering a few electric components which will add wings to the board. 
The circuit is quite simple and you can take the reference from the image. I have added some bullet connectors to it. I have also integrated the signa… [+820 chars]"
0.694,0.0,0.899,0.101,"Hi guys myself Heena and my friend saniya. We are from JP Nagar nook.Today we will show you how to make F450 Drone at home
MATERIALS
1. F450 frame
2. BLDC Motors 1400KV
3. ESC 30A
4. Propellers CW And CCW
5. 11.1v Lppo Battery
6. KK2.1.5 Board
8. B3 C… [+1405 chars]"
0.7078,0.049,0.813,0.139,"Electric Skateboards can be used as a great form of transport whether you're in the city, out in the middle of nowhere, pretty much anywhere that has a road. They can be small and compact to large and beasty.
IMPORTANT ADVISEMENT!!!
If you are planning to m… [+4965 chars]"
0.2914,0.053,0.873,0.074,"I wanted something to move around the city, but I was not interested in scooters, skates, or motorcycles, so I decided to squeeze my brain and I came up with this!
The idea was to make it as simple as possible so that it did not fail, while also being able t… [+648 chars]"
0.8478,0.0,0.827,0.173,"The first step is to get what you need to complete this project! All the necessary materials can be bought online at good prices. For some materials, there are many alternatives that would work perfectly fine also, I will list all the choices I am familiar wi… [+9809 chars]"
0.0,0.0,1.0,0.0,"MacRumors has received a potential image of Apple's rumored 16-inch MacBook Pro with three distinct design aspects: slimmer bezels around the display, a standalone Touch ID sensor, and a physical Esc key.
While all three of those features line up with other … [+1797 chars]"
0.8481,0.0,0.809,0.191,"A 16-inch MacBook Pro - with a freshly designed keyboard that isn't trashed by dust and includes a ""physical"" escape key - has landed, but it won't come cheap, costing the same as a modest family holiday or a second hand car.
The £2,399 portable has a Retina… [+2007 chars]"
-0.3182,0.052,0.948,0.0,"Jaguar’s electric I-Pace (not to be confused with the gas powered E-Pace) earned unflattering press this past summer after slow sales led to ballooning inventories of the brand’s first EV. Now, there’s another PR stroke against the model, and electricity once… [+1688 chars]"
0.4939,0.0,0.896,0.104,"In the wake of Jonah Hill and Warner Bros. backing away from talks, Paul Dano will now play The Riddler in Matt Reeves’ The Batman.
Dano was recently nominated for an Emmy for his role in Escape at Dannemora. He directed, co-wrote and produced the critically… [+130 chars]"
0.0,0.0,1.0,0.0,"Over the weekend, Porsche hosted a four-fold celebration at Germany's Hockenheimring. The sports car maker held its Sportscar Together Day event with fans from around the world, opened its seventh Porsche Experience Center at the track, ran the final race in … [+1911 chars]"
0.0,0.0,1.0,0.0,"Apple today announced its much-rumored high-end 16-inch MacBook Pro, which is the largest MacBook Pro that's been offered for sale since the discontinuation of the 17-inch MacBook Pro back in 2012.
The updated 16-inch MacBook Pro features slimmer bezels and … [+756 chars]"
-0.1027,0.027,0.973,0.0,"To test the drill press we charged the batteries and started testing. Previously the drillpress was unable to start spining as we turn the switch one, but this time all we need to do is to turn the know to a particular speed and the chuck starts to spin.
Com… [+1660 chars]"
-0.128,0.05,0.911,0.04,"The fabled moose test consistently uncovers the weaknesses of many vehicles on the market and has done just that with the Jaguar I-Pace.
One could consider the Jaguar I-Pace as having an advantage over many other vehicles because it is an EV with much of its… [+1241 chars]"
