compound,negative,neutral,positive,text
0.7717,0.0,0.845,0.155,"The biggest tournament in Magic: The Gathering: Arena, the Mythic Championship, is reaching its fifth go-around, and will be conducted this coming weekend. 68 players from across the globe are set to compete for thousands of dollars in prizes at that time, in… [+2831 chars]"
0.8883,0.0,0.764,0.236,"Congratulations to Javier Dominguez for winning Magic: The Gathering: Arena‘s fifth Mythic Championship!
Source: Wizards of the Coast
Javier ran a Gruul (red-green) Aggro deck throughout the event, and bested a multitude of other professional players, inclu… [+2503 chars]"
-0.6486,0.118,0.882,0.0,"Skip to content
1 Azorius Guildgate
1 Boros Guildgate
2 Breeding Pool
3 Fabled Passage
4 Field of the Dead
2 Forest (347)
1 Golgari Guildgate
1 Hallowed Fountain
2 Island (335)
1 Mountain (343)
1 Plains (331)
1 Selesnya Guildgate
1 Simic Guildgat… [+715 chars]"
-0.6486,0.118,0.882,0.0,"Skip to content
1 Azorius Guildgate
1 Boros Guildgate
2 Breeding Pool
3 Fabled Passage
4 Field of the Dead
2 Forest (347)
1 Golgari Guildgate
1 Hallowed Fountain
2 Island (335)
1 Mountain (343)
1 Plains (331)
1 Selesnya Guildgate
1 Simic Guildgat… [+715 chars]"
0.7645,0.0,0.837,0.163,Today I want to start by talking about the deck I moved to after playing aggro against Golos enough times: Golos Fires. Essentially I just wanted to play what I felt was doing the most powerful stuff in the format and this is where I ended up. My own list is … [+16420 chars]
-0.296,0.053,0.947,0.0,"Emanuel Ferro, treinador adjunto do Sporting, em conferência de imprensa, depois da vitória dos leões sobre o Rosenborg (2-0), em jogo da 4.ª jornada da fase de grupos da Liga Europa:
[Terceira vitória consecutiva e liderança no grupo]
- Independentemente d… [+1253 chars]"
0.024,0.061,0.876,0.063,"Magic: The Gathering has banned one of the most popular cards in the Standard format. Since the release of the Throne of Eldraine expansion and the 2019 Standard format set rotation, Golos Ramp decks have dominated the formats metagame. The deck leverages ram… [+2780 chars]"
0.8074,0.0,0.832,0.168,"Or, “A Love Letter to Magic Esports”.
A couple of months ago, sometime before I was hired by Bleeding Cool, I never would have guessed that I’d be playing Magic: The Gathering: Arena. I was vehemently opposed to Magic: The Gathering Online and felt very stro… [+1986 chars]"
0.2023,0.0,0.735,0.265,"Skip to content
Scroll to Top"
0.2023,0.0,0.735,0.265,"Skip to content
Scroll to Top"
0.2453,0.148,0.636,0.216,"Last weekend I took third at Mythic Championship V, played on MTG Arena. Standard was different last week, as Field of the Dead wasnt bannedbut the deck I played wasnt predicated on beating Field of the Dead: I played Bant Food to a third-place finish.
I lik… [+5295 chars]"
-0.8979,0.302,0.628,0.07,"Another Banned and Restricted list update, a MagicFest schedule, a new format, and a new Mythic Champion with a very familiar face. This is your week in Magic news.
Banned and Restricted List Update
Two weeks ago there was a Banned and Restricted List updat… [+7149 chars]"
-0.8979,0.302,0.628,0.07,"Another Banned and Restricted list update, a MagicFest schedule, a new format, and a new Mythic Champion with a very familiar face. This is your week in Magic news.
Banned and Restricted List Update
Two weeks ago there was a Banned and Restricted List updat… [+7149 chars]"
0.8122,0.0,0.864,0.136,"Wizards of the Coast, hot on the heels of the glaring success of Magic: The Gathering: Arena, has issued another “State of the Game” article for the software. They did the same in September, and it seems that it was a much more triumphant article than this mo… [+3603 chars]"
0.0,0.0,1.0,0.0,"The Ukrainian army and Moscow-backed separatists said Tuesday they had begun to withdraw their troops from a key area in the war-torn east ahead of a high-stakes summit with Russia.
The long-awaited pullback is a precondition for the first face-to-face talks… [+4837 chars]"
0.0,0.0,1.0,0.0,"Emanuel Ferro, treinador adjunto de Jorge Silas, depois do triunfo do Sporting sobre o Rosenborg (1-0), em jogo da terceira jornada da fase de grupos da Liga Europa:
[Qual a importância desta vitória?]
- É uma vitória, como serão as próximas, que liga com o… [+3778 chars]"
0.2023,0.108,0.788,0.104,"The Ruby Division Eldraine Split wraps up and a Throne of Eldraine Limited Grand Prix gets aggressive. This is your week in Magic news.
Magic Pro League Update
This week the Ruby Division played their Eldraine season matches. Four players made the cut to 5-… [+1963 chars]"
0.0772,0.046,0.9,0.054,"By RFE/RL October 21, 2019
Russian President Vladimir Putin has ordered a major reshuffle of the Human Rights Council, including its chief and others seen as supportive of recent anti-government protests.
According to a presidential decree published on Octo… [+3033 chars]"
0.0258,0.048,0.901,0.051,"By Matthew Luxmoore October 22, 2019
MOSCOW -- Amid uproar over their ouster from President Vladimir Putin's Human Rights Council, several Russian rights activists have warned of a backslide on political freedoms in the wake of a major reshuffle that leaves … [+5143 chars]"
-0.9464,0.276,0.672,0.052,"It is the week before Mythic Championship V, but the news came fast and furious this week. Another Un-product, a Mystery Booster, and the small matter of a shift in the Banned and Restricted List update. This is your week in Magic news.
Banned and Restricted… [+4395 chars]"
