compound,negative,neutral,positive,text
-0.4019,0.126,0.809,0.065,"Interview Thanks to your local DevOps team, containerised applications are heading for production environments, however, this can be the beginning of a world of hurt for storage admins.
Unlike current production environments, there are no backup data referen… [+13216 chars]"
0.0,0.0,1.0,0.0,"(Bloomberg) -- Hop Lun (Hong Kong) Ltd., a lingerie maker that counts Victorias Secret and H&amp;M as clients, is considering the sale of a partial stake to fund its expansion.
The company is looking for financial investors including private equity firms, Sw… [+1325 chars]"
0.1779,0.042,0.901,0.057,"Edwin Lun became the CEO of Mexan Limited (HKG:22) in 2007. First, this article will compare CEO compensation with compensation at similar sized companies. After that, we will consider the growth in the business. And finally - as a second measure of performan… [+3504 chars]"
0.4404,0.037,0.87,0.093,"China Tian Lun Gas Holdings Limited (HKG:1600), which is in the gas utilities business, and is based in China, saw a decent share price growth in the teens level on the SEHK over the last few months. As a stock with high coverage by analysts, you could assume… [+3634 chars]"
-0.5994,0.231,0.628,0.14,"Howard Marks put it nicely when he said that, rather than worrying about share price volatility, 'The possibility of permanent loss is the risk I worry about... and every practical investor I know worries about. It's only natural to consider a company's balan… [+5406 chars]"
-0.7456,0.183,0.761,0.056,"WARNING: The following article contains spoilers for Contagion #2 by Ed Brisson, Stephen Segovia, Veronica Gandini and Cory Petit, in stores now.
In Contagion #1, a mysterious virus was unleashed on the Marvel Universe. This ancient virus was awakened from t… [+2846 chars]"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
0.4576,0.114,0.711,0.175,"Superman Smashes the Klan is a three-part graphic novel about a young Superman battling racists, helping an immigrant family, and wrestling with his own status as an alien outsider. Its extremely charming. 
The book comes from the award-winning cartooning te… [+9452 chars]"
0.0,0.0,1.0,0.0,"Published: 9:17pm, 17 Oct, 2019
Updated: 9:17pm, 17 Oct, 2019"
0.3612,0.034,0.896,0.07,"When is economy class better than business class? Never, basically. The distinctions, though, can sometimes be blurry, particularly on shorter flights. Which brings us to a pair of intra-Africa hops I took recently with South African Airways.
Logistically th… [+9518 chars]"
0.6369,0.0,0.877,0.123,"Department of Chemical and Biological Engineering, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong SAR, China
Division of Environment and Sustainability, The Hong Kong University of Science and Technology, Clear Water … [+197 chars]"
0.6369,0.0,0.877,0.123,"Department of Chemical and Biological Engineering, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong SAR, China
Division of Environment and Sustainability, The Hong Kong University of Science and Technology, Clear Water … [+197 chars]"
0.6486,0.048,0.778,0.174,"We often see insiders buying up shares in companies that perform well over the long term. Unfortunately, there are also plenty of examples of share prices declining precipitously after insiders have sold shares. So before you buy or sell S.A.S. Dragon Holding… [+4122 chars]"
0.0,0.0,1.0,0.0,"Published: 5:35pm, 11 Nov, 2019
Updated: 5:47pm, 11 Nov, 2019"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
0.0,0.0,1.0,0.0,"Atherosclerosis is a chronic progressive cardiovascular disease, which may result in many clinical consequences. Ubiquitin-specific protease 14 (USP14), a member of the USP family, has been found to be involved in cardiovascular disease. In the present study,… [+1179 chars]"
-0.7983,0.182,0.778,0.04,"WARNING: The following article contains spoilers for Contagion #5 by Ed Brisson, Adam Gorham, Veronica Gandini and Cory Petit, in stores now.
Over the course of the Contagion weekly event series, a virus created by a race of plant-like creatures known as the… [+2826 chars]"
-0.7531,0.188,0.755,0.057,"WARNING: The following article contains spoilers for Contagion #4 by Ed Brisson, Damian Couceiro, Veronica Gandini and Cory Petit, in stores now.
For the past few weeks, a dangerous (and mysterious) virus has taken over the Marvel Universe. Initially discove… [+2583 chars]"
0.0,0.0,1.0,0.0,"* 
 Corresponding authors
a
 Key Laboratory for LiquidSolid Structural Evolution and Processing of Materials (Ministry of Education), Shandong University, Jinan 250061, PR China
E-mail:byj97@sdu.edu.cn, lunning66@sdu.edu.cnFax: +86 531 88392315 Tel: +86 5… [+126 chars]"
-0.8555,0.219,0.781,0.0,"Key point: Iran plans to shut down the Strait of Hormuz to international shipping.
Iran has fielded a variety of unusual weapons over the years: F-14 Tomcat fighters hotwired to fire Russian missiles, homemade mini-submarines, and remanufactured Cold War jet… [+5640 chars]"
