compound,negative,neutral,positive,text
0.4019,0.0,0.945,0.055,"YEREVAN, Armenia It has been 30 years since the fall of the Berlin Wall. A guard threw open a gate, the Soviet imperium folded, more than 100 million people in Central and Eastern Europe were freed, a divided continent was made whole, and the end of history w… [+1097 chars]"
0.3973,0.121,0.713,0.166,"Welcome back to Toy Aisle, io9's regular roundup of all things good and (mostly) plastic on the internet weve seen lately. This week: The most adorable nightmare of a Star Wars lounger! Barry Allen dashes into the world of Hot Toys! And in the grim dark futur… [+3116 chars]"
0.765,0.043,0.758,0.199,"Controversial space sim Star Citizen's latest Free Fly event is now underway, meaning that curious sorts can get a first-hand progress update on developer Cloud Imperium Games' currently eight-years-in-the-making sci-fi extravaganza without paying a penny.
S… [+1190 chars]"
0.0,0.0,1.0,0.0,"Jon Spaihts has stepped down as showrunner of HBO Max’s Dune: The Sisterhood, Deadline has confirmed.
Spaihts will remain as an executive producer on the series, we hear, and will now focus on writing the script for the new Dune feature film.
Dune: The Sist… [+1365 chars]"
0.0,0.0,1.0,0.0,"The Dune TV series destined for HBO Max, Dune: The Sisterhood, is going to need a new showrunner. Jon Spaihts, who wrote the script for the upcoming Dune movie from director Denis Villeneuve, was set to serve as showrunner for the tie-in TV series, but that’s… [+2206 chars]"
0.9348,0.0,0.731,0.269,"Would you like to give Star Citizen a try totally free of charge? Cloud Imperium Games is giving you that chance for the next week. Starting today and running until 12pm PDT on November 3rd, you can play the latest Alpha 3.7 Into the Depths patch. Free to dow… [+3172 chars]"
0.5106,0.0,0.929,0.071,"Cloud Imperium Games is back with another free fly event for Star Citizen, the crowd-funded space simulation behemoth that is currently in Alpha version 3.7.0. The promotion offers the entire universe of Star Citizen in its current state for anyone to explore… [+1186 chars]"
0.3818,0.0,0.942,0.058,A little over three months after HBO Max‘s upcoming series based on author Frank Herbert‘s classic literary series Dune gained a second showrunner in Dana Calvo (Good Girls Revolt) comes word that the project is back to having one showrunner again. Jon Spaiht… [+1705 chars]
-0.0608,0.11,0.802,0.088,"With the impending release of the Sisters of Battle Army Set, the folks at the Warhammer Community Page shared some glimpses of how the army will work in your games of Warhammer: 40K. After giving these rules a look, it’s hard not to get excited about how thi… [+2143 chars]"
-0.0516,0.045,0.915,0.041,"As NXT TakeOver: WarGames rapidly approaches, the stakes are high. The advantage in the first-ever Women’s WarGames Match will be hanging in the balance tomorrow, as Mia Yim of Team Ripley and Io Shirai of Team Baszler clash in a Ladder Match. Who will put th… [+1145 chars]"
-0.1867,0.09,0.855,0.055,"If you have not yet played the massive multiplayer space trading and combat game Star Citizen, developed and published by Cloud Imperium Games for PC. You may be interested in a new video published by the team over at Digital Foundry providing a personal intr… [+971 chars]"
0.8844,0.0,0.84,0.16,"Here we are on Reaver’s founding day.  I’ve always pegged the date as around the middle of October, but somebody said on an op that October 15th was the date and that is good enough for me.  So happy fifth birthday to the Reavers SIG.
Reavers forum bee
I ha… [+4948 chars]"
-0.7845,0.138,0.862,0.0,"After Imperium belittled The Hunt and ignited an all-out brawl one week earlier, Wild Boar &amp; Primate went to war against Barthel &amp; Aichner in a heated tag team match.
Despite their animalistic efforts, The Hunt came up just short of victory after lan… [+200 chars]"
0.8957,0.0,0.799,0.201,"Heavy Machinery were getting ready for a scheduled matchup against two local competitors, but it never began, as they were blindsided on their way to the ring by Imperium, who have run roughshod on NXT UK and NXT. NXT United Kingdom Champion WALTER, Marcel Ba… [+459 chars]"
0.5106,0.0,0.933,0.067,"Cloud Imperium Games has kicked off another Star Citizen ""Free-Fly"" week to mark the recent release of alpha 3.7.0. From today until November 3, players can hop into the cockpits of five free ships and go for a spin in the inky, incomplete blackness.
The 3.7… [+1952 chars]"
-0.128,0.123,0.763,0.114,"Welcome to the dark nightmare future of the 41st millennium, the grim era of the Imperium. The battlefield is spread across a thousand different worlds. Powerful armies of Space Marines, Imperial Guard, bestial Orks, and the T'au Empire are in constant confli… [+1070 chars]"
0.9022,0.041,0.71,0.249,"One week after WALTERshowcased his might in a win against Kushida, his Imperium counterparts also demonstrated what theyre capable of.
The duo of Marcel Barthel &amp; Fabian Aichner no strangers to Full Sail Live impressed in a win against the veteran duo of… [+184 chars]"
-0.0516,0.049,0.906,0.045,"Last week on SmackDown we saw the NXT roster invade the show and put a hurting on the WWE superstars that were left in the building, as half the roster was still in transit from the Crown Jewel event in Saudi Arabia. That was followed by AJ Styles and The OC … [+1881 chars]"
0.4939,0.045,0.823,0.132,"Greetings Loremasters and Loremaster initiates, today we take a look at the lighter side of the Imperial armory, as the Adeptus Mechanicus have mastered even gravity itself.
There is no force in this galaxy, natural or otherwise, that is beyond the reach of … [+4501 chars]"
-0.5267,0.087,0.913,0.0,"Games Workshop is teasing the end of the Imperium with a new Prophesy – are they about to pull the plug on the Grimdark?
Before you jump down to the comments and tell me I’m wrong check out this new “Prophesy” from Games Workshop’s Lore Department:
via Warh… [+2302 chars]"
