compound,negative,neutral,positive,text
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
Meritage Homes Corp (NYSE:MTH)Q3 2019 Earnings CallOct 23, 2019, 10:30 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning, and… [+50240 chars]"
0.9312,0.045,0.614,0.341,"Growth investors focus on stocks that are seeing above-average financial growth, as this feature helps these securities garner the market's attention and deliver solid returns. However, it isn't easy to find a great growth stock.
In addition to volatility, t… [+3500 chars]"
0.34,0.0,0.946,0.054,"Meritage Homes Corporation MTH is slated to report third-quarter 2019 results on Oct 22, after market close.
In the last reported quarter, the companys earnings and revenues topped the Zacks Consensus Estimate by 27.2% and 7.2%, respectively. In fact, the co… [+4399 chars]"
0.0,0.0,1.0,0.0,"Scottsdale Oct 26, 2019 (Thomson StreetEvents) -- Edited Transcript of Meritage Homes Corp earnings conference call or presentation Wednesday, October 23, 2019 at 2:30:00pm GMT===================================================================================… [+63888 chars]"
0.5574,0.0,0.911,0.089,"* European, U.S. stock futures down 0.2-0.3%
* Asian stock markets : https://tmsnrt.rs/2zpUAr4
* MSCI ex-Japan, Nikkei jump on positive Brexit news
* British pound slips after hitting 5-month peak
* EU to determine whether to put deal before EU leaders' s… [+3720 chars]"
0.5267,0.061,0.784,0.155,"TOKYO, Nov 6 (Reuters) - Japan's benchmark Nikkei share average edged up to a fresh 13-month high on Wednesday as hopes for a U.S.-China trade deal, a weaker yen and rising bond yields buoyed exporters and financials.
The Nikkei average rose 0.1% to 23,263.8… [+1334 chars]"
0.8519,0.0,0.78,0.22,"We are still in an overall bull market and many stocks that smart money investors were piling into surged through October 17th. Among them, Facebook and Microsoft ranked among the top 3 picks and these stocks gained 45% and 39% respectively. Hedge funds' top … [+5420 chars]"
0.3481,0.107,0.748,0.144,"All trademarks are owned by their respective owners.OzBargain is an independent community website which has no association with nor endorsement by the respective trademark owners.
Copyright © 2006-2019 OzBargain ABN: 26 144 073 772"
0.3481,0.107,0.748,0.144,"All trademarks are owned by their respective owners.OzBargain is an independent community website which has no association with nor endorsement by the respective trademark owners.
Copyright © 2006-2019 OzBargain ABN: 26 144 073 772"
0.8225,0.0,0.827,0.173,"FoxSportsFoxPremFoxMovies
The below is an email I got from my mate from Foxtel. Looks like a pretty good deal…
For Sport fans
· $49*/mth Sports HD Bundle for 12 months
· $25 off* per month for 12 months
· iQ4 box fee waived*
· Installation fee waived
·… [+1053 chars]"
0.4019,0.0,0.946,0.054,"By OVI
All data for this post is from the EIA's Petroleum Supply Monthly
The charts below are primarily for the largest US oil producing states (&gt;100 kb/d) and are updated to August 2019. If you are interested in additional states, let it be known.
Ron … [+8108 chars]"
0.5267,0.0,0.884,0.116,"By OVI
Below are a number of Non-OPEC charts created from data provided by the EIA's International Energy Statistics.
The charts and table below are primarily for the world's largest Non-OPEC producers and are updated to July 2019, except for the U.S., whic… [+9134 chars]"
0.2732,0.061,0.809,0.13,"""*Reverts to $28/mth after 12 months. All for use in AU; resets monthly. Excess data: $0.01/MB. T&amp;Cs apply.""
Might want to screenshot the link page, looks like an error you might be able to take advantage of in the future."
0.3612,0.029,0.909,0.062,"Just announced and available today through Telstra. Note: Postpaid service required.
For those of you that cant buy outright by can comfortably do monthly payments this might be for you.
Sorry guys. Formatting on the go before I start work. Thrown together.… [+912 chars]"
0.2732,0.0,0.95,0.05,"When Meritage Homes Corporation (NYSE:MTH) announced its most recent earnings (30 June 2019), I compared it against two factor: its historical earnings track record, and the performance of its industry peers on average. Being able to interpret how well Merita… [+2386 chars]"
0.8225,0.03,0.791,0.18,"Good cashback offer. Enjoy :)
Stream over 50 sports Live On Demand and earn Double Cashback Expires: 17/10/2019
Cashback is valid for new accounts only. Cashback is not valid for existing Kayo Sports customers or customers who have previously held a Kayo Sp… [+321 chars]"
0.0516,0.044,0.907,0.048,"I'm assuming this is NBN/Cable, as the biggest mobile broadband plan Telstra offers is 100GB for $75 month to month, no unlimited data offering there. The modem they are giving might be a model that does VDSL / Fibre while also using 4GX as a backup or failov… [+207 chars]"
0.7269,0.0,0.838,0.162,"Greetings everyone, The Good Guys is also running this promotion for the next 2 days :)
Offer only available in store.
Terms and Conditions
This was previously removed as I believed that the bonus data was only available to 31/12, but as per the terms, the… [+214 chars]"
