compound,negative,neutral,positive,text
-0.5699,0.168,0.739,0.094,"A week ago today, hackers unleashed the first known attack using the vulnerability known as BlueKeep, a long-feared development that in practice turned out to be relatively benign. For now, anyway! But don't worry, plenty of other things still went wrong. Lik… [+3796 chars]"
-0.128,0.071,0.847,0.082,"Federal authorities served search warrants to social network and white supremacist haven Gab as well as Twitter in an investigation into a neo-Nazi arrested for child pornography in Boulder, Colorado.
The Daily Beast first reported that 29-year-old Wesley Gi… [+3147 chars]"
-0.8519,0.179,0.821,0.0,"Someone going by the handle antifa-data uploaded what appears to be the entire SQL database of Iron Marcha defunct fascist web forum where the Atomwaffen Division (AWD) terrorist organization reportedly first organizedto the Internet Archive on Wednesday.
Th… [+5063 chars]"
0.2023,0.047,0.889,0.063,"While Microsoft has been pretty tight-lipped so far about Windows 10X, an upcoming variation of its OS expected to debut with the Surface Neo, a leak this week appears to give us a closer look at how the company plans to customize the user experience for dual… [+1937 chars]"
0.4215,0.048,0.847,0.105,"Richard Spencer, one of the most high profile neo-Nazis in America, has spent the past three years online trying to rebrand his extremist ideology with terms like alt-right. But a newly leaked audio tape makes it clear that this dapper white nationalist doesn… [+4951 chars]"
0.3291,0.0,0.924,0.076,"Source: Daniel Rubino/Windows Central
When Microsoft unveiled the dual-screen Surface Neo and Surface Duo last month, it took everyone off guard. Not only was the Andromeda concept, which had been rumored for years, alive and well, but Microsoft went even fu… [+11621 chars]"
0.0,0.0,1.0,0.0,"Panos Panay spoke about the upcoming Surface Neo and Surface Duo at an event in Berlin yesterday (via WinFuture). At the event, Panay spoke on bringing 5G to the upcoming Surface Neo and Surface Duo and mentioned that the first generation of the Surface Duo w… [+890 chars]"
-0.1027,0.061,0.888,0.051,"Freshly Exhumed shares a report from ZDNet: A mysterious hacker has published today a database dump of one of the internet's most infamous neo-nazi meeting places -- the IronMarch forum. The data published today includes a full copy of its content, including … [+1287 chars]"
0.5106,0.033,0.872,0.095,"One day robots will replace all cab drivers. And then not long after that, robots will replace all Photoshop experts. But until the AI uprising, we can still have some fun. Last week, I asked you fine folks to add some strange customers to the back of a cab f… [+1266 chars]"
0.0,0.0,1.0,0.0,"Square Off is moving connected board games further today with the launch of a Kickstarter campaign for its Square Off Neo chess board and the Square Off SwapBoard. The new products will offer machine learning and personalized coaching.
Our purpose as a brand… [+2493 chars]"
0.34,0.0,0.945,0.055,"It might be time to dig out those old Game Boy cartridges you still have in the attic. Retro console maker Analogue announced today it will release its first handheld device, the Analogue Pocket. The not-a-Game-Boy-but-kind-of-a-Game-Boy device will play cart… [+1830 chars]"
-0.7964,0.157,0.843,0.0,"Kaleb J. Cole (aka ""Khimaere"") is the 24-year-old leader of the Washington State cell of the Atomwaffen Division, an international network of violent Neo-Nazis. Aside from generally spewing hateful rhetoric, Cole had also been seen participating in Atomwaffen… [+5341 chars]"
0.923,0.0,0.718,0.282,"The digital era has been an especially exciting one for music lovers. Whether you want to crank up Mozart for optimal productivity or start a party with some neo-R&amp;B, the internet has put untold gigabytes worth of music at your fingertips, in tandem with … [+2451 chars]"
-0.296,0.062,0.903,0.035,Parts of the Flathead Valley north of here have had a reputation for being a haven for white nationalists. A dispute between a local real estate agent and the mother of the white nationalist Richard Spencer in nearby Whitefish prompted a white supremacist web… [+1896 chars]
0.8519,0.0,0.853,0.147,"Kohl's might not be the first place you think of when shopping for gadgets, but the retailer's Black Friday ad scan shows some pretty sweet tech deals.
Amazon's new Echo Show 5will be $49.99 ($40 off), for example, plus you get $15 in Kohl's Cash. In our rev… [+2116 chars]"
0.2144,0.0,0.96,0.04,"Microsoft pioneered the 2-in-1 PC with the introduction of the Surface. But heading into the future, the company is taking its most famous brand in an entirely new direction. For holiday 2020, Microsoft will be releasing not one, but two, foldable devices: Th… [+6400 chars]"
-0.1027,0.036,0.964,0.0,"Very few modern tech companies have executed on their mission as consistently, and at such a high level of quality as Analogue. Analogue’s obsessively engineered modern consoles for old-school physical cartridge video games are museum-quality hardware design,… [+3000 chars]"
-0.7059,0.174,0.771,0.055,"As I write this, massive fires are erupting all over California, and massive protests are erupting all over the world. Is the former a facet of the climate crisis? Is the latter a symptom of hyperpolarization caused by hyperconnectivity? Yes, I mean no, I mea… [+3194 chars]"
-0.8126,0.225,0.654,0.121,"Want the best of VICE News straight to your inbox? Sign up here.
 The black civil rights activist who pledged to dismantle and destroy one of the largest neo-Nazi organizations in the U.S. has died at age 55, after a struggle with cancer. 
 James Hart Stern… [+5141 chars]"
-0.652,0.137,0.863,0.0,"His type isn't girls who like pop music, wear basic clothes, and ""look like everyone else.""
""I like girls that are a little different,"" he says.
He is the softboi, brought to attention by the Instagram account ""beam_me_up_softboi,"" which posts screenshots s… [+11620 chars]"
