compound,negative,neutral,positive,text
0.5267,0.0,0.899,0.101,"Collectively, the one-offs will be titled Adventure Time: Distant Lands and will feature a bunch of familiar faces, including main characters Finn and Jake, as well as BMO, Marceline, Princess Bubblegum and Peppermint Butler, among others. The first two speci… [+714 chars]"
0.5367,0.069,0.784,0.147,"After tooling around in Obsidian Entertainment's corporate space RPG for more than a week I landed on a perfectly succinct description: The Outer Worlds is a Fallout game wearing a fake mustache.
That shouldn't really come as a surprise. After all, Obsidian … [+5950 chars]"
0.8516,0.0,0.778,0.222,"Adventure time, come on grab your friends again! Streaming service HBO Max has announced four new hour-long Adventure Time specials, a year after the 10-season cartoon's mathematical series finale.
Adventure Time: Distant Lands will be set after the finale, … [+1748 chars]"
0.4215,0.0,0.926,0.074,"<ul><li>The Outer Worlds is an upcoming role-playing game from Obsidian Entertainment and Private Division.</li><li>There's a new launch trailer, showing more of the action across alien worlds.</li><li>The Outer Worlds is set to release on October 25.</li><li… [+1409 chars]"
0.0516,0.069,0.837,0.094,"As I played The Outer Worlds, I kept thinking about the Alien films. The two share a dystopian future in which corporations wield far too much power over the galaxy. But where Alien uses terror and bloodthirsty monsters to hammer home its message, Obsidian En… [+8607 chars]"
0.9423,0.0,0.699,0.301,"The Outer Worlds
Andrew TarantolaSenior Editor
The Outer Worldscould have been a contender but this promising space opera was over barely after it had begun. 
Its story certainly isn't short on scope. You play as the first-person hero and freshly defrosted… [+6022 chars]"
-0.8047,0.179,0.734,0.087,"The Outer Worlds has come to Twitch, but probably not in the way you expect. The sci-fi-RPG from Obsidian Games has become the the first pre-release game to have a Twitch Plays stream, and chat has already murdered one poor, unsuspecting NPC. 
Twitch Plays p… [+1059 chars]"
0.3716,0.037,0.87,0.094,"HBO Max, WarnerMedias upcoming streaming service (not to be confused with Apples upcoming streaming service or Disneys upcoming streaming service or NBCs upcoming streaming service) will be the exclusive home of not one, not two, but four Adventure Time speci… [+1591 chars]"
0.8271,0.0,0.818,0.182,"The Outer Worlds feels sensibly designed; you can notice little decisions that developer Obsidian Entertainment made in order to limit the games scope. This is, by and large, a relief its nice to have a relatively smaller-sized role-playing game that still ha… [+4602 chars]"
0.8807,0.0,0.784,0.216,"This month marks the 15th anniversary of the release of World of Warcraft, a moderately successful massively multiplayer online role-playing game. To celebrate the occasion, Blizzards set up an anniversary blow-out in Azeroths Caverns of Time, with special pe… [+2134 chars]"
0.4939,0.0,0.931,0.069,"The Outer Worlds, unlike many games, does not feature any colourblind options in its settings menu. This is not an oversight, however; the game has been designed to be colourblind friendly by default.
Discussing The Outer Worlds on Twitter, Obsidian studio d… [+1219 chars]"
-0.1531,0.08,0.832,0.088,"A/B testing your SEO changes can bring you a competitive edge and dodge the bullet of negative changes that could lower your traffic. In this episode of Whiteboard Friday, Emily Potter shares not only why A/B testing your changes is important, but how to deve… [+8091 chars]"
-0.0387,0.027,0.973,0.0,"0 with 0 posters participating
Fallout Worlds is one of the best... ahem, sorry, I keep slipping with the name. This week's The Outer Worlds is a brand-new game, set in a brand-new universe, but in nearly every way that counts, it's a Fallout game.
For one,… [+5688 chars]"
-0.3182,0.057,0.943,0.0,"The gaming industry has been home to many different role-playing games (RPGs) in recent years, ranging from action-heavy melee slashers to sprawling open-world experiences. However, there has been a distinct lack of high-quality ""classic"" RPGs that feature in… [+3444 chars]"
0.6124,0.0,0.875,0.125,"The Outer Worlds will be having a Twitch Plays session, precariously putting the control of all gameplay decisions in the hands of the viewers, and if you want to participate, the special livestream begins at 3 p.m PT/6 p.m. ET today on the official Obsidian … [+1592 chars]"
0.0,0.0,1.0,0.0,"The director of the Pillars of Eternity games said that the team at Obsidian would need to ""re-examine the entire format of the game"" if they go forward with a third title.In a Tumblr post published on Friday, series director Josh Sawyer wrote that Pillars of… [+2268 chars]"
0.2008,0.091,0.802,0.108,"Source: Windows Central
The road to completing a Nether portal is long and potentially arduous. When playing survival mode, it's not as easy as whipping out the obsidian blocks and igniting them. It sometimes requires hours of preparation. Luckily there are … [+7758 chars]"
-0.8481,0.2,0.776,0.024,"Though low income and “suspicion toward medical research” have been used to explain why people of color generally receive worse healthcare in the U.S. than their white counterparts, the matter is more complicated—and entwined with institutional racism. Studie… [+4019 chars]"
0.3802,0.0,0.944,0.056,"Its time to dance until your noodle arms fall off: Adventure Time is coming back! 
HBO Max has announced its reviving the Cartoon Network show with a series of four one-hour specials, one year after the acclaimed animated series ended. According to a press r… [+1684 chars]"
