compound,negative,neutral,positive,text
-0.0258,0.059,0.905,0.036,"Amazon Pay users in India can now use voice command with Alexa to pay their utility, internet, mobile, and satellite cable TV bills, the e-commerce giant said on Wednesday. This is the first time, the company said, it is pairing these functionalities with Ama… [+2134 chars]"
0.1454,0.03,0.929,0.041,"Im not sure I condone this hack, but since its Halloween and weve all got costumes on the brain, lets take a look at this DIY strategy to get out of paying extra airline bag fees.
As Australian travel writer Rebecca Andrews explains in Escape Magazine, its r… [+2394 chars]"
-0.8344,0.258,0.742,0.0,"Square. Venmo. PayPal. Apple Pay. Google Pay.
There’s really no shortage of ways to give people money via your phone, but that nor growing calls that the company is already getting too damned big isn’t stopping Facebook.
Facebook has just announced Facebook… [+896 chars]"
0.4939,0.0,0.924,0.076,"A big topic on our many Democratic presidential debate stages this summer has been health care reform. Several candidates, including Senators Elizabeth Warren and Bernie Sanders, have been pushing for Medicare for All, through which the government would provi… [+3881 chars]"
0.0,0.0,1.0,0.0,"Apple CFO Luca Maestri has also announced that the US Census Bureau is using iOS devices for next year's census. The agency had already developed (PDF) apps, including an address listing and mapping application and an interviewer-administered survey applicati… [+705 chars]"
0.743,0.029,0.815,0.157,"Democratic candidates for president want to overhaul health care. But who will pay for it? That was the question during last nights fourth primary debate, which featured 12 candidates on one stage vying for attention. But the discussion around health care may… [+3536 chars]"
0.2467,0.059,0.827,0.114,"For Amazon, this is the first time the company has allowed its customers to use Alexa and Amazon Pay together in this way, in India or anywhere else in the world for that matter. In some ways, however, it's not surprising to see Amazon add bill payments to Al… [+527 chars]"
-0.4949,0.103,0.861,0.037,"Whether youre losing your mind at a Pink Floyd tribute show or playing with your cat, theres hardly a situation that wouldnt be made better with a few lasers. Optical masers were first described by physicist Charles Townes in the late 50s and since then theyv… [+1589 chars]"
0.3612,0.028,0.913,0.059,"If youve been thinking about getting a DNA test that gives you health reports, good news: the IRS has ruled that you can use your FSA money to partially pay for it.
The ruling, issued earlier this year, states that ancestry DNA tests arent considered medical… [+1303 chars]"
0.296,0.029,0.918,0.053,"The second story: Wage growth is flatlining. For most of the last few years, pay to American workers has been rising at steadily increasing rates. For example, average hourly earnings rose 2.7 percent in 2017, then 3.3 percent in 2018.
But that rate of incre… [+1065 chars]"
-0.7357,0.144,0.856,0.0,"Rev, one of biggest names in transcriptionand one of the cheapest services of its kindopted to alter its pay structure with little warning for thousands of contractors on its platform, some of whom are furious at what they expect will be smaller paychecks fro… [+2299 chars]"
0.8268,0.0,0.841,0.159,"Its like 99 cents more!
You can now subscribe to your favorite streamers from your iOS device, provided you have an iOS device and have updated the Twitch app. Truly we are living in the future. 
Twitch announced the news at this years TwitchCon in San Dieg… [+1192 chars]"
0.7579,0.028,0.815,0.157,"If youre wondering how the top Democratic candidates tax plans differ from each otherand how those plans might change how much you pay in taxestheres a new online tool to help you visualize what each candidate is proposing.
Tax Justice Now is an interactive … [+1612 chars]"
0.5859,0.141,0.659,0.2,"Amazon Fire HD 10 (2019) review: you get what you pay for
As good as it gets for $150, but no better
Photo by Amelia Holowaty Krales / The Verge
Is there still a market for a cheap tablet? For years, Amazon has argued that the answer is yes, with its consi… [+6630 chars]"
-0.1531,0.089,0.833,0.078,"With student loan debt in the United States adding up to more than $1.5 trillion, its no wonder plenty of people want to make paying for college easierand maybe a little cheaper, too. But as the tech scene has produced a few startups with big ambitions for re… [+4517 chars]"
0.1531,0.046,0.873,0.081,"But in responding to her rivals and more tightly embracing Medicare for all, Ms. Warren is taking a significant political risk. Although she is not proposing broad tax increases on individuals, her proposal will still allow Republicans to portray her as a tax… [+3028 chars]"
0.8834,0.0,0.788,0.212,She announced her campaign on a snow-covered stage in Minneapolis in February and vowed to rejoin the Paris climate agreement on her first day in office. Her team hopes that her brand of Minnesota nice politics will attract the Iowa voters who cast the first … [+1294 chars]
-0.5574,0.174,0.768,0.058,"A state judge ordered President Trump to pay $2 million in damages to a collection of nonprofit groups on Wednesday as part of a settlement of a lawsuit that accused his charity, the Donald J. Trump Foundation, of financial mismanagement.
Once billed as the … [+831 chars]"
-0.6705,0.126,0.874,0.0,"Image copyrightGetty ImagesImage caption
 A US high school lunch (file image)
A US school district has banned students who have more than $75 (£58) in lunch debt from attending the prom and other extra-curricular activities. 
The school board president of … [+2026 chars]"
-0.5574,0.122,0.805,0.073,"Mr. Bacows words did not appear to mollify the prime minister, however, who told The Herald on Tuesday that if they fail to engage meaningfully, we will be forced to pursue all legal remedies available to us.
Previous letters to Harvard, Mr. Browne said, sou… [+1594 chars]"
