compound,negative,neutral,positive,text
0.7579,0.0,0.874,0.126,"iOS users who prefer Google Maps over Apples Maps app or even Waze will finally have access to one of the best features from the Android version: the ability to submit live traffic reports.
Despite being available on Android for a few months now, the traffic… [+814 chars]"
0.2023,0.0,0.958,0.042,"Chances are youve seen lawn signs in your neighborhood before an election. But you probably never imagined they could track you. 
A Republican presidential primary candidate attached devices known as beacons to campaign lawn signs in 2016 to track the phones… [+6784 chars]"
0.2732,0.0,0.957,0.043,"To create a circuit you need a power source, conductive material that allows electricity to flow, and a load that is powered by the circuit. For this project our power source is the battery, the load is the LED, and the leads of the LED provide a path for the… [+968 chars]"
0.3071,0.035,0.884,0.081,"It doesnt take much to be distracted nowadays: A ping, and youre asking your friend to repeat what they just said. Google wants to help you with those moments but can it?
More than a year after launching its first well-being features, Google on Wednesday rel… [+2638 chars]"
0.5574,0.026,0.874,0.1,"FCC Chairman Ajit Pai is ostensibly the chief regulator of the telecoms industry. But the way he was chatting with the president of a prominent lobbying group, you could be forgiven for not knowing that. 
At Mobile World Congress in L.A. on Tuesday, Pai join… [+3230 chars]"
0.2732,0.0,0.951,0.049,"In the early 2000s, Pat Giles worked on MTV's Daria. Then he redesigned Count Chocula.
These days, the 52-year-old animation vet works at a New York City start-up that creates animated emoji stickers.
On a Friday afternoon, Giles gathered seven millennial a… [+8351 chars]"
0.3612,0.0,0.943,0.057,"Kellyanne Conway, counselor to President Trump, talks to reporters on the driveway outside of the White House on 1 November 2019: Chip Somodevilla/Getty
Donald Trumps White House counselor Kellyanne Conway has said the president needs to tweet like we need t… [+3267 chars]"
0.3182,0.0,0.946,0.054,"At BlizzCon 2019, Blizzard announced Overwatch 2, confirming the rumors that Overwatch is getting a sequel that includes both PvP and PvE modes. In an interview with GameSpot, Blizzard revealed that the original Overwatch almost had an Apex Legends-like ping … [+1894 chars]"
0.3595,0.0,0.894,0.106,"Teacher Notes
Teachers! Did you use this instructable in your classroom?Add a Teacher Note to share how you incorporated it into your lesson."
0.0,0.0,1.0,0.0,"Metro Manila (CNN Philippines, November 10) The Senate is set to begin plenary debates Monday on the proposed 4.1-trillion 2020 budget.
Senate Finance committee chair Juan Edgardo Sonny Angara said he will be sponsoring the committee report on the fiscal pla… [+1291 chars]"
-0.7607,0.198,0.7,0.102,"Security is one of the toughest things to get right; a hacker only needs to win once, but businesses have to get it right every single time.
Not every company faces the same field of threats. That’s what makes security particularly difficult there are no pan… [+4359 chars]"
0.734,0.03,0.84,0.129,"Twitter has some very serious security explaining to do.
The BBC’s Szu Ping Chan takes a look at the futuristic technology depicted in 1982’s Blade Runner, which was set in November 2019. It now being November 2019, how did it do? We’re doing great on teleco… [+1409 chars]"
0.4927,0.0,0.931,0.069,"This is how to very easy make a LED wall using 3D printed modules, 12 mm WS2812 led lights and 38mm ping-pong balls.
However, making the mechanical construction was very complicated. Instead I designed a 3D modular system. Each module is 30x30 cm and consist… [+368 chars]"
0.7906,0.0,0.81,0.19,"Evan Vucci/AP
<ul><li>A 24-year-old who parties with celebrities became richer than Donald Trump overnight after his parents gifted him a stake in their pharmaceuticals company worth about $3.8 billion, according to Bloomberg.</li><li>Eric Tse became an ""ins… [+2332 chars]"
0.3382,0.042,0.85,0.109,"I mixed some blue, green, and white paint to create the color. You try what works for you! Paint this onto the face of the character you want to be Sally
After the paint has dried, cut your string and glue onto the top of the character's head"
0.7845,0.0,0.864,0.136,"If you are using just a string, you will place some hot glue the string on top of the balls, make sure that each of the balls are evenly space out, I would suggest about two inches apart. Use as much string as you need.
Now you can hang up your amazing decor… [+23 chars]"
0.7766,0.0,0.657,0.343,"To start this fun and easy project you need 8 QTips, 1 spoon, and 1 ping pong ball."
0.3612,0.0,0.944,0.056,"President Donald Trump’s prolific tweeting stems from a fundamental need, according to White House counselor Kellyanne Conway.
“He needs to tweet like we need to eat,” she told The New York Times in a recent interview, adding that Twitter is perhaps the pres… [+963 chars]"
0.4215,0.05,0.862,0.088,"Dean Grubbs thinks great white sharks are boring.  
The veteran shark scientist, who has researched different shark species for 30 years, is vastly more intrigued by the little-seen dominant predator of the deep, dark, tropical and temperate oceans: the sixg… [+5538 chars]"
0.0846,0.045,0.904,0.051,"The BBC’s Szu Ping Chan takes a look at the futuristic technology depicted in 1982’s Blade Runner, which was set in November 2019. It now being November 2019, how did it do? We’re doing great on telecommunications and despoiling the planet, but not well on th… [+1639 chars]"
