compound,negative,neutral,positive,text
0.0516,0.051,0.892,0.057,"We report the discovery of a tandem catalytic process to reduce energy demanding substrates, using the [Ir(ppy)2(dtb-bpy)]+ (1+) photocatalyst. The immediate products of photoinitiated electron transfer (PET) between 1+ and triethylamine (TEA) undergo subsequ… [+988 chars]"
0.5859,0.0,0.849,0.151,"A rhodium-catalyzed method for the hydrogenation of N-heteroarenes is described. A diverse array of unsubstituted N-heteroarenes including pyridine, pyrrole, and pyrazine, traditionally challenging substrates for hydrogenation, were successfully hydrogenated … [+1035 chars]"
0.296,0.0,0.944,0.056,"Abstract
In this work, we have synthesized MOFconducting polymer nanocomposites upon polymerization of specialty monomers such as pyrrole (Py) and 3,4ethylenedioxythiophene (EDOT) in the voids of a stable and biporous Zrbased MOF (UiO66). FTIR and Raman data… [+828 chars]"
0.296,0.0,0.944,0.056,"Abstract
In this work, we have synthesized MOFconducting polymer nanocomposites upon polymerization of specialty monomers such as pyrrole (Py) and 3,4ethylenedioxythiophene (EDOT) in the voids of a stable and biporous Zrbased MOF (UiO66). FTIR and Raman data… [+828 chars]"
0.296,0.0,0.944,0.056,"Abstract
In this work, we have synthesized MOFconducting polymer nanocomposites upon polymerization of specialty monomers such as pyrrole (Py) and 3,4ethylenedioxythiophene (EDOT) in the voids of a stable and biporous Zrbased MOF (UiO66). FTIR and Raman data… [+828 chars]"
0.4939,0.0,0.877,0.123,"Abstract
Hybrid materials have obtained welldeserved attentions in energy storage devices, because they show high capacitances and high energy densities induced by synergistic effect between complementary components. Polyoxometalatebased metalorganic framewo… [+1191 chars]"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.7096,0.0,0.872,0.128,"Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different device, you may be asked to login again with only your ACS ID.
Please note: If you switch to a different devic… [+56 chars]"
0.0,0.0,1.0,0.0,"Experimental section; TEM images of PPy precursor at different resolutions; high-resolution BF-STEM image of SAICNT-900; XRD patterns of SAICNT-900, FeCN-900, and commercial CNT; pore size distribution of the SAICNT-900 catalyst; XPS spectra of SAICNT-900 and… [+272 chars]"
0.6705,0.0,0.876,0.124,"As a service to our authors and readers, this journal provides supporting information supplied by the authors. Such materials are peer reviewed and may be reorganized for online delivery, but are not copyedited or typeset. Technical support issues arising fro… [+326 chars]"
0.0,0.0,1.0,0.0,"Corresponding Author
E-mail address: [email protected]
College of Chemical Engineering, Xiangtan University, Xiangtan, 411105 Hunan, China
School of Biology and Chemical Engineering, Panzhihua University, Panzhihua, 617000 Sichuan, China
Search for more p… [+19 chars]"
0.6705,0.0,0.876,0.124,"As a service to our authors and readers, this journal provides supporting information supplied by the authors. Such materials are peer reviewed and may be reorganized for online delivery, but are not copyedited or typeset. Technical support issues arising fro… [+326 chars]"
0.0,0.0,1.0,0.0,"Corresponding Author
E-mail address: [email protected]
College of Chemical Engineering, Xiangtan University, Xiangtan, 411105 Hunan, China
School of Biology and Chemical Engineering, Panzhihua University, Panzhihua, 617000 Sichuan, China
Search for more p… [+19 chars]"
0.0,0.0,1.0,0.0,"Incorporation of an electron-withdrawing SO2CF3 substituent to cyclometalating C^N-phenylpyridine (ppy) ligand resulted in an expected blue-shifted phosphorescence in the corresponding homoleptic Ir(ppySCF3)3 complex, showing the emission of em = 464 nm at 30… [+1424 chars]"
0.6597,0.0,0.881,0.119,"If you are not the author of this article and you wish to reproduce material from
 it in a third party non-RSC publication you must 
 formally request permission using Copyright Clearance Center.
 Go to our 
 Instructions for using Copyright Clearance Cen… [+2741 chars]"
0.2732,0.059,0.822,0.119,"Abstract
The visible lightpromoted intramolecular [2+2] cycloaddition of Nallylcinnamamines and Nallylcinnamamides in the presence of catalytic amounts of (Ir[dF(CF3)ppy]2(dtbpy))PF6 is reported. Low energy visible light and a high triplet energy iridiumphot… [+611 chars]"
