compound,negative,neutral,positive,text
-0.6124,0.114,0.886,0.0,"The biggest wave in consumer products right now has all the hallmarks of another bubble of misplaced investor expectations and sadly lower margins.
Cloud kitchens (the category, and not just CloudKitchens the startup service) is essentially WeWork for restau… [+7694 chars]"
0.8442,0.0,0.832,0.168,"If youve been wanting to give your iPhone or iPad a little refresh, a new font can potentially be a way to do it. This week, Adobes Creative Cloud made 1,300 fonts available for free to anyone that downloads its Creative Cloud app from the App Store.
Once yo… [+1206 chars]"
0.936,0.0,0.723,0.277,"1,300 free fonts for everyone, and 17,000 fonts for Creative Cloud subscribers
Adobes Creative Cloud app is bringing thousands of new fonts to iOS and iPadOS today. Users can download the app to get access to 1,300 free fonts, and Creative Cloud subscribers … [+894 chars]"
0.2023,0.082,0.777,0.141,"The corporate war to provide cloud computing for US warfighters is over.
Late Friday, the Department of Defense announced that Microsoft has won the Joint Enterprise Defense Infrastructure contract, known as JEDI. The decision was the culmination of a two-ye… [+2791 chars]"
-0.4939,0.107,0.825,0.069,"Quittin your job can feel great, but before you tell off that coworker who always annoyed you, kick your feet up and do nothing for two weeks, and ride off into the sunset, you should take a quick moment to think about what you want to take with you. No, prob… [+6870 chars]"
0.5719,0.0,0.867,0.133,"Its finally over
Illustration by Alex Castro / The Verge
The US government has awarded a giant $10 billion cloud contract to Microsoft, the Department of Defense has confirmed. Known as Joint Enterprise Defense Infrastructure (JEDI), the contract will provi… [+1769 chars]"
0.34,0.0,0.949,0.051,"Google dropped a bit of news right off the bat at this morning’s Made by Google event: Stadia, its on-demand cloud game streaming service, will launch on November 19th.
Stadia is Google’s experiment in changing up the way we play video games; rather than ren… [+286 chars]"
-0.4939,0.117,0.824,0.059,"Every generation claims an event that defines it more than any otherwinning a World War, or landing humans on the moon, or tearing down the Berlin Wall. But at this very moment, we have the dubious honor of living through an event whose impact will span gener… [+2421 chars]"
0.875,0.0,0.733,0.267,The chipmaker also unveiled a next-gen Movidius Vision Processing Unit whose updated computer vision architecture promises over 10 times the inference performance while reportedly managing efficiency six times better than rivals. Those claims have yet to pan … [+710 chars]
0.7506,0.0,0.853,0.147,"Sure, its Halloween week and most of us are probably using our streaming services to binge all all things spooky. But with Friday comes a new month, new Netflix offerings, and the opportunity to float away on a soothing cloud as the Queer Eye crew gallivants … [+3111 chars]"
0.6597,0.0,0.878,0.122,"Instead of using third-party platforms like Youtube and Twitch, artists will soon be able to livestream their process directly through whatever Adobe Creative Cloud app theyre working in according to a Verge report.
Its one of many experimental features the … [+2246 chars]"
0.5719,0.0,0.895,0.105,"More posts by this contributor
SaaS has been the motherlode of enterprise software investing for two decades now. Venture investors, entrepreneurs, and Wall Street have all learned to pile on, leading to a shared consensus that cloud investing is a sure thin… [+3611 chars]"
-0.6124,0.119,0.847,0.034,"Image copyrightReutersImage caption
 John Conyers greets Barack Obama in Detroit in January 2016
The longest-serving black member of the US Congress, John Conyers, has died at home at the age of 90, police in Detroit say.
The Democrat resigned under a clou… [+3344 chars]"
-0.5106,0.118,0.839,0.043,"A tornado barreled through the Dallas-Fort Worth metroplex on Sunday night, obliterating concrete buildings, a big rig and utility poles in a wide path of destruction and leaving tens of thousands of people without power. 
The National Weather Service said a… [+284 chars]"
0.765,0.0,0.811,0.189,"The U.S. Department of Defense today announced that Microsoft has won its Joint Enterprise Defense Infrastructure (JEDI) cloud contract, worth up to $10B over a period of ten years. With this, Microsoft will provide infrastructure and platform services for bo… [+1380 chars]"
0.6369,0.0,0.892,0.108,"The world of phone-based AR has involved a lot of promises, but the future that’s developed has so far been more iterative and less platform shift-y. For startups exclusively focused on mobile AR, there’s been some soul-searching to find ways to bring more li… [+1756 chars]"
0.7964,0.027,0.809,0.164,"As fall arrived, we fell hard for news about machine learning, new trainings for those working on cloud technology, and some tips about secure passwords. Bundle up and read on for what was hot in cloud last month.
We celebrated National Cyber Security Awaren… [+3970 chars]"
0.3071,0.0,0.927,0.073,"Neo4j, a popular graph database, is available as an open source product for anyone to download and use. Its enterprise product aimed at larger organizations is growing fast, but the company recognized there was a big market in between those two extremes, and … [+1989 chars]"
0.5574,0.0,0.905,0.095,"With the preview of Azure Arc, Microsoft today announced a major step in the evolution of its hybrid cloud story. Azure Arc takes the work the company has done on projects like Azure Stack, throws in containers and Kubernetes, as well as new infrastructure ma… [+2635 chars]"
0.8316,0.054,0.729,0.217,"The customer records of nearly 7.5 million Adobe Creative Cloud users were reportedly discovered by a security researcher this month in an inadvertently exposed database which has now been secured.
The records reportedly exposed in the security mishap did no… [+2760 chars]"
