compound,negative,neutral,positive,text
0.4019,0.0,0.938,0.062,"Abra is expanding its U.S. offerings, adding support for 60 new cryptocurrencies and doubling users’ bank deposit limits.
The crypto wallet and investment app provider announced Tuesday that U.S. customers are now able to deposit, withdraw or trade bitcoin S… [+1480 chars]"
-0.296,0.093,0.907,0.0,"Major Proof-of-Stake (PoS) blockchain Qtum has gone through its first-ever hard fork today, updating the network to Qtum 2.0.
Major network upgrade
Qtum blockchain has had its first hard fork as scheduled, Qtum Official tweeted on Oct. 17.
The hard fork ha… [+1667 chars]"
0.3612,0.045,0.859,0.096,"References to Advisories, Solutions, and Tools
By selecting these links, you will be leaving NIST webspace. We have provided these links to other web sites because 
 they may have information that would be of interest to you. No inferences should be drawn o… [+406 chars]"
0.5106,0.0,0.893,0.107,"Derivatives exchange FTX has launched an index of eight popular China-based cryptocurrencies.
Announced in a tweet by the firm’s CEO Sam Bankman-Fried Tuesday, the Dragon Perpetual Futures Index (DRGN-PERP) tracks a basket of coins including BTM, IOST, NEO, … [+1227 chars]"
0.4019,0.0,0.938,0.062,"Abra is expanding its U.S. offerings, adding support for 60 new cryptocurrencies and doubling users bank deposit limits.
The crypto wallet and investment app provider announced Tuesday that U.S. customers are now able to deposit, withdraw or trade bitcoin SV… [+1631 chars]"
0.6249,0.0,0.873,0.127,"<ul><li>Chinese President Xi Jinping announced support for blockchain last Thursday.</li><li>The news was welcomed by the crypto community as Chinese altcoins such as NEO, TRON and Qtum skyrocketed over the weekend.</li><li>Analysts believe that theres more t… [+3488 chars]"
-0.1531,0.036,0.964,0.0,"Bitcoin rose by 2.34% on Tuesday. Partially reversing a 3.64% slide from Monday, Bitcoin ended the day at $9,445.5.
A bullish start to the day saw Bitcoin rally to an early morning intraday high $9,559.8 before hitting reverse.
Falling short of the first ma… [+4085 chars]"
0.5106,0.0,0.896,0.104,"Derivatives exchange FTX has launched an index of eight popular China-based cryptocurrencies.
Announced in a tweet by the firms CEO Sam Bankman-Fried Tuesday, the Dragon Perpetual Futures Index (DRGN-PERP) tracks a basket of coins including BTM, IOST, NEO, N… [+1374 chars]"
0.34,0.032,0.903,0.065,"The core development team of blockchain platform Æternity announced the release of the software of its latest hard fork, namely Lima.
Æternity announced in a press release published on Nov. 5 that the introduction of Lima improves the network’s virtual machi… [+1749 chars]"
0.0,0.0,1.0,0.0,"California-based cryptocurrency wallet and investment service Abra is adding a total of 60 new cryptocurrencies to its platform, reports suggest.
According to CoinDesk on Nov. 12, the increasingly widespread payment gateway is planning to more than treble it… [+1520 chars]"
0.4019,0.0,0.941,0.059,"Investment app Abra announced on Tuesday that its global users will soon be able to trade over 200 new cryptocurrencies on its revamped platform over the next few weeks. 
The California-based company said it has also added support for over 60 cryptocurrencie… [+1023 chars]"
0.6705,0.0,0.884,0.116,"Since the start of the fourth quarter, Wall Street is witnessing new highs on the back of a better-than-expected earnings season, easing policies and trade deal optimism.
Total earnings for 403 S&amp;P members that reported Q3 results are down 1.7% on 4% hig… [+6945 chars]"
0.3612,0.0,0.928,0.072,"China’s state-backed tech workgroup has released its fourteenth crypto rankings report, with Bitcoin (BTC) ranked 11th and EOS (EOS) retaining the top spot as of the end of September 2019.
The listings rank 35 assets in total, as reported on Sep. 29 by the C… [+1414 chars]"
0.2732,0.054,0.846,0.1,"Binance’s latest research report has argued that with Ethereum’s pending switch to proof-of-stake (PoS), staking is set to have a major impact on the industry. 
The report, published on Oct. 28, highlights that the largest 10 crypto assets supporting — or po… [+2399 chars]"
0.9081,0.0,0.66,0.34,"5020&gt;&gt;&gt; 
Qtum
After Qtum supporting confidential assets, what are its differences with other privacy focused public blockchains?
After Qtum chain supporting confidential assets,
The main difference between other privacy focused public blockchains… [+3467 chars]"
0.7506,0.0,0.833,0.167,"China’s Communist Party (CPC) is taking its leader’s support for blockchain to heart.
Following Xi Jinping’s bombshell speech last week urging his countrymen to “seize the opportunity” created by the technology, the CPC released a decentralized app (dapp) fo… [+4177 chars]"
0.5994,0.0,0.902,0.098,A further $6 billion has been added to total crypto market capitalization over the past 24 years and it is altcoins that are leading the gains. A big dose of Chinese FOMO boosted home grown projects there and Stellars coin burn is igniting some them this morn… [+3056 chars]
0.2481,0.0,0.951,0.049,"Voyager (CSE:VYGR), a crypto brokerage firm that provides retail and institutional investors with trading solutions, announced Monday that it has released the beta version of its trading app for Android.
The Voyager app is now available on Android! 
Downloa… [+1404 chars]"
0.4767,0.0,0.909,0.091,“Quantum supremacy.” The term inspires images of a giant world-brain supercomputer that can count the grains of sand on every beach on Earth. But what does Google’s official claim of supremacy mean and how will practical quantum computing change the world of … [+8071 chars]
0.6705,0.0,0.857,0.143,<ul><li>VeChain and NEO have orchestrated impressive rallies over the last few days.</li><li>TRON and Ontology are printing market structures that are bullish.</li><li>Traders weigh in and share their bullish predictions on Chinese coins.</li></ul>If you boug… [+3724 chars]
