compound,negative,neutral,positive,text
-0.128,0.091,0.849,0.059,"The Wild West days of unapproved or unwanted technology infiltrating public spaces in San Francisco without permission from the city may be nearing their end.
City officials are hoping to establish an Office of Emerging Technology within the Department of Pu… [+1930 chars]"
0.5859,0.0,0.902,0.098,"Of course, the utilitys leaders would be likely to oppose such a change. The company has so far staved off attempts by other cities, like San Francisco, to buy PG&amp;E infrastructure to form municipal utilities.
Its fair to say that PG&amp;E has not been al… [+1335 chars]"
-0.8979,0.243,0.757,0.0,"Image copyrightGoFundMeImage caption
 The death of Dylan Hernandez was confirmed on Monday evening
San Diego State University has suspended 14 fraternities following the death of a 19-year-old student who had allegedly attended a fraternity event.
Dylan He… [+2297 chars]"
0.6486,0.0,0.916,0.084,"Readers wanted to know how those costs got so high and what is behind it. The details are complicated, but the answer is pretty straightforward: Everything is behind it. Material costs are going up, land costs are going up, labor costs are going up. Add that … [+1459 chars]"
-0.8807,0.188,0.812,0.0,"Voters in San Francisco have resoundingly rejected an attempt to overturn a citywide ban on e-cigarettes by a margin of around 80:20.
Reporting on the count in the Bay Area, CBS SF says at least 78 per cent of voters rejected the ballot measure, known as Pro… [+3027 chars]"
0.0,0.0,1.0,0.0,"Plant-based replacements are so hot right now, they’re even hitting the coolest thing in food — ice cream.
The new plant-based dairy replacement maker, Eclipse Foods, has just signed a deal with hipster ice cream brands Humphry Slocombe and Oddfellows to put… [+3108 chars]"
0.0,0.0,1.0,0.0,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
0.4588,0.0,0.936,0.064,"One of my favorite grocery stores in San Francisco is the one that sells food thats getting close to its expiration date. Its a warehouse-type grocery situation, and everything in the store is significantly cheaper than it is at the regular grocery. You just … [+1456 chars]"
-0.0516,0.045,0.915,0.041,"The 49ers have managed to get pressure on the quarterback on 34 percent of plays, second in the league to the Bears, while blitzing less than any team except the Lions. That has contributed to seven interceptions, third in the league on a per-game basis. 
De… [+1463 chars]"
-0.296,0.06,0.904,0.037,"When he got home, the teenager had his hood up and went straight to his room, Mr. Mohtaseb said. His mother, sensing something was wrong, checked on him and saw the dark bruises around his eye. She immediately called Mr. Mohtaseb at the Partnership for the Ad… [+1597 chars]"
0.4939,0.0,0.939,0.061,"You singled me out, out of all these people, the man, who had a sandwich in his hand, told the officer. 
Youre eating, the officer said. 
So what? the man replied. 
As the video continues, the officer told the man that he was going to jail for resisting ar… [+1068 chars]"
0.0,0.0,1.0,0.0,"But surveillance footage of the incident obtained by ABC7 News, which Mr. Hopkins said he watched with the police, shows a man in a blue cap and a blue Nike shirt enter the gallery, with a second person in pink pants waiting outside. The man then appears to m… [+1266 chars]"
-0.6705,0.089,0.911,0.0,"On Tuesday morning, more than 12 hours after the shooting at the Ernesto Ramos Antonini housing complex in the Río Piedras neighborhood, the bodies of five of the people killed four men and one woman remained covered on the ground outside as the police gather… [+1443 chars]"
0.7351,0.0,0.892,0.108,"My kids are at a point now where if they see me walk through the door with an orange suit on and a wig theyre like Hey, Dad, Adams said. Its nothing to them.
By the time Adams decided to retire from the N.F.L., in March 2013, he had found the perfect vehicle… [+1662 chars]"
-0.5106,0.109,0.891,0.0,"The suspension, which was imposed on Friday, is a heavier penalty, essentially a cease and desist, the university said. The fraternities cannot hold activities, participate in university activities or recruit new members pending external review, the universit… [+1104 chars]"
0.25,0.037,0.905,0.058,"Two hours after the shooting, people who had attended the party huddled by their cars, still appearing dazed. None were willing to speak with a reporter.
David Cook, the chief of the Orinda Police Department, did not immediately respond to a request for comm… [+601 chars]"
-0.6808,0.139,0.816,0.045,"(CNN)Three employees were shot Wednesday evening at a Church's Chicken in Otay Mesa, California, the San Diego Police Department said in a news release.
One of the victims was killed and the other two were in stable condition after being transported to nearb… [+734 chars]"
