compound,negative,neutral,positive,text
0.2023,0.0,0.938,0.062,"Yesterday theater chain AMC launched its own streaming service, a first for a cinema operator, that allows members of the companys AMC Stubs service to buy or rent films through the chain.
Headlines at a number of sites claimed the move was a blow to Netflix… [+2524 chars]"
0.7003,0.0,0.873,0.127,"Getting around can get pricey. And with more ways to do soride-hailing, car rentals, scooters, regular bikes, e-assist bikeswell, your attempts at going car free could quickly add up to something that looks like a car payment.
Whats a frequent ride-hailer to… [+2397 chars]"
-0.1298,0.033,0.967,0.0,"The movie theater industry has tried all sorts of approaches to compete with the lure of at-home streaming, from subscription passes to new formats. However, with the almost unstoppable rise of Netflix and more competition coming soon, AMC is getting in on th… [+659 chars]"
-0.4215,0.165,0.722,0.112,"Some of the problems may stem from a verifier system that was approved in 2016. It was meant to automatically check whether people qualified for Lifeline service and reduce fraud, but its incomplete access to benefit databases appears to have rejected people … [+1201 chars]"
0.7269,0.0,0.878,0.122,"AT&amp;T and WarnerMedia just announced the pricing of its HBO Max streaming service, along sharing more details about the timing and content lineup.
The service will cost $14.99 per month the same price as HBO Now. WarnerMedia also says it will be free for … [+7225 chars]"
-0.2975,0.127,0.768,0.105,"The catalogue of content available through the UK version of the service is different from that available in the US, though both suffer from a dearth of the most popular shows. Shows available through the UK service include standard fare like Downton Abbey, G… [+830 chars]"
0.0,0.0,1.0,0.0,"Disney+, the newest and cheapest major streaming service, gives you less bang for your buck than Netflix, Hulu, and Prime Video. Reelgood, the site that sorts through all your streaming services, calculated how many shows and movies each service offers, in a … [+2348 chars]"
0.0,0.0,1.0,0.0,"Competition for the show was apparently fierce, with Varietyreporting that Netflix dropped out of the running in mid-October as it sought global, not just domestic, rights -- it already has some rights to the show in the UK.
The deal covers all 23 seasons, p… [+771 chars]"
0.34,0.0,0.949,0.051,"Google dropped a bit of news right off the bat at this morning’s Made by Google event: Stadia, its on-demand cloud game streaming service, will launch on November 19th.
Stadia is Google’s experiment in changing up the way we play video games; rather than ren… [+286 chars]"
0.34,0.076,0.777,0.147,"Subscription has been all the rage in media circles as the industry searches for new, sustainable business models. Weve seen companies from infrastructure plays like Substack and Pico to brand verticals like Holloway and The Athletic receive venture funding, … [+18435 chars]"
0.25,0.066,0.792,0.142,"Amazon Prime Video is kicking off November with the addition of a ton of classic movies, including Big Top Pee-Wee, Bad Santa, and Goldeneye.
On November 15th, the fourth season of the Amazon original series The Man in the High Castle makes its debut on the … [+2298 chars]"
0.3818,0.0,0.924,0.076,"If youre an HBO Now customer thats been eyeing HBO Max, you might want to make sure youre paying HBO directly for the service now, and if youre not, consider transitioning your account over now to a directly HBO-billed service rather.
This week HBO announced… [+1492 chars]"
-0.296,0.048,0.952,0.0,"Sony’s live TV streaming service, PlayStation Vue, is shutting down. The service will no longer be available as of January 30, 2020, the company announced today. The news comes only days after rumors circulated which claimed Sony was in search of a new owner … [+2404 chars]"
-0.6597,0.175,0.748,0.077,"Whether you love them or hate them (and you probably hate them), meetings are a fact of corporate life. And how many meetings have you attended that didn’t start on time because of technical difficulties? Microsoft wants to change that by managing your meetin… [+1837 chars]"
0.0762,0.0,0.971,0.029,"Setapp, the Spotify of Mac apps, is launching a new subscription plan specifically designed for teams. It is currently available as a public beta. As a reminder, Setapp lets you download and use 160 apps for a flat subscription fee. You dont need to pay for m… [+914 chars]"
0.4019,0.056,0.824,0.12,"If the court decides that Title VII protections apply to lesbian, gay, bisexual and transgender employees, such a decision would essentially extend basic civil rights protections to those groups.
Kerri Kupec, a Justice Department spokeswoman, disputed the Sh… [+1347 chars]"
0.3612,0.0,0.944,0.056,"On November 12, Disney will officially launch its streaming service, Disney+, as a competitor against other major platforms like Netflix and Hulu.
 And while weve known what to expect from the streaming service for some time, in a series of 300+ tweets, Disn… [+2319 chars]"
-0.5106,0.112,0.888,0.0,"While Disney leans hard on nostalgia for content from its vast archives to push its upcoming Disney+ package, one downside is that licensing deals signed years ago will mean some movies aren't always available. In the past, it's made limited availability of c… [+956 chars]"
0.081,0.038,0.918,0.045,"Due to the highly competitive Pay TV industry
Image: Sony
Sony is shutting down its live TV streaming service PlayStation Vue on January 30th, 2020, the company announced today. The sudden announcement of the shutdown comes just a week after a report publis… [+728 chars]"
0.0,0.0,1.0,0.0,"Despite multiple price increases, it appears Sony has yet to make money on the service. Just this past summer, the company raised the price of all its multi-channel plans by $5 per month. It did the same the summer before. The company's most affordable ""Acces… [+1091 chars]"
