compound,negative,neutral,positive,text
0.6369,0.0,0.882,0.118,"October
15, 2019
5 min read
Opinions expressed by Entrepreneur contributors are their own.
Every year, we publish the Entrepreneur 360 — our list of the 360 most well-rounded companies in America, based on an evaluation of impact, innovation, growth, lead… [+4074 chars]"
0.0,0.0,1.0,0.0,"Walter Becker’s massive collection of guitars and amplifiers collected $3.3 million at auction over the weekend. Julien’s Auctions in Los Angeles hosted the two-day sale, which featured 600 guitars and 400 amplifiers, plus an assortment of other gear and soun… [+2278 chars]"
-0.4215,0.062,0.938,0.0,"belgian designer and artist joachim froment uses plastic waste for his latest collection of sustainable furniture. strat is made out of local recycled plastic that is 3D printed into the chairs and stool. the whole collection includes stools, lounge chairs, t… [+1836 chars]"
0.7264,0.0,0.862,0.138,"Fenders most popular guitar, the Stratocaster, is one of the most iconic instruments of the last half-century. The double-cutaway electric guitar was a favorite of numerous rock legends including Jimi Hendrix, Eric Clapton, Jeff Beck, David Gilmour, Stevie Ra… [+1011 chars]"
0.8516,0.0,0.78,0.22,"Fender Limited-Edition Player StratocasterDiscount: Save $125 at checkoutPrice:$675
 $550
Fenders most popular guitar, the Stratocaster, is one of the most iconic instruments of the last half-century. The double-cutaway electric guitar was a favorite of num… [+1103 chars]"
0.128,0.049,0.891,0.06,"While Linux 5.4 is rolling out in about two weeks, the out-of-tree Reiser4 file-system has just been updated for Linux 5.3 support.
Edward Shishkin continues near single-handedly maintaining the out-of-tree Reiser4 code that at this point still has no appare… [+1140 chars]"
-0.0258,0.089,0.826,0.086,"Image source: The Motley Fool.
Golden Entertainment (NASDAQ:GDEN)Q3 2019 Earnings CallNov 07, 2019, 5:00 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Ladies and gen… [+35972 chars]"
0.6908,0.0,0.853,0.147,"Stratis IoT is among the many companies and solutions being introduced to help streamline property ... [+] management.
Statis IoT
When it comes to technology, the real estate industry has traditionally been slower to embrace advancements than many other fie… [+10044 chars]"
0.0772,0.0,0.971,0.029,"On December 10, Jerry Garcia’s heavily modified Fender Stratocaster, called Alligator, will go to auction at Bonhams in Los Angeles. This 1955 Strat, Garcia’s guitar of choice from ’71 to ’73, has a swamp ash body, maple neck and a number of modifications per… [+1016 chars]"
0.9153,0.0,0.734,0.266,"While it is already exciting to have the Ubuntu 19.10 desktop easily support installations to a root ZFS file-system, moving ahead with their original Zsys effort it should be even more exciting for Ubuntu storage possibilities on both the desktop and server.… [+1286 chars]"
0.7506,0.0,0.844,0.156,Stratis is one of the new features that ships with RHEL 8 distribution. Stratis is a local storage management solution that focuses on simplicity and improved usability while at the same time providing access to advanced storage features. It uses the XFS file… [+10065 chars]
0.802,0.0,0.84,0.16,"Now at Guitar Center, you can save almost $400 on a Fender Eric Johnson Thinline Stratocaster. This signature model was the first of its kind for the brand and now it’s much more affordable. It has the same features as Johnsons solid body model — a nitrocellu… [+1918 chars]"
0.802,0.0,0.84,0.16,"Now at Guitar Center, you can save almost $400 on a Fender Eric Johnson Thinline Stratocaster. This signature model was the first of its kind for the brand and now it’s much more affordable. It has the same features as Johnsons solid body model — a nitrocellu… [+1918 chars]"
0.802,0.0,0.84,0.16,"Now at Guitar Center, you can save almost $400 on a Fender Eric Johnson Thinline Stratocaster. This signature model was the first of its kind for the brand and now it’s much more affordable. It has the same features as Johnsons solid body model — a nitrocellu… [+1918 chars]"
0.4588,0.029,0.881,0.09,"Right now, you can save up to $150 on a bunch of Fender guitars at Guitar Center. For the 4th of July Sale, the retailer discounted some iconic guitars including Stratocasters, Telecasters, Jaguars and more. If youve been waiting to pick up an affordable axe … [+1070 chars]"
-0.1027,0.041,0.959,0.0,"Fender American Elite Strat reduced at Andertons. SSS/HSS Configurations... Comes with hard case. 
Fender American Elite Strat MN in Sky Burst Metallic SpecificationsBODY WOOD: Alder BRIDGE TYPE: Classic TremoloCASE/GIGBAG:CaseFRETBOARD WOOD:Maple HARDWARE C… [+248 chars]"
0.6072,0.054,0.805,0.141,"When we present our marketing plans for growth, they are true, they are absolute, and they can only be the way they are – correct. But can the truth be two things at the same time? Can it be right and wrong? Are there strategic questions Schrodinger would lov… [+9284 chars]"
0.6801,0.0,0.864,0.136,"For any artist or band, having a high ranking is incredibly important to maintaining your online presence and being discoverable by your fans. Because of this every slight edge you can gain when it comes to SEO matters, including the implementation of image a… [+3339 chars]"
0.7845,0.04,0.768,0.192,"Note: All information on this page is subject to change. The use of this website constitutes acceptance of our user agreement. Please read our privacy policy and legal disclaimer.
Trading foreign exchange on margin carries a high level of risk and may not be… [+1278 chars]"
