compound,negative,neutral,positive,text
0.7964,0.0,0.835,0.165,"Also neck and neck this weekend: The Addams Family, an animated family movie distributed in the United States by United Artists Releasing, is estimated to make around $11.7 million in domestic sales; and Zombieland 2: Double Tap, a comedy from Sony Pictures t… [+1239 chars]"
0.0,0.088,0.823,0.088,"Image source: The Motley Fool.
Seagate Technology PLC (NASDAQ:STX)Q1 2020 Earnings CallNov 1, 2019, 9:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning, … [+48272 chars]"
0.0258,0.071,0.831,0.097,"LOS ANGELES, (Variety.com) - Five years after Angelina Jolie’s “Maleficent” cast a spell over the box office, the villainous enchantress has returned to the top of domestic charts. Disney’s “Maleficent: Mistress of Evil,” a sequel to 2014’s fantasy adventure … [+4521 chars]"
0.5562,0.0,0.897,0.103,"Connect with Us
Get our latest storiesin the feed of your favorite networks
Have a Tip?
We want to hear from you! Send us a tip using our annonymous form.
Send Us a Tip
Stay in the Know
Sign up for our breaking news alerts"
-0.2023,0.081,0.856,0.062,"Jodie Foster, Tahar Rahim and Shailene Woodley are joining Benedict Cumberbatch in 30WEST-Topic Studios-BBC’s Prisoner 760which STX international will be launching at AFM. STXinternational has secured all foreign rights on the pic and will be directly distrib… [+2834 chars]"
0.0,0.0,1.0,0.0,"At today’s The Contenders L.A. panel on STX Entertainment’s Hustlers, writer director Lorene Scafaria said Jennifer Lopez was the first choice to portray stripper Ramona in the film, based on a 2015 New York magazine story about a group of strippers who turne… [+1174 chars]"
-0.0387,0.052,0.877,0.072,"by Alex BillingtonOctober 29, 2019Source:YouTube
""They told me you were the guy who kills killers."" STX Entertainment has debuted a third &amp; final official trailer for the NYC action thriller 21 Bridges. We've seen two solidtrailers previously, but the mo… [+1860 chars]"
0.624,0.0,0.902,0.098,"It makes sense that on the week when people dress up for make believe, the movie that created one of the most popular characters of Halloween 2019 returned to #1 in its fourth weekend.
D.C. Comics’ “Joker” fell only 35% in its fourth weekend — and more impre… [+5355 chars]"
0.3182,0.0,0.95,0.05,"Blockstacks Stacks (STX) token can now be traded on the Binance and HashKey Pro exchanges, the company said Wednesday.
The advance is set to expand investors access to STX especially in Asia, where HashKey Pro is based and Binance is well-known. Muneeb Ali, … [+1642 chars]"
0.3182,0.0,0.95,0.05,"Blockstacks Stacks (STX) token can now be traded on the Binance and HashKey Pro exchanges, the company said Wednesday.
The advance is set to expand investors access to STX – especially in Asia, where HashKey Pro is based and Binance is well-known. Muneeb Ali… [+1635 chars]"
0.3612,0.098,0.739,0.163,"Well, that was quick: After only a week of slumming it in the No. 2 spot, Warner Bros. Joker slid right back to the top with a modest $18.9 million domestic gain over the relatively quiet weekend, bringing the total stateside gross to nearly $277.6 million. I… [+1958 chars]"
0.8779,0.0,0.817,0.183,"You've read about our favorite films. Dissected our list of stellar TV A lot of discussion went into those picks, and obviously not everyone on the team was in agreement about each one.
That's where this list comes in. 
We all have things we loved this deca… [+12522 chars]"
0.3182,0.0,0.946,0.054,"Cryptocurrency exchange Binance announced on Wednesday that it will be listing Blockstack (STX) starting Oct. 25.
At launch, the exchange plans on offering STX/BNB, STX/BTC, and STX/USDT trading pairs. The firm now accepts STX deposits in preparation for tra… [+573 chars]"
0.296,0.0,0.951,0.049,"Blockstack, one of the first blockchain startups to have raised money in a Reg A+ offering, has hired GSR Markets to trade its “stacks” (STX) token.
According to an Oct. 24 filing with the U.S. Securities and Exchange Commission (SEC), the blockchain startup… [+2375 chars]"
0.0,0.0,1.0,0.0,"EXCLUSIVE:STXinternational has picked up rights to Dave Franco’s directorial debut The Rental, which stars Dan Stevens (Beauty And The Beast) and Alison Brie (Glow).
Written by Franco and Joe Swanberg, the pic follows two couples who embark on a weekend geta… [+2102 chars]"
-0.1027,0.035,0.965,0.0,"Seagate Technology's hard disk drive assembly plant in Singapore, Monday, Feb. 5, 2007. In a case ... [+] involving Seagate Technology, the U.S. Court of Appeals for the Federal Circuit in Washington today overturned a 24-year-old standard that patent owners … [+4981 chars]"
0.0,0.0,1.0,0.0,"In today’s film news roundup, Zac Efron will portray an investigative journalist, Vanessa Hudgens is hired for Lin-Manuel Miranda’s “Tick, Tick… Boom!” and Zahra Phillips has a new gig.
CASTING
Zac Efron has signed on to star in “King of the Jungle” as a Wi… [+1816 chars]"
0.1779,0.055,0.874,0.07,"Seagate Technology PLC (NASDAQ:STX) stock rallied hard off its early August lows near $42, eventually topping out at an annual high of $57.20 on Sept. 18. The shares have since consolidated some of these gains, but are trading near a trendline that's had bull… [+1769 chars]"
0.5106,0.0,0.907,0.093,"EXCLUSIVE:Anne Winters (13 Reasons Why) is set as a new series regular on the upcoming third season of Seth MacFarlane’s epic space adventure series The Orville, its first season on Hulu.
Created and written by MacFarlane, in season 3 of The Orville, set 400… [+1203 chars]"
0.25,0.0,0.95,0.05,"Finally hitting theaters in less than a month, Martin Scorsese’s gangster epic “The Irishman” is about to become an awards-season juggernaut for Netflix, which threw down a reported $160 million to mount the Oscar-winning director’s vision of a post-WWII crim… [+2065 chars]"
