compound,negative,neutral,positive,text
0.6486,0.0,0.88,0.12,"The President of Indias Shreshta Bhasha Puraskaram for Malayalam awarded to VR Prabodhachandran Nayar (VRP) is a recognition for his contribution to the growth and development of this classic language of the South. 
When VRP was born into a traditional famil… [+3759 chars]"
0.5413,0.0,0.903,0.097,"In this article, I'll review the fixed-to-floating rate preferred stocks and units, sorted into several categories. There are 98 issues in our database that trade on primary exchanges. Maybe the most important ETF for this type of security is the Invesco Vari… [+10063 chars]"
0.2732,0.081,0.78,0.139,"Image source: The Motley Fool.
Dominion Energy, Inc. (NYSE:D)Q3 2019 Earnings CallNov 1, 2019, 10:00 a.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good morning and w… [+50256 chars]"
0.2732,0.0,0.946,0.054,"Dominion Energy, Inc. (NYSE:D) Q3 2019 Earnings Conference Call November 1, 2019 10:00 AM ET
Company Participants
Steven Ridge - VP, Investor Relations
James Chapman - EVP, CFO
Thomas Farrell - President and CEO
Diane Leopold - Co-Chief Operating Officer… [+47952 chars]"
0.8855,0.0,0.733,0.267,"In this article, I'll review the less popular fixed-income securities, sorted into several categories: floored preferred stocks, third parties, trust preferred stocks, and the preferred units, including those with K-1. This makes a total of 90 securities, 50 … [+11233 chars]"
0.2732,0.0,0.925,0.075,"RICHMOND Nov 2, 2019 (Thomson StreetEvents) -- Edited Transcript of Dominion Energy Inc earnings conference call or presentation Friday, November 1, 2019 at 2:00:00pm GMT=========================================================================================… [+60093 chars]"
0.0,0.0,1.0,0.0,"Citation: Van de Walle P, Geens E, Baggerman G, José Naranjo-Galindo F, Askjaer P, Schoofs L, et al. (2019) CEH-60/PBX regulates vitellogenesis and cuticle permeability through intestinal interaction with UNC-62/MEIS in Caenorhabditis elegans. PLoS Biol 17(11… [+65423 chars]"
0.0258,0.076,0.847,0.077,"AMHERST, N.Y., Oct. 16, 2019 /PRNewswire/ -- For Amanda, it was the best of times almost. For Richard, it was the worst of times, at least when it came to the vehicle reimbursement program both he and Amanda were involved with through their company. You see, … [+4269 chars]"
0.0,0.086,0.828,0.086,"Image source: The Motley Fool.
PPG Industries Inc (NYSE:PPG)Q3 2019 Earnings CallOct 17, 2019, 2:00 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Participants</li></ul>Prepared Remarks:
Operator
Good afternoon and … [+72803 chars]"
0.4939,0.083,0.769,0.148,"We are writing a series of reviews for those fixed-income investors who want to stay away from the interest risk, despite the current expectations of lowering interest rates. Presenting all term preferred stocks and baby bonds with a stated maturity date in l… [+10027 chars]"
0.2732,0.0,0.946,0.054,"Dominion Energy, Inc. (NYSE:D) Q3 2019 Earnings Conference Call November 1, 2019 10:00 AM ET
Company Participants
Steven Ridge - VP, Investor Relations
James Chapman - EVP, CFO
Thomas Farrell - President and CEO
Diane Leopold - Co-Chief Operating Officer… [+47952 chars]"
0.0,0.0,1.0,0.0,"PITTSBURGH Oct 18, 2019 (Thomson StreetEvents) -- Edited Transcript of PPG Industries Inc earnings conference call or presentation Thursday, October 17, 2019 at 6:00:00pm GMT=====================================================================================… [+91566 chars]"
0.34,0.053,0.841,0.106,"Image: Xiaomi
A Russian security researcher said she accidentally found a way to hack and take over all Xiaomi pet feeders located across the world.
In a series of messages published on her private Telegram channel last week, Anna Prosvetova, a security res… [+2072 chars]"
0.1779,0.0,0.941,0.059,"WICHITA, Kan., Oct. 31, 2019 /PRNewswire/ -- Spirit AeroSystems Holdings, Inc. [NYSE: SPR] reported third quarter 2019 financial results.
<table><tr><td>Table 1.  Summary Financial Results (unaudited)
</td><td></td><td></td><td></td></tr><tr><td></td><td>3r… [+53771 chars]"
0.0,0.0,1.0,0.0,"PPG Industries, Inc. (NYSE:PPG) Q3 2019 Results Earnings Conference Call October 17, 2019 2:00 PM ET
Company Participants
John Bruno - Director, IR
Michael McGarry - Chairman and CEO
Vince Morales - SVP and CFO
Conference Call Participants
Ghansham Panj… [+64478 chars]"
