compound,negative,neutral,positive,text
0.7096,0.0,0.862,0.138,Richard Branson’s Virgin Galactic wil find out what the public markets think of its ambitious plan to make commercial space tourism a reality on Monday. The company’s shareholders have approved a merger announced earlier this year with Chamath Palihapitiya’s … [+1334 chars]
0.9428,0.028,0.677,0.295,"The platform, named GoFundMe Charity, will offer two different plans: one with no platform fee but ""tips"" from donors to support the service, or one with donor-covered fees. It will have other features to help out charities' fundraising efforts like data repo… [+615 chars]"
0.0,0.0,1.0,0.0,"HowNow, the workforce learning platform, has raised $3 million (£2.4m) in a “pre-series A” funding round. The round is led by Mark Pearson’s Fuel Ventures and brings the total raised by the startup to $4.5 million.
Other investors include Andy Murray OBE; Mi… [+3152 chars]"
0.4215,0.0,0.936,0.064,"Uploadcare, a startup that aims to make using CDN platforms cheaper and easier for businesses, today announced that it has raised a $1.7 million seed round led by Runa Capital and Vendep Capital, with existing investors Vaizra Capital and LVL1 Group participa… [+2178 chars]"
-0.0422,0.046,0.912,0.043,"Work management platform Asana today announced the launch of a new feature that will take the work out of some of the most mundane and repetitive tasks on its platform. Asana Automation, as the new feature is called, allows users to create their own “if this … [+1602 chars]"
0.6249,0.0,0.889,0.111,"Roku is beefing up its advertising business with the acquisition of Boston-based dataxu, a demand-side platform that will allow marketers to plan, buy and optimize their video ad campaigns that run on Roku’s devices and services. The deal, a mixture of cash a… [+1518 chars]"
0.0,0.0,1.0,0.0,"Amperity announced today that it’s acquiring another company in the customer data business, Custora.
Amperity co-founder and CEO Kabir Shahani told me that Custora’s technology complements what Amperity is already offering. To illustrate this point, he said … [+1149 chars]"
0.8176,0.0,0.791,0.209,"Deserve, a credit card startup helping young people establish themselves as well as a cloud-based credit card platform for businesses, has raised $50 million in a new round of Series C funding led by Goldman Sachs, the company announced today. Others particip… [+3286 chars]"
0.296,0.0,0.952,0.048,"In 2019, if a platform exists, it's going to have games on it. They may not be videogames as you generally think of themtheyre small, social, ephemeralbut they are games, and theyre everywhere. The latest platform to join the fray? Giphy.
Launching today, th… [+2663 chars]"
0.1361,0.11,0.752,0.138,"It also owns and runs a supposed news site called Conservative Buzz and, under that banner, it's been running Google Ads like this:
Which lead those who click on them to webpages like this:
That box is ticked on arrival. Clearly not the best polling practic… [+11269 chars]"
0.0,0.0,1.0,0.0,"More than two years after Julie Bornstein–Stitch Fixs former chief operating officer–mysteriously left the subscription-based personal styling service only months before its initial public offering, shes taking the wraps off her first independent venture.
Sh… [+2807 chars]"
0.0929,0.029,0.934,0.037,"This week, Google announced that Stadia, its game-streaming platform, is coming out November 19. Consequently, its time to sit down and think about whether or not you really want to buy in for Stadias launch day. 
While the idea of playing games on any PC, p… [+5503 chars]"
-0.7357,0.144,0.856,0.0,"Rev, one of biggest names in transcriptionand one of the cheapest services of its kindopted to alter its pay structure with little warning for thousands of contractors on its platform, some of whom are furious at what they expect will be smaller paychecks fro… [+2299 chars]"
0.9001,0.0,0.745,0.255,"Google announced its Stadia Games and Entertainment division back in March, confirming its intention to make good on its promise for original content alongside second and third party games for its streaming platform Stadia. Now, the first studio -- and there … [+192 chars]"
-0.6597,0.124,0.876,0.0,"Enlarge/ A Python coding error may have bitten as many as 150 different published chemistry research studies.
3 with 3 posters participating
In a paper published October 8, researchers at the University of Hawaii found that a programming error in a set of P… [+2251 chars]"
-0.7003,0.171,0.829,0.0,"Climate risk including extreme events and the related pressures our environment are fundamentally affecting the way business and governments operate both tactically and strategically. Increasing climate volatility is causing food supply disruptions, and incre… [+3867 chars]"
0.2484,0.044,0.893,0.063,"Zoho may be one of the most underrated tech companies. The 23-year-old company, which at this point offers more than 45 products, has never taken outside funding and has no ambition to go public, yet it’s highly profitable and runs its own data centers around… [+3209 chars]"
-0.1182,0.047,0.917,0.036,Sourcing ingredients in the restaurant industry is a dirty process that still relies heavily on voicemails and fax orders. More tech-forward solutions have been pushed but getting restaurants and suppliers to uniformly sign on to a platform has been a relativ… [+2519 chars]
0.4404,0.0,0.929,0.071,"Autify, a platform that makes testing web application as easy as clicking a few buttons, has raised a $2.5 million seed round from Global Brain, Salesforce Ventures, Archetype Ventures and several angels. The company, which recently graduated from the Alchemi… [+2244 chars]"
0.7783,0.0,0.83,0.17,"Databricks is a SaaS business built on top of a bunch of open source tools, and apparently it’s been going pretty well on the business side of things. In fact, the company claims to be one of the fastest growing enterprise cloud companies ever. Today the comp… [+2151 chars]"
