compound,name,negative,neutral,positive,ticker
-0.5719,REBGLO,0.026,0.967,0.007,21MCoin
0.4824,REBGLO,0.015,0.965,0.02,21MCoin
0.4824,REBGLO,0.015,0.965,0.02,21MCoin
0.368,REBGLO,0.01,0.976,0.014,21MCoin
0.9996,REBGLO,0.074,0.817,0.109,21MCoin
0.9899,REBGLO,0.028,0.841,0.131,21MCoin
-0.8719,REBGLO,0.061,0.913,0.026,21MCoin
0.9974,REBGLO,0.005,0.837,0.158,21MCoin
0.9874,REBGLO,0.014,0.86,0.126,21MCoin
-0.7096,REBGLO,0.018,0.978,0.004,21MCoin
-0.5719,REBGLO,0.017,0.978,0.005,21MCoin
0.5424,REBGLO,0.074,0.844,0.082,21MCoin
0.2023,REBGLO,0.011,0.977,0.013,21MCoin
-0.4939,REBGLO,0.017,0.974,0.009,21MCoin
-0.5423,REBGLO,0.198,0.733,0.07,21MCoin
0.34,REBGLO,0.0,0.982,0.018,21MCoin
-0.5423,REBGLO,0.198,0.733,0.07,21MCoin
-0.6144,REBGLO,0.061,0.885,0.054,21MCoin
0.9776,REBGLO,0.013,0.875,0.111,21MCoin
-0.0943,REBGLO,0.02,0.963,0.017,21MCoin
0.5622,REBGLO,0.013,0.966,0.021,21MCoin
0.9976,REBGLO,0.004,0.839,0.157,21MCoin
0.9978,REBGLO,0.008,0.817,0.176,21MCoin
-0.9994,REBGLO,0.194,0.742,0.064,21MCoin
-0.3612,REBGLO,0.011,0.985,0.005,21MCoin
-0.5719,REBGLO,0.018,0.977,0.005,21MCoin
0.9902,REBGLO,0.006,0.866,0.129,21MCoin
0.9996,REBGLO,0.04,0.761,0.199,21MCoin
0.9987,REBGLO,0.046,0.82,0.134,21MCoin
0.9949,REBGLO,0.034,0.888,0.078,21MCoin
0.9711,REBGLO,0.03,0.874,0.096,21MCoin
0.9278,REBGLO,0.017,0.842,0.14,21MCoin
0.823,REBGLO,0.036,0.873,0.092,21MCoin
0.9991,REBGLO,0.049,0.824,0.127,21MCoin
0.8541,REBGLO,0.0,0.919,0.081,21MCoin
0.9978,REBGLO,0.008,0.818,0.174,21MCoin
0.9976,REBGLO,0.004,0.84,0.156,21MCoin
0.9826,REBGLO,0.011,0.913,0.076,21MCoin
0.9893,REBGLO,0.016,0.913,0.071,21MCoin
-0.9216,REBGLO,0.071,0.904,0.025,21MCoin
-0.6444,REBGLO,0.085,0.831,0.084,21MCoin
-0.2263,REBGLO,0.015,0.974,0.011,21MCoin
0.34,REBGLO,0.015,0.967,0.018,21MCoin
0.999,REBGLO,0.042,0.855,0.102,21MCoin
-0.2263,REBGLO,0.016,0.972,0.012,21MCoin
0.4019,REBGLO,0.009,0.978,0.013,21MCoin
0.9775,REBGLO,0.03,0.909,0.061,21MCoin
0.6757,REBGLO,0.036,0.885,0.08,21MCoin
