compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,ADM
0.0258,REBGLO,0.155,0.68,0.165,ADM
0.0258,REBGLO,0.156,0.678,0.166,ADM
-0.9775,REBGLO,0.121,0.816,0.063,ADM
0.9577,REBGLO,0.042,0.885,0.072,ADM
0.0258,REBGLO,0.153,0.684,0.163,ADM
0.0258,REBGLO,0.154,0.68,0.165,ADM
0.9088,REBGLO,0.048,0.876,0.075,ADM
-0.09,REBGLO,0.153,0.685,0.162,ADM
0.9943,REBGLO,0.055,0.802,0.143,ADM
0.964,REBGLO,0.043,0.882,0.076,ADM
0.9453,REBGLO,0.046,0.807,0.148,ADM
0.9988,REBGLO,0.006,0.853,0.14,ADM
0.9728,REBGLO,0.045,0.853,0.102,ADM
0.7717,REBGLO,0.007,0.939,0.054,ADM
0.969,REBGLO,0.024,0.911,0.065,ADM
-0.9277,REBGLO,0.089,0.854,0.056,ADM
-0.8516,REBGLO,0.044,0.932,0.024,ADM
-0.9277,REBGLO,0.089,0.855,0.056,ADM
-0.9277,REBGLO,0.093,0.849,0.058,ADM
-0.9277,REBGLO,0.092,0.85,0.058,ADM
0.9906,REBGLO,0.056,0.807,0.137,ADM
0.9836,REBGLO,0.031,0.878,0.09,ADM
-0.9277,REBGLO,0.093,0.848,0.059,ADM
0.9511,REBGLO,0.099,0.798,0.103,ADM
0.9292,REBGLO,0.064,0.802,0.134,ADM
0.9878,REBGLO,0.024,0.848,0.128,ADM
0.9882,REBGLO,0.07,0.78,0.15,ADM
-0.9999,REBGLO,0.139,0.774,0.086,ADM
-0.8789,REBGLO,0.084,0.859,0.057,ADM
0.9997,REBGLO,0.042,0.865,0.093,ADM
-0.6807,REBGLO,0.036,0.942,0.021,ADM
0.9466,REBGLO,0.05,0.856,0.094,ADM
0.8239,REBGLO,0.058,0.872,0.07,ADM
0.9932,REBGLO,0.043,0.84,0.117,ADM
0.8519,REBGLO,0.046,0.895,0.058,ADM
0.9986,REBGLO,0.007,0.924,0.069,ADM
0.9736,REBGLO,0.068,0.804,0.127,ADM
0.9946,REBGLO,0.016,0.886,0.098,ADM
0.9953,REBGLO,0.015,0.89,0.096,ADM
-0.9277,REBGLO,0.093,0.849,0.058,ADM
-0.8725,REBGLO,0.078,0.841,0.081,ADM
0.9956,REBGLO,0.015,0.884,0.101,ADM
0.9952,REBGLO,0.015,0.885,0.1,ADM
0.9936,REBGLO,0.061,0.803,0.136,ADM
0.9936,REBGLO,0.061,0.803,0.136,ADM
0.9547,REBGLO,0.023,0.918,0.059,ADM
0.9942,REBGLO,0.029,0.886,0.086,ADM
0.9999,REBGLO,0.028,0.789,0.183,ADM
0.4019,REBGLO,0.007,0.974,0.019,ADM
1.0,REBGLO,0.029,0.784,0.188,ADM
0.9976,REBGLO,0.033,0.866,0.101,ADM
0.6077,REBGLO,0.044,0.863,0.093,ADM
0.9903,REBGLO,0.003,0.892,0.105,ADM
0.9658,REBGLO,0.032,0.891,0.077,ADM
0.926,REBGLO,0.056,0.85,0.094,ADM
0.9999,REBGLO,0.024,0.867,0.109,ADM
0.9967,REBGLO,0.067,0.794,0.14,ADM
0.9531,REBGLO,0.091,0.804,0.106,ADM
0.9997,REBGLO,0.057,0.818,0.124,ADM
0.9997,REBGLO,0.057,0.818,0.124,ADM
0.9996,REBGLO,0.058,0.824,0.118,ADM
