compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,AID
-0.9792,REBGLO,0.105,0.839,0.056,AID
0.9991,REBGLO,0.028,0.806,0.166,AID
0.9931,REBGLO,0.008,0.891,0.101,AID
-0.7155,REBGLO,0.053,0.903,0.044,AID
0.9631,REBGLO,0.014,0.937,0.048,AID
0.9995,REBGLO,0.075,0.812,0.113,AID
-0.9997,REBGLO,0.064,0.897,0.038,AID
1.0,REBGLO,0.054,0.795,0.151,AID
0.9876,REBGLO,0.048,0.893,0.059,AID
-0.9999,REBGLO,0.106,0.813,0.082,AID
0.9153,REBGLO,0.079,0.789,0.132,AID
0.9993,REBGLO,0.073,0.825,0.102,AID
0.9955,REBGLO,0.027,0.908,0.065,AID
-0.9964,REBGLO,0.098,0.806,0.095,AID
-0.9964,REBGLO,0.098,0.806,0.095,AID
0.8555,REBGLO,0.05,0.879,0.071,AID
-0.0772,REBGLO,0.007,0.988,0.006,AID
0.9531,REBGLO,0.081,0.82,0.099,AID
0.9995,REBGLO,0.048,0.844,0.108,AID
0.9927,REBGLO,0.09,0.769,0.141,AID
0.9772,REBGLO,0.065,0.844,0.091,AID
0.9925,REBGLO,0.092,0.765,0.143,AID
0.9122,REBGLO,0.072,0.837,0.091,AID
-0.9944,REBGLO,0.173,0.753,0.074,AID
-0.9944,REBGLO,0.174,0.751,0.074,AID
0.9945,REBGLO,0.089,0.76,0.151,AID
-0.9859,REBGLO,0.102,0.862,0.036,AID
-0.9916,REBGLO,0.105,0.802,0.094,AID
0.9927,REBGLO,0.09,0.769,0.141,AID
0.9987,REBGLO,0.025,0.872,0.103,AID
1.0,REBGLO,0.054,0.793,0.153,AID
0.8734,REBGLO,0.02,0.873,0.107,AID
-0.9998,REBGLO,0.099,0.822,0.079,AID
-0.9998,REBGLO,0.109,0.801,0.091,AID
-0.9893,REBGLO,0.099,0.807,0.094,AID
1.0,REBGLO,0.054,0.793,0.153,AID
-0.9893,REBGLO,0.099,0.807,0.094,AID
-0.9998,REBGLO,0.099,0.822,0.079,AID
0.9994,REBGLO,0.075,0.839,0.085,AID
0.9957,REBGLO,0.0,0.8,0.2,AID
-0.9617,REBGLO,0.076,0.865,0.058,AID
0.9993,REBGLO,0.02,0.822,0.158,AID
-0.9998,REBGLO,0.109,0.801,0.091,AID
0.9803,REBGLO,0.062,0.847,0.09,AID
0.9432,REBGLO,0.04,0.916,0.044,AID
0.9832,REBGLO,0.049,0.886,0.064,AID
0.9432,REBGLO,0.04,0.916,0.044,AID
