compound,name,negative,neutral,positive,ticker
0.9968,REBGLO,0.027,0.902,0.071,AIR
0.9745,REBGLO,0.024,0.886,0.09,AIR
-0.9775,REBGLO,0.121,0.816,0.063,AIR
0.996,REBGLO,0.005,0.902,0.093,AIR
0.9946,REBGLO,0.055,0.794,0.151,AIR
-0.9999,REBGLO,0.137,0.772,0.091,AIR
1.0,REBGLO,0.026,0.707,0.267,AIR
0.9956,REBGLO,0.005,0.899,0.095,AIR
0.9989,REBGLO,0.026,0.762,0.212,AIR
0.9991,REBGLO,0.018,0.816,0.166,AIR
1.0,REBGLO,0.029,0.825,0.146,AIR
0.9984,REBGLO,0.028,0.818,0.154,AIR
0.0952,REBGLO,0.065,0.868,0.067,AIR
0.9781,REBGLO,0.045,0.884,0.071,AIR
-0.722,REBGLO,0.089,0.824,0.086,AIR
-0.9994,REBGLO,0.12,0.817,0.063,AIR
0.9974,REBGLO,0.023,0.87,0.107,AIR
0.9731,REBGLO,0.0,0.831,0.169,AIR
-0.9997,REBGLO,0.064,0.897,0.038,AIR
0.9907,REBGLO,0.024,0.919,0.057,AIR
0.9975,REBGLO,0.042,0.836,0.122,AIR
1.0,REBGLO,0.054,0.795,0.151,AIR
0.975,REBGLO,0.017,0.904,0.079,AIR
0.9998,REBGLO,0.076,0.755,0.17,AIR
-0.9331,REBGLO,0.078,0.888,0.033,AIR
0.9694,REBGLO,0.04,0.864,0.096,AIR
-0.6305,REBGLO,0.105,0.807,0.088,AIR
0.8885,REBGLO,0.015,0.93,0.056,AIR
0.9982,REBGLO,0.067,0.854,0.079,AIR
0.9998,REBGLO,0.056,0.849,0.095,AIR
0.9792,REBGLO,0.021,0.849,0.13,AIR
0.9993,REBGLO,0.028,0.754,0.217,AIR
0.9992,REBGLO,0.024,0.765,0.211,AIR
-0.9999,REBGLO,0.12,0.792,0.088,AIR
0.9993,REBGLO,0.029,0.754,0.218,AIR
0.9511,REBGLO,0.099,0.798,0.103,AIR
0.9975,REBGLO,0.097,0.79,0.112,AIR
0.9693,REBGLO,0.033,0.877,0.089,AIR
0.999,REBGLO,0.092,0.782,0.126,AIR
-0.9999,REBGLO,0.106,0.813,0.082,AIR
-0.9999,REBGLO,0.139,0.774,0.086,AIR
0.9998,REBGLO,0.058,0.823,0.119,AIR
0.3612,REBGLO,0.0,0.94,0.06,AIR
0.9136,REBGLO,0.034,0.891,0.076,AIR
0.9965,REBGLO,0.026,0.881,0.093,AIR
0.9776,REBGLO,0.03,0.866,0.104,AIR
0.9989,REBGLO,0.025,0.871,0.104,AIR
-0.8815,REBGLO,0.131,0.777,0.092,AIR
0.8187,REBGLO,0.084,0.803,0.113,AIR
0.9998,REBGLO,0.03,0.804,0.166,AIR
0.9969,REBGLO,0.033,0.766,0.2,AIR
-0.9873,REBGLO,0.112,0.83,0.058,AIR
0.9954,REBGLO,0.006,0.889,0.105,AIR
0.9937,REBGLO,0.108,0.734,0.158,AIR
-0.5267,REBGLO,0.08,0.882,0.037,AIR
-0.7279,REBGLO,0.092,0.877,0.031,AIR
0.9995,REBGLO,0.023,0.871,0.106,AIR
0.9815,REBGLO,0.015,0.923,0.062,AIR
0.9538,REBGLO,0.026,0.868,0.106,AIR
0.997,REBGLO,0.036,0.834,0.129,AIR
0.9993,REBGLO,0.023,0.766,0.211,AIR
1.0,REBGLO,0.023,0.834,0.143,AIR
0.9995,REBGLO,0.057,0.812,0.131,AIR
-0.9976,REBGLO,0.076,0.888,0.037,AIR
0.9783,REBGLO,0.041,0.853,0.106,AIR
-0.9964,REBGLO,0.098,0.806,0.095,AIR
-0.9964,REBGLO,0.098,0.806,0.095,AIR
-0.9218,REBGLO,0.092,0.84,0.068,AIR
0.9994,REBGLO,0.067,0.838,0.095,AIR
0.9992,REBGLO,0.024,0.765,0.211,AIR
0.987,REBGLO,0.015,0.874,0.111,AIR
0.997,REBGLO,0.019,0.857,0.124,AIR
0.9921,REBGLO,0.0,0.912,0.088,AIR
0.2102,REBGLO,0.039,0.911,0.05,AIR
0.9984,REBGLO,0.021,0.859,0.12,AIR
0.9987,REBGLO,0.014,0.863,0.123,AIR
0.9994,REBGLO,0.016,0.874,0.11,AIR
0.9985,REBGLO,0.021,0.892,0.087,AIR
-0.6305,REBGLO,0.105,0.807,0.088,AIR
0.9316,REBGLO,0.044,0.672,0.283,AIR
0.9788,REBGLO,0.043,0.885,0.072,AIR
0.9788,REBGLO,0.043,0.885,0.072,AIR
0.7717,REBGLO,0.038,0.908,0.054,AIR
0.9995,REBGLO,0.015,0.872,0.113,AIR
0.9965,REBGLO,0.046,0.785,0.169,AIR
-0.9854,REBGLO,0.11,0.803,0.087,AIR
0.9998,REBGLO,0.04,0.819,0.141,AIR
0.9998,REBGLO,0.036,0.814,0.15,AIR
0.9995,REBGLO,0.015,0.87,0.115,AIR
0.9874,REBGLO,0.045,0.793,0.162,AIR
-0.5838,REBGLO,0.078,0.871,0.051,AIR
0.9934,REBGLO,0.042,0.788,0.169,AIR
-0.9954,REBGLO,0.059,0.895,0.046,AIR
0.9477,REBGLO,0.0,0.844,0.156,AIR
0.9959,REBGLO,0.05,0.85,0.1,AIR
0.9974,REBGLO,0.028,0.864,0.109,AIR
0.996,REBGLO,0.034,0.859,0.107,AIR
0.9846,REBGLO,0.014,0.883,0.104,AIR
-0.7432,REBGLO,0.117,0.792,0.091,AIR
-0.9916,REBGLO,0.105,0.802,0.094,AIR
