compound,name,negative,neutral,positive,ticker
0.966,REBGLO,0.008,0.905,0.087,ARNA
1.0,REBGLO,0.017,0.825,0.158,ARNA
0.9998,REBGLO,0.024,0.86,0.117,ARNA
1.0,REBGLO,0.065,0.821,0.114,ARNA
0.998,REBGLO,0.022,0.821,0.157,ARNA
0.998,REBGLO,0.022,0.822,0.157,ARNA
0.7712,REBGLO,0.056,0.871,0.073,ARNA
0.9187,REBGLO,0.021,0.893,0.086,ARNA
0.7184,REBGLO,0.057,0.823,0.12,ARNA
-0.9827,REBGLO,0.111,0.806,0.084,ARNA
0.9671,REBGLO,0.019,0.91,0.071,ARNA
0.8872,REBGLO,0.063,0.861,0.076,ARNA
0.9759,REBGLO,0.036,0.889,0.074,ARNA
0.8934,REBGLO,0.051,0.877,0.071,ARNA
0.8934,REBGLO,0.051,0.878,0.071,ARNA
0.9974,REBGLO,0.045,0.828,0.126,ARNA
0.9563,REBGLO,0.014,0.881,0.105,ARNA
0.9854,REBGLO,0.01,0.889,0.101,ARNA
0.9974,REBGLO,0.004,0.877,0.119,ARNA
0.9368,REBGLO,0.016,0.884,0.101,ARNA
0.9974,REBGLO,0.004,0.881,0.115,ARNA
0.9966,REBGLO,0.009,0.894,0.097,ARNA
0.9921,REBGLO,0.039,0.859,0.101,ARNA
0.9987,REBGLO,0.058,0.84,0.102,ARNA
-0.9917,REBGLO,0.122,0.783,0.095,ARNA
0.9952,REBGLO,0.018,0.84,0.142,ARNA
0.9896,REBGLO,0.034,0.853,0.113,ARNA
0.9936,REBGLO,0.061,0.803,0.136,ARNA
0.9896,REBGLO,0.034,0.853,0.113,ARNA
0.9936,REBGLO,0.061,0.803,0.136,ARNA
0.9661,REBGLO,0.028,0.689,0.282,ARNA
-0.9484,REBGLO,0.093,0.855,0.052,ARNA
0.9995,REBGLO,0.048,0.844,0.108,ARNA
0.9958,REBGLO,0.043,0.88,0.077,ARNA
0.9828,REBGLO,0.017,0.893,0.089,ARNA
-0.4287,REBGLO,0.086,0.825,0.09,ARNA
-0.9892,REBGLO,0.101,0.842,0.057,ARNA
-0.1285,REBGLO,0.067,0.867,0.066,ARNA
-0.1783,REBGLO,0.07,0.862,0.068,ARNA
0.9941,REBGLO,0.034,0.849,0.118,ARNA
