compound,name,negative,neutral,positive,ticker
0.9418,REBGLO,0.0,0.88,0.12,ARX
0.9854,REBGLO,0.0,0.883,0.117,ARX
0.9875,REBGLO,0.009,0.887,0.104,ARX
0.9976,REBGLO,0.004,0.839,0.157,ARX
0.9978,REBGLO,0.008,0.817,0.176,ARX
0.9949,REBGLO,0.034,0.888,0.078,ARX
0.0,REBGLO,0.0,1.0,0.0,ARX
0.9978,REBGLO,0.008,0.818,0.174,ARX
0.9976,REBGLO,0.004,0.84,0.156,ARX
0.9982,REBGLO,0.086,0.787,0.127,ARX
-1.0,REBGLO,0.153,0.766,0.081,ARX
1.0,REBGLO,0.065,0.821,0.114,ARX
0.9999,REBGLO,0.044,0.829,0.127,ARX
0.9863,REBGLO,0.091,0.76,0.149,ARX
0.9538,REBGLO,0.017,0.93,0.053,ARX
0.9538,REBGLO,0.017,0.93,0.053,ARX
-0.9171,REBGLO,0.105,0.848,0.047,ARX
0.8625,REBGLO,0.031,0.892,0.077,ARX
0.987,REBGLO,0.089,0.763,0.148,ARX
0.9881,REBGLO,0.089,0.761,0.15,ARX
0.981,REBGLO,0.02,0.86,0.119,ARX
-0.8201,REBGLO,0.089,0.849,0.062,ARX
-0.882,REBGLO,0.116,0.822,0.062,ARX
0.8997,REBGLO,0.026,0.864,0.11,ARX
-0.9999,REBGLO,0.137,0.772,0.091,ARX
-0.5733,REBGLO,0.083,0.917,0.0,ARX
0.886,REBGLO,0.044,0.833,0.123,ARX
0.8609,REBGLO,0.057,0.836,0.106,ARX
0.9935,REBGLO,0.037,0.866,0.097,ARX
0.9947,REBGLO,0.066,0.785,0.149,ARX
0.9895,REBGLO,0.0,0.836,0.164,ARX
0.9979,REBGLO,0.015,0.902,0.083,ARX
0.9937,REBGLO,0.039,0.874,0.087,ARX
0.9992,REBGLO,0.019,0.806,0.175,ARX
0.9833,REBGLO,0.094,0.757,0.15,ARX
0.9939,REBGLO,0.039,0.873,0.088,ARX
-0.6501,REBGLO,0.06,0.892,0.049,ARX
0.9041,REBGLO,0.059,0.873,0.068,ARX
-0.9977,REBGLO,0.091,0.862,0.047,ARX
-0.75,REBGLO,0.111,0.809,0.08,ARX
-0.0258,REBGLO,0.161,0.683,0.155,ARX
0.9956,REBGLO,0.017,0.912,0.072,ARX
0.8689,REBGLO,0.047,0.832,0.121,ARX
0.9874,REBGLO,0.063,0.832,0.105,ARX
0.9846,REBGLO,0.028,0.796,0.175,ARX
0.9954,REBGLO,0.045,0.859,0.096,ARX
0.9986,REBGLO,0.062,0.775,0.163,ARX
0.9937,REBGLO,0.039,0.874,0.087,ARX
0.9893,REBGLO,0.073,0.834,0.093,ARX
0.9666,REBGLO,0.0,0.814,0.186,ARX
1.0,REBGLO,0.054,0.795,0.151,ARX
0.9992,REBGLO,0.019,0.806,0.175,ARX
-0.7927,REBGLO,0.094,0.882,0.024,ARX
0.9923,REBGLO,0.038,0.818,0.144,ARX
0.9998,REBGLO,0.076,0.755,0.17,ARX
0.0,REBGLO,0.0,1.0,0.0,ARX
0.0,REBGLO,0.0,1.0,0.0,ARX
0.944,REBGLO,0.019,0.877,0.105,ARX
0.944,REBGLO,0.018,0.879,0.102,ARX
0.944,REBGLO,0.019,0.872,0.108,ARX
0.9687,REBGLO,0.008,0.895,0.097,ARX
0.9916,REBGLO,0.003,0.898,0.099,ARX
0.9926,REBGLO,0.003,0.898,0.099,ARX
0.9916,REBGLO,0.003,0.898,0.1,ARX
0.9916,REBGLO,0.003,0.898,0.1,ARX
0.9916,REBGLO,0.003,0.898,0.099,ARX
0.9916,REBGLO,0.003,0.898,0.1,ARX
0.9999,REBGLO,0.027,0.794,0.179,ARX
0.9916,REBGLO,0.003,0.898,0.099,ARX
0.9537,REBGLO,0.01,0.881,0.109,ARX
0.9984,REBGLO,0.006,0.807,0.186,ARX
0.9805,REBGLO,0.004,0.871,0.125,ARX
0.9923,REBGLO,0.003,0.893,0.105,ARX
0.9616,REBGLO,0.01,0.873,0.117,ARX
0.9983,REBGLO,0.039,0.799,0.162,ARX
0.9984,REBGLO,0.006,0.807,0.186,ARX
0.9993,REBGLO,0.028,0.754,0.217,ARX
0.8661,REBGLO,0.025,0.838,0.137,ARX
0.9992,REBGLO,0.024,0.765,0.211,ARX
-0.9999,REBGLO,0.12,0.792,0.088,ARX
0.9993,REBGLO,0.029,0.754,0.218,ARX
0.9511,REBGLO,0.099,0.798,0.103,ARX
0.4595,REBGLO,0.071,0.821,0.109,ARX
0.9992,REBGLO,0.031,0.828,0.141,ARX
-0.4721,REBGLO,0.095,0.81,0.095,ARX
-0.9909,REBGLO,0.139,0.765,0.097,ARX
-0.8245,REBGLO,0.092,0.861,0.047,ARX
0.6614,REBGLO,0.08,0.809,0.112,ARX
-0.9999,REBGLO,0.106,0.813,0.082,ARX
0.9987,REBGLO,0.041,0.847,0.112,ARX
-0.9999,REBGLO,0.115,0.803,0.082,ARX
0.9522,REBGLO,0.026,0.864,0.11,ARX
1.0,REBGLO,0.049,0.857,0.094,ARX
0.1689,REBGLO,0.0,0.942,0.058,ARX
0.8049,REBGLO,0.055,0.86,0.085,ARX
0.9971,REBGLO,0.016,0.863,0.121,ARX
0.9965,REBGLO,0.026,0.881,0.093,ARX
-0.3766,REBGLO,0.111,0.777,0.112,ARX
0.9616,REBGLO,0.01,0.873,0.117,ARX
0.9968,REBGLO,0.093,0.774,0.133,ARX
