compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,ASk
-0.9792,REBGLO,0.105,0.839,0.056,ASk
0.9162,REBGLO,0.044,0.848,0.108,ASk
0.9428,REBGLO,0.0,0.847,0.153,ASk
0.5424,REBGLO,0.074,0.844,0.082,ASk
0.9977,REBGLO,0.0,0.806,0.194,ASk
0.997,REBGLO,0.079,0.799,0.121,ASk
0.997,REBGLO,0.079,0.799,0.121,ASk
0.9979,REBGLO,0.0,0.807,0.193,ASk
0.9774,REBGLO,0.02,0.84,0.14,ASk
0.8442,REBGLO,0.096,0.784,0.12,ASk
-0.8273,REBGLO,0.067,0.893,0.039,ASk
0.8271,REBGLO,0.02,0.906,0.074,ASk
0.9857,REBGLO,0.037,0.809,0.154,ASk
0.802,REBGLO,0.026,0.862,0.113,ASk
0.9982,REBGLO,0.086,0.787,0.127,ASk
-0.9282,REBGLO,0.127,0.852,0.021,ASk
0.9444,REBGLO,0.01,0.904,0.086,ASk
0.9994,REBGLO,0.074,0.777,0.149,ASk
1.0,REBGLO,0.014,0.782,0.205,ASk
0.9998,REBGLO,0.024,0.86,0.117,ASk
-1.0,REBGLO,0.153,0.766,0.081,ASk
1.0,REBGLO,0.053,0.852,0.094,ASk
1.0,REBGLO,0.065,0.821,0.114,ASk
0.9999,REBGLO,0.044,0.829,0.127,ASk
0.9992,REBGLO,0.035,0.866,0.099,ASk
0.996,REBGLO,0.038,0.846,0.116,ASk
0.9926,REBGLO,0.007,0.903,0.089,ASk
0.0276,REBGLO,0.093,0.798,0.109,ASk
0.4377,REBGLO,0.041,0.886,0.072,ASk
0.9977,REBGLO,0.0,0.804,0.196,ASk
0.9794,REBGLO,0.049,0.891,0.06,ASk
0.9985,REBGLO,0.029,0.807,0.164,ASk
0.4602,REBGLO,0.066,0.863,0.07,ASk
0.5424,REBGLO,0.074,0.844,0.082,ASk
0.9937,REBGLO,0.046,0.84,0.113,ASk
0.9844,REBGLO,0.014,0.841,0.145,ASk
-0.9925,REBGLO,0.077,0.855,0.067,ASk
0.9848,REBGLO,0.038,0.853,0.109,ASk
0.6635,REBGLO,0.034,0.863,0.103,ASk
-0.9829,REBGLO,0.095,0.869,0.036,ASk
0.9963,REBGLO,0.037,0.845,0.117,ASk
-0.872,REBGLO,0.085,0.861,0.054,ASk
0.9816,REBGLO,0.029,0.81,0.161,ASk
0.9668,REBGLO,0.0,0.745,0.255,ASk
-0.3395,REBGLO,0.138,0.744,0.118,ASk
0.9895,REBGLO,0.051,0.836,0.113,ASk
0.9942,REBGLO,0.051,0.819,0.13,ASk
0.9336,REBGLO,0.03,0.905,0.064,ASk
0.9984,REBGLO,0.039,0.784,0.177,ASk
0.988,REBGLO,0.021,0.852,0.128,ASk
0.9816,REBGLO,0.029,0.806,0.164,ASk
0.9988,REBGLO,0.046,0.831,0.123,ASk
0.9455,REBGLO,0.0,0.79,0.21,ASk
0.9968,REBGLO,0.009,0.893,0.098,ASk
0.9969,REBGLO,0.009,0.893,0.098,ASk
0.9968,REBGLO,0.009,0.891,0.099,ASk
0.7269,REBGLO,0.0,0.899,0.101,ASk
0.9154,REBGLO,0.051,0.871,0.078,ASk
0.967,REBGLO,0.032,0.825,0.143,ASk
0.9994,REBGLO,0.02,0.825,0.155,ASk
-0.3395,REBGLO,0.138,0.744,0.118,ASk
-0.9859,REBGLO,0.213,0.721,0.066,ASk
-0.6962,REBGLO,0.103,0.79,0.107,ASk
-0.9999,REBGLO,0.137,0.772,0.091,ASk
-0.5395,REBGLO,0.025,0.957,0.017,ASk
0.9816,REBGLO,0.029,0.806,0.164,ASk
0.8885,REBGLO,0.012,0.892,0.096,ASk
0.9992,REBGLO,0.028,0.734,0.239,ASk
0.9274,REBGLO,0.014,0.865,0.121,ASk
0.6548,REBGLO,0.048,0.888,0.063,ASk
0.9971,REBGLO,0.079,0.8,0.122,ASk
0.9947,REBGLO,0.066,0.785,0.149,ASk
0.8575,REBGLO,0.076,0.832,0.091,ASk
0.9816,REBGLO,0.027,0.824,0.15,ASk
1.0,REBGLO,0.029,0.825,0.146,ASk
-0.9966,REBGLO,0.16,0.796,0.044,ASk
0.9767,REBGLO,0.044,0.784,0.172,ASk
0.7991,REBGLO,0.066,0.846,0.088,ASk
0.9995,REBGLO,0.075,0.812,0.113,ASk
-0.9961,REBGLO,0.164,0.786,0.05,ASk
0.9673,REBGLO,0.033,0.889,0.078,ASk
0.9978,REBGLO,0.03,0.847,0.123,ASk
-0.9921,REBGLO,0.214,0.741,0.045,ASk
0.9984,REBGLO,0.046,0.844,0.109,ASk
0.9767,REBGLO,0.044,0.784,0.172,ASk
0.9531,REBGLO,0.023,0.801,0.175,ASk
0.9979,REBGLO,0.023,0.86,0.117,ASk
0.9935,REBGLO,0.009,0.819,0.172,ASk
-0.9924,REBGLO,0.24,0.705,0.054,ASk
0.9944,REBGLO,0.019,0.829,0.152,ASk
0.9974,REBGLO,0.018,0.761,0.221,ASk
0.6428,REBGLO,0.0,0.938,0.062,ASk
-0.9966,REBGLO,0.161,0.795,0.044,ASk
0.9984,REBGLO,0.03,0.883,0.087,ASk
0.9946,REBGLO,0.006,0.884,0.11,ASk
0.979,REBGLO,0.009,0.825,0.166,ASk
0.9866,REBGLO,0.051,0.871,0.078,ASk
0.997,REBGLO,0.079,0.799,0.121,ASk
0.9996,REBGLO,0.018,0.769,0.213,ASk
