compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,AXION
-0.9999,REBGLO,0.137,0.772,0.091,AXION
-0.8834,REBGLO,0.091,0.893,0.016,AXION
0.2103,REBGLO,0.038,0.926,0.036,AXION
0.5574,REBGLO,0.054,0.805,0.141,AXION
0.2732,REBGLO,0.024,0.952,0.024,AXION
0.128,REBGLO,0.02,0.962,0.019,AXION
-0.743,REBGLO,0.042,0.939,0.019,AXION
-0.9964,REBGLO,0.098,0.806,0.095,AXION
-0.9964,REBGLO,0.098,0.806,0.095,AXION
0.5106,REBGLO,0.005,0.98,0.015,AXION
-0.6705,REBGLO,0.042,0.938,0.021,AXION
0.9471,REBGLO,0.039,0.89,0.071,AXION
0.4019,REBGLO,0.02,0.955,0.026,AXION
-0.9893,REBGLO,0.099,0.807,0.094,AXION
-0.9893,REBGLO,0.099,0.807,0.094,AXION
