compound,name,negative,neutral,positive,ticker
0.9974,REBGLO,0.005,0.837,0.158,BANG
0.9992,REBGLO,0.035,0.866,0.099,BANG
0.9801,REBGLO,0.051,0.804,0.145,BANG
0.9913,REBGLO,0.005,0.873,0.122,BANG
0.965,REBGLO,0.017,0.883,0.1,BANG
-0.9895,REBGLO,0.01,0.987,0.003,BANG
0.9816,REBGLO,0.005,0.919,0.077,BANG
0.9974,REBGLO,0.036,0.843,0.121,BANG
-0.9999,REBGLO,0.137,0.772,0.091,BANG
0.9995,REBGLO,0.075,0.812,0.113,BANG
0.9887,REBGLO,0.062,0.837,0.101,BANG
1.0,REBGLO,0.027,0.826,0.147,BANG
0.9913,REBGLO,0.005,0.873,0.122,BANG
0.998,REBGLO,0.021,0.84,0.139,BANG
0.9334,REBGLO,0.019,0.923,0.058,BANG
0.9735,REBGLO,0.006,0.922,0.073,BANG
0.9756,REBGLO,0.01,0.912,0.078,BANG
0.9815,REBGLO,0.015,0.923,0.062,BANG
0.9999,REBGLO,0.032,0.843,0.125,BANG
0.9986,REBGLO,0.053,0.662,0.285,BANG
-0.9973,REBGLO,0.039,0.949,0.013,BANG
0.8885,REBGLO,0.028,0.912,0.06,BANG
0.9904,REBGLO,0.032,0.841,0.127,BANG
0.7783,REBGLO,0.037,0.912,0.051,BANG
0.9995,REBGLO,0.012,0.929,0.06,BANG
0.9996,REBGLO,0.041,0.819,0.14,BANG
0.9996,REBGLO,0.041,0.819,0.14,BANG
0.9985,REBGLO,0.021,0.892,0.087,BANG
0.7184,REBGLO,0.0,0.942,0.058,BANG
-0.9854,REBGLO,0.146,0.782,0.072,BANG
-0.9854,REBGLO,0.151,0.774,0.075,BANG
0.9955,REBGLO,0.015,0.873,0.112,BANG
0.9837,REBGLO,0.021,0.901,0.078,BANG
-0.9854,REBGLO,0.135,0.797,0.067,BANG
0.9979,REBGLO,0.015,0.893,0.092,BANG
-0.9836,REBGLO,0.146,0.776,0.078,BANG
0.9961,REBGLO,0.027,0.886,0.087,BANG
0.9846,REBGLO,0.01,0.846,0.143,BANG
-0.9998,REBGLO,0.099,0.822,0.079,BANG
-0.9998,REBGLO,0.099,0.822,0.079,BANG
0.7621,REBGLO,0.115,0.765,0.12,BANG
0.9999,REBGLO,0.024,0.867,0.109,BANG
-0.9854,REBGLO,0.15,0.775,0.075,BANG
0.8313,REBGLO,0.0,0.89,0.11,BANG
