compound,name,negative,neutral,positive,ticker
-0.7096,REBGLO,0.018,0.978,0.004,BAT
0.5424,REBGLO,0.074,0.844,0.082,BAT
0.9659,REBGLO,0.01,0.91,0.08,BAT
0.9862,REBGLO,0.0,0.796,0.204,BAT
-0.2263,REBGLO,0.015,0.974,0.011,BAT
1.0,REBGLO,0.014,0.782,0.205,BAT
-1.0,REBGLO,0.153,0.766,0.081,BAT
1.0,REBGLO,0.065,0.821,0.114,BAT
0.5424,REBGLO,0.074,0.844,0.082,BAT
-0.1476,REBGLO,0.056,0.891,0.053,BAT
0.9975,REBGLO,0.008,0.831,0.16,BAT
-0.1476,REBGLO,0.056,0.891,0.053,BAT
0.4751,REBGLO,0.077,0.847,0.076,BAT
0.9994,REBGLO,0.022,0.855,0.123,BAT
-0.6501,REBGLO,0.06,0.892,0.049,BAT
0.9997,REBGLO,0.033,0.803,0.164,BAT
0.7945,REBGLO,0.073,0.849,0.079,BAT
0.9707,REBGLO,0.019,0.922,0.059,BAT
0.9997,REBGLO,0.033,0.803,0.164,BAT
0.9955,REBGLO,0.021,0.877,0.102,BAT
0.7744,REBGLO,0.0,0.939,0.061,BAT
0.9666,REBGLO,0.0,0.814,0.186,BAT
-0.7334,REBGLO,0.058,0.894,0.048,BAT
0.2732,REBGLO,0.05,0.86,0.09,BAT
0.6553,REBGLO,0.0,0.941,0.059,BAT
0.9837,REBGLO,0.027,0.827,0.146,BAT
0.9998,REBGLO,0.056,0.849,0.095,BAT
0.9982,REBGLO,0.039,0.857,0.105,BAT
0.9993,REBGLO,0.028,0.754,0.217,BAT
0.9992,REBGLO,0.024,0.765,0.211,BAT
0.9993,REBGLO,0.029,0.754,0.218,BAT
0.9984,REBGLO,0.023,0.824,0.153,BAT
0.9985,REBGLO,0.023,0.823,0.154,BAT
0.9982,REBGLO,0.039,0.791,0.171,BAT
0.9944,REBGLO,0.003,0.867,0.13,BAT
0.9999,REBGLO,0.018,0.755,0.227,BAT
0.9869,REBGLO,0.046,0.822,0.132,BAT
0.9996,REBGLO,0.028,0.789,0.182,BAT
0.9929,REBGLO,0.036,0.746,0.218,BAT
0.9929,REBGLO,0.036,0.745,0.218,BAT
0.9371,REBGLO,0.029,0.887,0.084,BAT
0.9839,REBGLO,0.025,0.89,0.086,BAT
0.9992,REBGLO,0.007,0.798,0.195,BAT
0.9957,REBGLO,0.014,0.846,0.14,BAT
0.993,REBGLO,0.027,0.866,0.107,BAT
0.9982,REBGLO,0.039,0.792,0.169,BAT
0.9969,REBGLO,0.033,0.766,0.2,BAT
0.9987,REBGLO,0.053,0.793,0.154,BAT
0.9944,REBGLO,0.003,0.868,0.129,BAT
0.9982,REBGLO,0.037,0.789,0.174,BAT
0.9999,REBGLO,0.032,0.843,0.125,BAT
0.9955,REBGLO,0.027,0.908,0.065,BAT
0.9993,REBGLO,0.034,0.778,0.188,BAT
0.9989,REBGLO,0.02,0.834,0.146,BAT
0.9993,REBGLO,0.023,0.766,0.211,BAT
0.9991,REBGLO,0.027,0.79,0.183,BAT
0.9991,REBGLO,0.028,0.787,0.185,BAT
0.9991,REBGLO,0.027,0.793,0.18,BAT
0.9966,REBGLO,0.007,0.779,0.213,BAT
0.9991,REBGLO,0.03,0.791,0.179,BAT
0.9787,REBGLO,0.0,0.868,0.132,BAT
0.9937,REBGLO,0.007,0.849,0.144,BAT
0.9939,REBGLO,0.03,0.889,0.081,BAT
0.9948,REBGLO,0.003,0.866,0.131,BAT
0.9839,REBGLO,0.017,0.902,0.08,BAT
0.9992,REBGLO,0.024,0.82,0.156,BAT
0.9992,REBGLO,0.024,0.765,0.211,BAT
0.9981,REBGLO,0.039,0.793,0.168,BAT
0.9942,REBGLO,0.012,0.903,0.086,BAT
0.9939,REBGLO,0.03,0.889,0.081,BAT
0.859,REBGLO,0.048,0.881,0.072,BAT
0.9956,REBGLO,0.041,0.846,0.113,BAT
0.9998,REBGLO,0.019,0.869,0.112,BAT
0.9988,REBGLO,0.017,0.836,0.147,BAT
0.7239,REBGLO,0.084,0.818,0.098,BAT
0.9944,REBGLO,0.037,0.813,0.15,BAT
0.9946,REBGLO,0.0,0.783,0.217,BAT
0.9976,REBGLO,0.034,0.753,0.213,BAT
0.9153,REBGLO,0.009,0.894,0.097,BAT
0.9845,REBGLO,0.084,0.825,0.09,BAT
0.9274,REBGLO,0.015,0.902,0.084,BAT
0.9738,REBGLO,0.0,0.902,0.098,BAT
0.9976,REBGLO,0.033,0.76,0.208,BAT
0.9153,REBGLO,0.009,0.894,0.097,BAT
0.9081,REBGLO,0.023,0.895,0.083,BAT
0.9673,REBGLO,0.009,0.88,0.11,BAT
0.999,REBGLO,0.007,0.827,0.165,BAT
0.9274,REBGLO,0.014,0.907,0.079,BAT
0.9976,REBGLO,0.034,0.755,0.212,BAT
0.9325,REBGLO,0.008,0.892,0.1,BAT
0.9996,REBGLO,0.047,0.841,0.112,BAT
0.9971,REBGLO,0.051,0.83,0.119,BAT
0.9274,REBGLO,0.015,0.902,0.083,BAT
0.9683,REBGLO,0.059,0.858,0.084,BAT
0.9638,REBGLO,0.013,0.895,0.092,BAT
-0.8993,REBGLO,0.121,0.757,0.121,BAT
0.9987,REBGLO,0.052,0.796,0.152,BAT
0.9987,REBGLO,0.052,0.796,0.152,BAT
0.9987,REBGLO,0.052,0.796,0.152,BAT
0.9911,REBGLO,0.021,0.888,0.092,BAT
