compound,name,negative,neutral,positive,ticker
0.7272,REBGLO,0.044,0.902,0.054,BC
0.9993,REBGLO,0.04,0.808,0.152,BC
0.0,REBGLO,0.0,1.0,0.0,BC
0.7568,REBGLO,0.019,0.946,0.034,BC
0.9968,REBGLO,0.009,0.893,0.098,BC
0.9969,REBGLO,0.009,0.893,0.098,BC
0.9921,REBGLO,0.007,0.927,0.067,BC
0.9929,REBGLO,0.007,0.926,0.067,BC
0.9968,REBGLO,0.009,0.891,0.099,BC
0.996,REBGLO,0.005,0.902,0.093,BC
0.9921,REBGLO,0.007,0.926,0.067,BC
0.9956,REBGLO,0.005,0.899,0.095,BC
0.7676,REBGLO,0.005,0.989,0.006,BC
0.9931,REBGLO,0.007,0.922,0.071,BC
0.6372,REBGLO,0.039,0.916,0.045,BC
0.6126,REBGLO,0.042,0.911,0.047,BC
0.0,REBGLO,0.0,1.0,0.0,BC
0.9959,REBGLO,0.061,0.843,0.096,BC
-0.5511,REBGLO,0.076,0.859,0.066,BC
0.9985,REBGLO,0.009,0.952,0.039,BC
0.9982,REBGLO,0.012,0.948,0.04,BC
0.997,REBGLO,0.005,0.902,0.093,BC
0.9966,REBGLO,0.005,0.904,0.091,BC
-0.2263,REBGLO,0.015,0.974,0.011,BC
0.9996,REBGLO,0.024,0.888,0.089,BC
0.997,REBGLO,0.005,0.901,0.094,BC
0.997,REBGLO,0.005,0.901,0.094,BC
0.9957,REBGLO,0.019,0.904,0.078,BC
0.9957,REBGLO,0.019,0.902,0.079,BC
0.996,REBGLO,0.018,0.903,0.079,BC
0.9957,REBGLO,0.012,0.847,0.141,BC
0.9909,REBGLO,0.007,0.923,0.07,BC
0.9919,REBGLO,0.007,0.923,0.07,BC
0.9895,REBGLO,0.01,0.923,0.068,BC
0.9891,REBGLO,0.01,0.921,0.069,BC
0.9891,REBGLO,0.01,0.922,0.068,BC
0.9997,REBGLO,0.026,0.887,0.087,BC
0.9898,REBGLO,0.01,0.918,0.071,BC
0.9971,REBGLO,0.006,0.941,0.053,BC
0.9893,REBGLO,0.033,0.875,0.093,BC
0.9855,REBGLO,0.008,0.927,0.065,BC
0.9071,REBGLO,0.011,0.949,0.04,BC
-0.9956,REBGLO,0.166,0.765,0.068,BC
0.9889,REBGLO,0.017,0.736,0.247,BC
0.7744,REBGLO,0.011,0.948,0.041,BC
0.9664,REBGLO,0.0,0.814,0.186,BC
0.9945,REBGLO,0.04,0.839,0.121,BC
0.6369,REBGLO,0.004,0.974,0.021,BC
0.9994,REBGLO,0.016,0.874,0.11,BC
0.9993,REBGLO,0.037,0.851,0.112,BC
0.25,REBGLO,0.069,0.805,0.126,BC
0.128,REBGLO,0.046,0.872,0.082,BC
0.999,REBGLO,0.024,0.828,0.148,BC
0.999,REBGLO,0.024,0.831,0.146,BC
0.999,REBGLO,0.023,0.833,0.144,BC
0.9999,REBGLO,0.018,0.804,0.177,BC
0.9995,REBGLO,0.015,0.872,0.113,BC
-0.8796,REBGLO,0.069,0.886,0.045,BC
0.9995,REBGLO,0.015,0.87,0.115,BC
0.8074,REBGLO,0.012,0.936,0.052,BC
0.9712,REBGLO,0.093,0.794,0.113,BC
-0.9998,REBGLO,0.099,0.822,0.079,BC
0.0601,REBGLO,0.024,0.953,0.022,BC
0.9883,REBGLO,0.008,0.929,0.063,BC
-0.9998,REBGLO,0.099,0.822,0.079,BC
0.9995,REBGLO,0.018,0.869,0.113,BC
0.9874,REBGLO,0.008,0.911,0.081,BC
0.9994,REBGLO,0.075,0.839,0.085,BC
0.9432,REBGLO,0.04,0.916,0.044,BC
0.9994,REBGLO,0.016,0.873,0.111,BC
0.9432,REBGLO,0.04,0.916,0.044,BC
