compound,name,negative,neutral,positive,ticker
0.9992,REBGLO,0.041,0.827,0.131,BEAT
0.9997,REBGLO,0.027,0.861,0.113,BEAT
-1.0,REBGLO,0.153,0.766,0.081,BEAT
1.0,REBGLO,0.065,0.821,0.114,BEAT
-0.5522,REBGLO,0.071,0.876,0.053,BEAT
0.2136,REBGLO,0.033,0.928,0.039,BEAT
-0.9999,REBGLO,0.137,0.772,0.091,BEAT
1.0,REBGLO,0.026,0.707,0.267,BEAT
-0.9717,REBGLO,0.09,0.875,0.034,BEAT
0.9992,REBGLO,0.037,0.843,0.12,BEAT
0.9991,REBGLO,0.038,0.84,0.122,BEAT
-0.7973,REBGLO,0.061,0.892,0.047,BEAT
0.9908,REBGLO,0.036,0.839,0.125,BEAT
0.9631,REBGLO,0.014,0.937,0.048,BEAT
0.9908,REBGLO,0.036,0.839,0.125,BEAT
0.9995,REBGLO,0.075,0.812,0.113,BEAT
-0.9725,REBGLO,0.156,0.782,0.061,BEAT
0.9887,REBGLO,0.062,0.837,0.101,BEAT
0.9843,REBGLO,0.0,0.831,0.169,BEAT
0.9975,REBGLO,0.04,0.852,0.108,BEAT
0.25,REBGLO,0.0,0.939,0.061,BEAT
0.9468,REBGLO,0.026,0.847,0.127,BEAT
0.9148,REBGLO,0.039,0.854,0.107,BEAT
1.0,REBGLO,0.054,0.795,0.151,BEAT
0.9881,REBGLO,0.113,0.761,0.127,BEAT
0.9873,REBGLO,0.02,0.856,0.124,BEAT
0.9771,REBGLO,0.044,0.866,0.09,BEAT
0.8872,REBGLO,0.063,0.861,0.076,BEAT
-0.0516,REBGLO,0.081,0.875,0.044,BEAT
0.9469,REBGLO,0.042,0.862,0.096,BEAT
0.9998,REBGLO,0.056,0.849,0.095,BEAT
0.9992,REBGLO,0.031,0.828,0.141,BEAT
0.9942,REBGLO,0.059,0.781,0.16,BEAT
0.9816,REBGLO,0.026,0.874,0.1,BEAT
0.9974,REBGLO,0.045,0.828,0.126,BEAT
0.9836,REBGLO,0.025,0.762,0.213,BEAT
0.9998,REBGLO,0.062,0.781,0.158,BEAT
0.9874,REBGLO,0.077,0.789,0.133,BEAT
0.9887,REBGLO,0.079,0.791,0.13,BEAT
-0.2841,REBGLO,0.17,0.691,0.139,BEAT
0.3182,REBGLO,0.0,0.951,0.049,BEAT
0.9996,REBGLO,0.024,0.888,0.089,BEAT
-0.8363,REBGLO,0.207,0.692,0.101,BEAT
0.9993,REBGLO,0.073,0.825,0.102,BEAT
0.9902,REBGLO,0.076,0.785,0.139,BEAT
0.9997,REBGLO,0.026,0.887,0.087,BEAT
0.998,REBGLO,0.021,0.84,0.139,BEAT
0.9992,REBGLO,0.042,0.856,0.102,BEAT
0.9756,REBGLO,0.043,0.869,0.088,BEAT
0.9669,REBGLO,0.0,0.863,0.137,BEAT
0.6369,REBGLO,0.0,0.949,0.051,BEAT
0.8932,REBGLO,0.018,0.891,0.091,BEAT
-0.9765,REBGLO,0.108,0.793,0.099,BEAT
0.8957,REBGLO,0.075,0.824,0.101,BEAT
0.9995,REBGLO,0.057,0.812,0.131,BEAT
-0.8363,REBGLO,0.207,0.692,0.101,BEAT
0.9987,REBGLO,0.058,0.84,0.102,BEAT
0.9974,REBGLO,0.03,0.83,0.14,BEAT
0.992,REBGLO,0.012,0.886,0.102,BEAT
0.9994,REBGLO,0.067,0.838,0.095,BEAT
0.9951,REBGLO,0.057,0.852,0.091,BEAT
0.9973,REBGLO,0.031,0.83,0.14,BEAT
0.0,REBGLO,0.0,1.0,0.0,BEAT
1.0,REBGLO,0.016,0.818,0.166,BEAT
0.3182,REBGLO,0.0,0.966,0.034,BEAT
0.8186,REBGLO,0.131,0.73,0.139,BEAT
0.8347,REBGLO,0.038,0.908,0.054,BEAT
0.969,REBGLO,0.059,0.834,0.107,BEAT
0.9996,REBGLO,0.041,0.819,0.14,BEAT
0.7647,REBGLO,0.055,0.873,0.072,BEAT
0.9623,REBGLO,0.079,0.798,0.122,BEAT
-0.9535,REBGLO,0.137,0.779,0.084,BEAT
-0.9119,REBGLO,0.132,0.774,0.095,BEAT
0.9909,REBGLO,0.073,0.78,0.146,BEAT
0.9845,REBGLO,0.084,0.825,0.09,BEAT
0.9996,REBGLO,0.041,0.819,0.14,BEAT
0.9994,REBGLO,0.016,0.874,0.11,BEAT
0.9985,REBGLO,0.021,0.892,0.087,BEAT
0.9872,REBGLO,0.06,0.78,0.16,BEAT
0.9995,REBGLO,0.015,0.872,0.113,BEAT
0.9998,REBGLO,0.04,0.819,0.141,BEAT
-0.9733,REBGLO,0.093,0.861,0.046,BEAT
1.0,REBGLO,0.029,0.784,0.188,BEAT
0.9995,REBGLO,0.015,0.87,0.115,BEAT
0.9682,REBGLO,0.0,0.748,0.252,BEAT
0.9994,REBGLO,0.032,0.847,0.12,BEAT
0.9994,REBGLO,0.032,0.847,0.12,BEAT
0.9896,REBGLO,0.034,0.862,0.104,BEAT
0.9992,REBGLO,0.042,0.857,0.101,BEAT
-0.9916,REBGLO,0.105,0.802,0.094,BEAT
0.9976,REBGLO,0.033,0.866,0.101,BEAT
-0.9998,REBGLO,0.109,0.801,0.091,BEAT
-0.9306,REBGLO,0.132,0.76,0.108,BEAT
0.9944,REBGLO,0.083,0.826,0.091,BEAT
0.9944,REBGLO,0.083,0.826,0.091,BEAT
0.9995,REBGLO,0.018,0.869,0.113,BEAT
0.9995,REBGLO,0.007,0.877,0.116,BEAT
0.9818,REBGLO,0.012,0.852,0.136,BEAT
0.9915,REBGLO,0.043,0.811,0.146,BEAT
-0.7207,REBGLO,0.2,0.643,0.157,BEAT
