compound,name,negative,neutral,positive,ticker
0.9848,REBGLO,0.038,0.853,0.109,BEEF
0.354,REBGLO,0.071,0.85,0.079,BEEF
0.9995,REBGLO,0.075,0.812,0.113,BEEF
0.9999,REBGLO,0.013,0.845,0.141,BEEF
0.9975,REBGLO,0.097,0.79,0.112,BEEF
0.9996,REBGLO,0.028,0.789,0.182,BEEF
-0.9395,REBGLO,0.1,0.799,0.102,BEEF
-0.9998,REBGLO,0.099,0.822,0.079,BEEF
-0.9998,REBGLO,0.099,0.822,0.079,BEEF
-0.994,REBGLO,0.154,0.787,0.059,BEEF
0.9915,REBGLO,0.043,0.811,0.146,BEEF
0.9941,REBGLO,0.034,0.849,0.118,BEEF
0.9892,REBGLO,0.049,0.843,0.108,BEEF
