compound,name,negative,neutral,positive,ticker
0.9473,REBGLO,0.025,0.911,0.064,BID
0.9996,REBGLO,0.074,0.817,0.109,BID
-0.9792,REBGLO,0.105,0.839,0.056,BID
0.9902,REBGLO,0.006,0.866,0.129,BID
-0.5493,REBGLO,0.048,0.916,0.036,BID
0.0,REBGLO,0.0,1.0,0.0,BID
0.0,REBGLO,0.0,1.0,0.0,BID
0.9444,REBGLO,0.01,0.904,0.086,BID
0.9998,REBGLO,0.024,0.86,0.117,BID
1.0,REBGLO,0.053,0.852,0.094,BID
1.0,REBGLO,0.065,0.821,0.114,BID
0.7345,REBGLO,0.0,0.869,0.131,BID
0.7345,REBGLO,0.0,0.872,0.128,BID
0.9746,REBGLO,0.004,0.984,0.012,BID
0.9847,REBGLO,0.025,0.872,0.103,BID
-1.0,REBGLO,0.089,0.883,0.029,BID
-0.7306,REBGLO,0.058,0.905,0.038,BID
-0.7306,REBGLO,0.058,0.905,0.038,BID
-0.6962,REBGLO,0.103,0.79,0.107,BID
-0.9992,REBGLO,0.139,0.767,0.094,BID
-0.7306,REBGLO,0.058,0.905,0.038,BID
-0.8517,REBGLO,0.079,0.874,0.047,BID
0.9535,REBGLO,0.0,0.845,0.155,BID
0.9664,REBGLO,0.0,0.828,0.172,BID
0.9526,REBGLO,0.035,0.828,0.137,BID
-0.7306,REBGLO,0.058,0.905,0.038,BID
0.7345,REBGLO,0.0,0.872,0.128,BID
0.9241,REBGLO,0.005,0.937,0.058,BID
0.999,REBGLO,0.041,0.842,0.117,BID
-0.8656,REBGLO,0.054,0.918,0.028,BID
-0.8199,REBGLO,0.072,0.886,0.042,BID
0.9771,REBGLO,0.044,0.866,0.09,BID
-0.8199,REBGLO,0.071,0.888,0.041,BID
0.9343,REBGLO,0.026,0.911,0.062,BID
0.9998,REBGLO,0.058,0.823,0.119,BID
0.923,REBGLO,0.085,0.787,0.129,BID
0.9824,REBGLO,0.027,0.866,0.107,BID
-0.8724,REBGLO,0.133,0.761,0.106,BID
0.9287,REBGLO,0.014,0.937,0.05,BID
0.9993,REBGLO,0.073,0.825,0.102,BID
0.9992,REBGLO,0.052,0.827,0.122,BID
0.9974,REBGLO,0.004,0.877,0.119,BID
0.994,REBGLO,0.005,0.975,0.02,BID
0.6705,REBGLO,0.05,0.879,0.071,BID
0.6705,REBGLO,0.05,0.879,0.071,BID
0.6705,REBGLO,0.05,0.879,0.071,BID
0.9423,REBGLO,0.036,0.889,0.076,BID
0.9974,REBGLO,0.004,0.881,0.115,BID
0.9963,REBGLO,0.018,0.895,0.086,BID
0.9966,REBGLO,0.009,0.894,0.097,BID
0.8519,REBGLO,0.046,0.895,0.058,BID
0.9986,REBGLO,0.007,0.924,0.069,BID
0.9857,REBGLO,0.023,0.837,0.14,BID
0.9951,REBGLO,0.02,0.862,0.118,BID
0.9322,REBGLO,0.056,0.858,0.086,BID
-0.5713,REBGLO,0.05,0.917,0.033,BID
0.0,REBGLO,0.0,1.0,0.0,BID
0.0,REBGLO,0.0,1.0,0.0,BID
0.9186,REBGLO,0.104,0.768,0.128,BID
0.9782,REBGLO,0.024,0.907,0.069,BID
0.9081,REBGLO,0.058,0.85,0.093,BID
0.9313,REBGLO,0.061,0.842,0.097,BID
0.9313,REBGLO,0.061,0.842,0.097,BID
0.5195,REBGLO,0.062,0.875,0.063,BID
-0.8468,REBGLO,0.067,0.879,0.055,BID
0.9995,REBGLO,0.012,0.929,0.06,BID
0.9384,REBGLO,0.015,0.886,0.099,BID
0.987,REBGLO,0.015,0.874,0.111,BID
0.9313,REBGLO,0.061,0.842,0.097,BID
-0.8468,REBGLO,0.065,0.881,0.054,BID
0.9998,REBGLO,0.019,0.869,0.112,BID
-0.8468,REBGLO,0.066,0.881,0.054,BID
0.9945,REBGLO,0.04,0.839,0.121,BID
0.9925,REBGLO,0.024,0.9,0.077,BID
0.9983,REBGLO,0.031,0.803,0.166,BID
-0.8792,REBGLO,0.068,0.877,0.055,BID
0.9798,REBGLO,0.01,0.907,0.083,BID
-0.7096,REBGLO,0.085,0.836,0.079,BID
0.8622,REBGLO,0.096,0.774,0.129,BID
0.7345,REBGLO,0.0,0.872,0.128,BID
0.8705,REBGLO,0.02,0.908,0.072,BID
0.0,REBGLO,0.0,1.0,0.0,BID
0.9844,REBGLO,0.0,0.883,0.117,BID
0.877,REBGLO,0.0,0.947,0.053,BID
0.9866,REBGLO,0.002,0.984,0.014,BID
0.0,REBGLO,0.0,1.0,0.0,BID
0.8326,REBGLO,0.059,0.872,0.069,BID
0.9979,REBGLO,0.015,0.893,0.092,BID
0.8598,REBGLO,0.061,0.863,0.076,BID
0.0,REBGLO,0.0,1.0,0.0,BID
-0.9954,REBGLO,0.059,0.895,0.046,BID
0.9961,REBGLO,0.027,0.886,0.087,BID
0.9956,REBGLO,0.009,0.856,0.135,BID
0.9509,REBGLO,0.018,0.905,0.077,BID
0.9984,REBGLO,0.003,0.866,0.131,BID
0.9958,REBGLO,0.043,0.88,0.077,BID
0.9568,REBGLO,0.039,0.892,0.069,BID
-0.748,REBGLO,0.065,0.878,0.057,BID
0.8955,REBGLO,0.0,0.907,0.093,BID
-0.4581,REBGLO,0.05,0.912,0.038,BID
