compound,name,negative,neutral,positive,ticker
1.0,REBGLO,0.014,0.782,0.205,BIRD
-1.0,REBGLO,0.153,0.766,0.081,BIRD
0.9979,REBGLO,0.029,0.775,0.196,BIRD
0.9979,REBGLO,0.029,0.775,0.196,BIRD
-0.9186,REBGLO,0.059,0.912,0.029,BIRD
0.9999,REBGLO,0.007,0.813,0.181,BIRD
1.0,REBGLO,0.054,0.795,0.151,BIRD
-0.9277,REBGLO,0.089,0.854,0.056,BIRD
-0.9277,REBGLO,0.089,0.855,0.056,BIRD
-0.9277,REBGLO,0.093,0.849,0.058,BIRD
-0.9277,REBGLO,0.092,0.85,0.058,BIRD
-0.9277,REBGLO,0.093,0.848,0.059,BIRD
-0.9999,REBGLO,0.139,0.774,0.086,BIRD
0.9454,REBGLO,0.009,0.978,0.013,BIRD
0.9995,REBGLO,0.033,0.816,0.151,BIRD
0.9529,REBGLO,0.045,0.869,0.086,BIRD
0.9893,REBGLO,0.033,0.875,0.093,BIRD
-0.9973,REBGLO,0.039,0.949,0.013,BIRD
0.9995,REBGLO,0.057,0.812,0.131,BIRD
0.9987,REBGLO,0.058,0.84,0.102,BIRD
-0.9277,REBGLO,0.093,0.849,0.058,BIRD
0.9802,REBGLO,0.039,0.85,0.111,BIRD
0.9925,REBGLO,0.024,0.853,0.124,BIRD
0.9925,REBGLO,0.023,0.854,0.122,BIRD
0.875,REBGLO,0.025,0.943,0.031,BIRD
-0.9954,REBGLO,0.059,0.895,0.046,BIRD
0.9988,REBGLO,0.079,0.762,0.159,BIRD
-0.9998,REBGLO,0.099,0.822,0.079,BIRD
-0.9893,REBGLO,0.099,0.807,0.094,BIRD
-0.9893,REBGLO,0.099,0.807,0.094,BIRD
-0.9998,REBGLO,0.099,0.822,0.079,BIRD
0.9994,REBGLO,0.075,0.839,0.085,BIRD
0.9999,REBGLO,0.024,0.867,0.109,BIRD
0.9948,REBGLO,0.014,0.902,0.084,BIRD
