compound,name,negative,neutral,positive,ticker
-0.7096,REBGLO,0.018,0.978,0.004,BNT
-0.3612,REBGLO,0.01,0.985,0.005,BNT
0.4939,REBGLO,0.016,0.964,0.021,BNT
-1.0,REBGLO,0.153,0.766,0.081,BNT
0.0857,REBGLO,0.014,0.973,0.013,BNT
0.3612,REBGLO,0.007,0.979,0.014,BNT
0.6369,REBGLO,0.0,0.983,0.017,BNT
-0.0772,REBGLO,0.007,0.987,0.006,BNT
-0.5719,REBGLO,0.015,0.98,0.004,BNT
0.3612,REBGLO,0.007,0.979,0.014,BNT
-0.5719,REBGLO,0.019,0.975,0.006,BNT
0.7125,REBGLO,0.014,0.962,0.024,BNT
0.6523,REBGLO,0.01,0.971,0.019,BNT
-0.2185,REBGLO,0.02,0.967,0.013,BNT
-0.2185,REBGLO,0.02,0.966,0.014,BNT
0.0857,REBGLO,0.014,0.973,0.013,BNT
-0.5719,REBGLO,0.02,0.975,0.006,BNT
-0.7096,REBGLO,0.027,0.967,0.006,BNT
-0.4939,REBGLO,0.022,0.967,0.011,BNT
-0.7096,REBGLO,0.02,0.975,0.004,BNT
-0.5719,REBGLO,0.015,0.98,0.004,BNT
0.7003,REBGLO,0.005,0.975,0.02,BNT
0.3612,REBGLO,0.005,0.984,0.011,BNT
-0.2185,REBGLO,0.019,0.968,0.013,BNT
-0.3612,REBGLO,0.016,0.977,0.007,BNT
0.2103,REBGLO,0.015,0.968,0.017,BNT
-0.0772,REBGLO,0.007,0.987,0.006,BNT
-0.0772,REBGLO,0.008,0.986,0.007,BNT
0.5719,REBGLO,0.0,0.985,0.015,BNT
0.3612,REBGLO,0.007,0.978,0.015,BNT
-0.3818,REBGLO,0.02,0.966,0.014,BNT
-0.7579,REBGLO,0.031,0.958,0.011,BNT
-0.5719,REBGLO,0.017,0.978,0.005,BNT
0.3612,REBGLO,0.005,0.983,0.011,BNT
0.7003,REBGLO,0.005,0.974,0.021,BNT
-0.3612,REBGLO,0.01,0.986,0.004,BNT
0.7906,REBGLO,0.0,0.98,0.02,BNT
0.2023,REBGLO,0.01,0.976,0.014,BNT
0.3612,REBGLO,0.005,0.983,0.011,BNT
0.34,REBGLO,0.015,0.965,0.02,BNT
-0.5859,REBGLO,0.02,0.969,0.011,BNT
0.2263,REBGLO,0.015,0.969,0.017,BNT
-0.3612,REBGLO,0.01,0.985,0.004,BNT
0.0772,REBGLO,0.01,0.979,0.011,BNT
-0.1027,REBGLO,0.016,0.97,0.015,BNT
-0.2263,REBGLO,0.017,0.971,0.012,BNT
0.9954,REBGLO,0.012,0.908,0.08,BNT
0.3612,REBGLO,0.005,0.984,0.011,BNT
-0.1027,REBGLO,0.015,0.973,0.012,BNT
-0.3612,REBGLO,0.011,0.985,0.005,BNT
-0.3612,REBGLO,0.011,0.985,0.005,BNT
0.2263,REBGLO,0.0,0.994,0.006,BNT
0.0516,REBGLO,0.007,0.981,0.011,BNT
0.765,REBGLO,0.0,0.982,0.018,BNT
-0.5719,REBGLO,0.015,0.98,0.004,BNT
-0.3612,REBGLO,0.012,0.983,0.005,BNT
-0.4939,REBGLO,0.022,0.967,0.011,BNT
-0.4708,REBGLO,0.024,0.964,0.013,BNT
0.3612,REBGLO,0.007,0.977,0.016,BNT
0.2263,REBGLO,0.0,0.994,0.006,BNT
0.5719,REBGLO,0.0,0.986,0.014,BNT
-0.1027,REBGLO,0.015,0.97,0.014,BNT
0.7531,REBGLO,0.015,0.959,0.026,BNT
-0.3612,REBGLO,0.011,0.985,0.005,BNT
0.2263,REBGLO,0.0,0.994,0.006,BNT
-0.7096,REBGLO,0.022,0.973,0.005,BNT
-0.4883,REBGLO,0.03,0.95,0.02,BNT
-0.5994,REBGLO,0.03,0.951,0.019,BNT
0.6037,REBGLO,0.017,0.958,0.025,BNT
-0.5267,REBGLO,0.023,0.959,0.018,BNT
-0.6705,REBGLO,0.02,0.97,0.01,BNT
0.5719,REBGLO,0.0,0.985,0.015,BNT
-0.2263,REBGLO,0.014,0.976,0.01,BNT
-0.2263,REBGLO,0.016,0.973,0.011,BNT
-0.7964,REBGLO,0.026,0.969,0.005,BNT
0.9938,REBGLO,0.013,0.871,0.117,BNT
0.5719,REBGLO,0.0,0.985,0.015,BNT
0.4824,REBGLO,0.013,0.969,0.018,BNT
-0.3818,REBGLO,0.02,0.966,0.014,BNT
0.0772,REBGLO,0.011,0.977,0.012,BNT
-0.7579,REBGLO,0.026,0.964,0.009,BNT
