compound,name,negative,neutral,positive,ticker
0.9994,REBGLO,0.009,0.938,0.053,BOOL
0.6372,REBGLO,0.039,0.916,0.045,BOOL
0.6126,REBGLO,0.042,0.911,0.047,BOOL
0.9979,REBGLO,0.005,0.978,0.017,BOOL
0.7174,REBGLO,0.008,0.961,0.031,BOOL
0.7174,REBGLO,0.008,0.961,0.031,BOOL
0.7174,REBGLO,0.008,0.961,0.031,BOOL
0.7174,REBGLO,0.008,0.961,0.031,BOOL
0.9517,REBGLO,0.021,0.877,0.102,BOOL
0.7399,REBGLO,0.0,0.947,0.053,BOOL
0.9796,REBGLO,0.014,0.97,0.016,BOOL
0.9883,REBGLO,0.0,0.974,0.026,BOOL
0.7096,REBGLO,0.009,0.97,0.021,BOOL
-0.2695,REBGLO,0.007,0.987,0.006,BOOL
0.9493,REBGLO,0.0,0.955,0.045,BOOL
0.9501,REBGLO,0.004,0.951,0.044,BOOL
-0.0772,REBGLO,0.004,0.992,0.004,BOOL
-0.6103,REBGLO,0.005,0.991,0.003,BOOL
0.1926,REBGLO,0.024,0.95,0.026,BOOL
0.7574,REBGLO,0.0,0.971,0.029,BOOL
0.9842,REBGLO,0.01,0.971,0.019,BOOL
0.8625,REBGLO,0.0,0.909,0.091,BOOL
0.8122,REBGLO,0.007,0.957,0.036,BOOL
0.8074,REBGLO,0.012,0.936,0.052,BOOL
-0.8932,REBGLO,0.022,0.956,0.022,BOOL
0.9432,REBGLO,0.04,0.916,0.044,BOOL
0.9432,REBGLO,0.04,0.916,0.044,BOOL
0.9063,REBGLO,0.022,0.947,0.031,BOOL
0.8306,REBGLO,0.028,0.935,0.038,BOOL
0.0,REBGLO,0.0,1.0,0.0,BOOL
