compound,name,negative,neutral,positive,ticker
0.9947,REBGLO,0.034,0.876,0.09,CABS
0.9941,REBGLO,0.034,0.878,0.088,CABS
0.9746,REBGLO,0.004,0.984,0.012,CABS
0.9941,REBGLO,0.034,0.878,0.088,CABS
0.9973,REBGLO,0.024,0.866,0.11,CABS
0.9997,REBGLO,0.042,0.865,0.093,CABS
0.9136,REBGLO,0.038,0.807,0.155,CABS
0.9998,REBGLO,0.037,0.865,0.099,CABS
-0.9954,REBGLO,0.059,0.895,0.046,CABS
0.9972,REBGLO,0.068,0.767,0.165,CABS
0.9629,REBGLO,0.043,0.754,0.203,CABS
0.8791,REBGLO,0.036,0.841,0.123,CABS
0.9763,REBGLO,0.019,0.92,0.061,CABS
0.7862,REBGLO,0.0,0.997,0.003,CABS
