compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,CAN
0.4824,REBGLO,0.015,0.965,0.02,CAN
0.368,REBGLO,0.01,0.976,0.014,CAN
0.3612,REBGLO,0.0,0.965,0.035,CAN
0.9473,REBGLO,0.025,0.911,0.064,CAN
0.9972,REBGLO,0.022,0.895,0.083,CAN
0.9996,REBGLO,0.074,0.817,0.109,CAN
0.9418,REBGLO,0.0,0.88,0.12,CAN
0.7919,REBGLO,0.073,0.744,0.182,CAN
0.9899,REBGLO,0.028,0.841,0.131,CAN
-0.374,REBGLO,0.046,0.935,0.02,CAN
0.9158,REBGLO,0.027,0.882,0.091,CAN
0.9162,REBGLO,0.044,0.848,0.108,CAN
0.9428,REBGLO,0.0,0.847,0.153,CAN
0.7912,REBGLO,0.061,0.813,0.126,CAN
0.9886,REBGLO,0.0,0.72,0.28,CAN
0.8041,REBGLO,0.1,0.785,0.114,CAN
0.9984,REBGLO,0.016,0.738,0.245,CAN
0.9875,REBGLO,0.009,0.887,0.104,CAN
0.9874,REBGLO,0.014,0.86,0.126,CAN
0.9906,REBGLO,0.048,0.801,0.151,CAN
-0.7096,REBGLO,0.018,0.978,0.004,CAN
-0.5719,REBGLO,0.017,0.978,0.005,CAN
0.9865,REBGLO,0.0,0.85,0.15,CAN
0.4874,REBGLO,0.049,0.887,0.064,CAN
0.5424,REBGLO,0.074,0.844,0.082,CAN
0.0772,REBGLO,0.012,0.976,0.012,CAN
0.2023,REBGLO,0.011,0.977,0.013,CAN
-0.4939,REBGLO,0.017,0.974,0.009,CAN
-0.0772,REBGLO,0.005,0.991,0.004,CAN
0.9311,REBGLO,0.004,0.93,0.066,CAN
0.9945,REBGLO,0.026,0.886,0.087,CAN
0.9905,REBGLO,0.039,0.784,0.177,CAN
0.34,REBGLO,0.0,0.982,0.018,CAN
0.9956,REBGLO,0.009,0.818,0.174,CAN
-0.594,REBGLO,0.097,0.903,0.0,CAN
0.9326,REBGLO,0.021,0.881,0.097,CAN
0.9659,REBGLO,0.01,0.91,0.08,CAN
0.9882,REBGLO,0.015,0.89,0.095,CAN
0.9794,REBGLO,0.0,0.899,0.101,CAN
0.9531,REBGLO,0.051,0.837,0.112,CAN
0.296,REBGLO,0.0,0.942,0.058,CAN
0.755,REBGLO,0.0,0.919,0.081,CAN
0.8205,REBGLO,0.029,0.854,0.117,CAN
0.0857,REBGLO,0.015,0.972,0.013,CAN
-0.0943,REBGLO,0.02,0.963,0.017,CAN
0.5622,REBGLO,0.013,0.966,0.021,CAN
0.9552,REBGLO,0.033,0.871,0.095,CAN
0.9976,REBGLO,0.004,0.839,0.157,CAN
-0.9994,REBGLO,0.194,0.742,0.064,CAN
0.9977,REBGLO,0.0,0.806,0.194,CAN
0.9949,REBGLO,0.0,0.838,0.162,CAN
-0.3612,REBGLO,0.011,0.985,0.005,CAN
-0.7964,REBGLO,0.027,0.968,0.005,CAN
-0.3612,REBGLO,0.012,0.982,0.005,CAN
-0.5719,REBGLO,0.018,0.977,0.005,CAN
-0.3612,REBGLO,0.01,0.985,0.005,CAN
0.9994,REBGLO,0.009,0.938,0.053,CAN
0.9949,REBGLO,0.005,0.857,0.138,CAN
0.9902,REBGLO,0.006,0.866,0.129,CAN
0.997,REBGLO,0.079,0.799,0.121,CAN
-0.9438,REBGLO,0.046,0.938,0.015,CAN
0.9971,REBGLO,0.015,0.895,0.089,CAN
0.9968,REBGLO,0.03,0.842,0.129,CAN
0.9996,REBGLO,0.04,0.761,0.199,CAN
0.9987,REBGLO,0.046,0.82,0.134,CAN
0.9975,REBGLO,0.05,0.838,0.112,CAN
0.997,REBGLO,0.079,0.799,0.121,CAN
0.9979,REBGLO,0.0,0.807,0.193,CAN
0.9949,REBGLO,0.034,0.888,0.078,CAN
0.9278,REBGLO,0.017,0.842,0.14,CAN
0.823,REBGLO,0.036,0.873,0.092,CAN
0.9991,REBGLO,0.049,0.824,0.127,CAN
0.8322,REBGLO,0.091,0.755,0.154,CAN
-0.3781,REBGLO,0.091,0.858,0.05,CAN
0.6369,REBGLO,0.044,0.806,0.149,CAN
0.931,REBGLO,0.0,0.854,0.146,CAN
0.98,REBGLO,0.011,0.83,0.159,CAN
0.9789,REBGLO,0.007,0.89,0.103,CAN
0.9976,REBGLO,0.004,0.84,0.156,CAN
0.9826,REBGLO,0.011,0.913,0.076,CAN
0.9528,REBGLO,0.0,0.81,0.19,CAN
-0.296,REBGLO,0.023,0.977,0.0,CAN
-0.797,REBGLO,0.264,0.656,0.08,CAN
-0.866,REBGLO,0.163,0.718,0.119,CAN
0.9963,REBGLO,0.017,0.854,0.13,CAN
0.9843,REBGLO,0.028,0.838,0.134,CAN
0.2042,REBGLO,0.018,0.955,0.027,CAN
0.2819,REBGLO,0.119,0.724,0.156,CAN
0.9662,REBGLO,0.037,0.881,0.082,CAN
0.6826,REBGLO,0.081,0.812,0.107,CAN
0.8442,REBGLO,0.096,0.784,0.12,CAN
-0.494,REBGLO,0.044,0.917,0.039,CAN
0.9464,REBGLO,0.009,0.863,0.128,CAN
-0.1766,REBGLO,0.095,0.804,0.101,CAN
-0.962,REBGLO,0.147,0.779,0.074,CAN
0.7272,REBGLO,0.044,0.902,0.054,CAN
-0.8273,REBGLO,0.067,0.893,0.039,CAN
0.1901,REBGLO,0.107,0.777,0.116,CAN
0.9509,REBGLO,0.047,0.71,0.243,CAN
