compound,name,negative,neutral,positive,ticker
0.9794,REBGLO,0.049,0.891,0.06,CBC
0.4404,REBGLO,0.0,0.963,0.037,CBC
-0.7021,REBGLO,0.017,0.967,0.016,CBC
0.0772,REBGLO,0.0,0.983,0.017,CBC
0.2905,REBGLO,0.0,0.99,0.01,CBC
0.2905,REBGLO,0.0,0.99,0.01,CBC
-0.9466,REBGLO,0.047,0.953,0.0,CBC
-0.9999,REBGLO,0.137,0.772,0.091,CBC
0.7676,REBGLO,0.005,0.989,0.006,CBC
0.9898,REBGLO,0.032,0.825,0.143,CBC
0.9771,REBGLO,0.009,0.933,0.058,CBC
0.5423,REBGLO,0.018,0.938,0.044,CBC
0.9942,REBGLO,0.052,0.86,0.088,CBC
0.9771,REBGLO,0.009,0.933,0.058,CBC
0.9771,REBGLO,0.009,0.933,0.058,CBC
0.9771,REBGLO,0.009,0.935,0.056,CBC
0.7174,REBGLO,0.008,0.961,0.031,CBC
0.7174,REBGLO,0.008,0.961,0.031,CBC
0.7174,REBGLO,0.008,0.961,0.031,CBC
0.7174,REBGLO,0.008,0.961,0.031,CBC
-0.4488,REBGLO,0.015,0.985,0.0,CBC
0.0,REBGLO,0.0,1.0,0.0,CBC
0.0,REBGLO,0.0,1.0,0.0,CBC
0.2263,REBGLO,0.0,0.993,0.007,CBC
0.3182,REBGLO,0.079,0.833,0.088,CBC
0.6103,REBGLO,0.047,0.885,0.068,CBC
0.7691,REBGLO,0.107,0.769,0.124,CBC
-0.3612,REBGLO,0.026,0.957,0.017,CBC
-0.9416,REBGLO,0.13,0.87,0.0,CBC
0.0772,REBGLO,0.015,0.968,0.016,CBC
-0.4767,REBGLO,0.022,0.967,0.012,CBC
0.0772,REBGLO,0.006,0.988,0.006,CBC
-0.0258,REBGLO,0.009,0.983,0.008,CBC
-0.2695,REBGLO,0.007,0.987,0.006,CBC
0.0772,REBGLO,0.002,0.995,0.002,CBC
-0.0772,REBGLO,0.004,0.992,0.004,CBC
-0.6103,REBGLO,0.005,0.991,0.003,CBC
0.128,REBGLO,0.014,0.96,0.026,CBC
-0.9977,REBGLO,0.14,0.782,0.079,CBC
0.3818,REBGLO,0.0,0.963,0.037,CBC
-0.5247,REBGLO,0.074,0.857,0.069,CBC
-0.1596,REBGLO,0.03,0.939,0.032,CBC
0.5719,REBGLO,0.0,0.986,0.014,CBC
0.9568,REBGLO,0.039,0.892,0.069,CBC
0.9948,REBGLO,0.023,0.842,0.134,CBC
-0.2185,REBGLO,0.021,0.964,0.014,CBC
0.9929,REBGLO,0.025,0.848,0.127,CBC
0.6059,REBGLO,0.013,0.968,0.019,CBC
0.5859,REBGLO,0.0,0.962,0.038,CBC
-0.5308,REBGLO,0.055,0.881,0.063,CBC
-0.8687,REBGLO,0.033,0.967,0.0,CBC
