compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,CC
-0.8978,REBGLO,0.057,0.924,0.018,CC
0.7783,REBGLO,0.0,0.93,0.07,CC
0.9984,REBGLO,0.016,0.738,0.245,CC
0.25,REBGLO,0.05,0.901,0.05,CC
0.9531,REBGLO,0.051,0.837,0.112,CC
0.9976,REBGLO,0.004,0.839,0.157,CC
-0.9994,REBGLO,0.194,0.742,0.064,CC
0.9977,REBGLO,0.0,0.806,0.194,CC
0.9994,REBGLO,0.009,0.938,0.053,CC
0.9902,REBGLO,0.006,0.866,0.129,CC
-0.9438,REBGLO,0.046,0.938,0.015,CC
0.9996,REBGLO,0.04,0.761,0.199,CC
0.9987,REBGLO,0.046,0.82,0.134,CC
0.9979,REBGLO,0.0,0.807,0.193,CC
0.9991,REBGLO,0.049,0.824,0.127,CC
0.8322,REBGLO,0.091,0.755,0.154,CC
0.9789,REBGLO,0.007,0.89,0.103,CC
0.9976,REBGLO,0.004,0.84,0.156,CC
0.995,REBGLO,0.032,0.808,0.16,CC
-0.494,REBGLO,0.044,0.917,0.039,CC
0.5719,REBGLO,0.0,0.954,0.046,CC
0.8271,REBGLO,0.02,0.906,0.074,CC
0.995,REBGLO,0.032,0.807,0.161,CC
0.9862,REBGLO,0.0,0.796,0.204,CC
0.9447,REBGLO,0.017,0.945,0.037,CC
0.9982,REBGLO,0.086,0.787,0.127,CC
0.999,REBGLO,0.042,0.855,0.102,CC
0.8485,REBGLO,0.073,0.801,0.125,CC
0.9992,REBGLO,0.044,0.814,0.142,CC
0.9929,REBGLO,0.038,0.797,0.165,CC
0.9992,REBGLO,0.041,0.827,0.131,CC
0.995,REBGLO,0.032,0.811,0.158,CC
0.9775,REBGLO,0.03,0.909,0.061,CC
0.9671,REBGLO,0.052,0.851,0.097,CC
1.0,REBGLO,0.014,0.782,0.205,CC
0.9995,REBGLO,0.009,0.89,0.101,CC
1.0,REBGLO,0.017,0.825,0.158,CC
0.9998,REBGLO,0.024,0.86,0.117,CC
0.999,REBGLO,0.048,0.837,0.115,CC
0.9997,REBGLO,0.027,0.861,0.113,CC
-1.0,REBGLO,0.153,0.766,0.081,CC
0.9968,REBGLO,0.027,0.902,0.071,CC
0.9997,REBGLO,0.021,0.851,0.128,CC
0.9999,REBGLO,0.015,0.856,0.128,CC
1.0,REBGLO,0.053,0.852,0.094,CC
1.0,REBGLO,0.065,0.821,0.114,CC
0.9999,REBGLO,0.044,0.829,0.127,CC
0.9992,REBGLO,0.035,0.866,0.099,CC
-0.3939,REBGLO,0.041,0.927,0.032,CC
0.9911,REBGLO,0.033,0.888,0.079,CC
0.996,REBGLO,0.038,0.846,0.116,CC
0.9538,REBGLO,0.017,0.93,0.053,CC
0.998,REBGLO,0.022,0.821,0.157,CC
0.9538,REBGLO,0.017,0.93,0.053,CC
0.998,REBGLO,0.022,0.822,0.157,CC
0.8773,REBGLO,0.039,0.866,0.095,CC
0.3818,REBGLO,0.063,0.84,0.097,CC
0.9977,REBGLO,0.0,0.804,0.196,CC
0.9794,REBGLO,0.049,0.891,0.06,CC
0.9399,REBGLO,0.017,0.946,0.037,CC
0.9985,REBGLO,0.029,0.807,0.164,CC
0.9576,REBGLO,0.011,0.912,0.077,CC
0.9947,REBGLO,0.034,0.876,0.09,CC
0.9941,REBGLO,0.034,0.878,0.088,CC
-0.9925,REBGLO,0.077,0.855,0.067,CC
0.9992,REBGLO,0.029,0.852,0.119,CC
-0.9829,REBGLO,0.095,0.869,0.036,CC
0.996,REBGLO,0.0,0.742,0.258,CC
0.9963,REBGLO,0.037,0.845,0.117,CC
0.529,REBGLO,0.133,0.72,0.147,CC
0.9936,REBGLO,0.005,0.848,0.147,CC
0.9772,REBGLO,0.055,0.827,0.119,CC
-0.9993,REBGLO,0.188,0.747,0.066,CC
-0.2853,REBGLO,0.092,0.807,0.1,CC
0.9988,REBGLO,0.046,0.831,0.123,CC
0.7866,REBGLO,0.084,0.79,0.126,CC
-0.8201,REBGLO,0.089,0.849,0.062,CC
0.9921,REBGLO,0.012,0.861,0.127,CC
0.9988,REBGLO,0.028,0.852,0.12,CC
0.9941,REBGLO,0.034,0.878,0.088,CC
0.9851,REBGLO,0.031,0.902,0.067,CC
0.9341,REBGLO,0.023,0.86,0.117,CC
0.5432,REBGLO,0.084,0.82,0.096,CC
0.9953,REBGLO,0.013,0.846,0.141,CC
0.997,REBGLO,0.004,0.827,0.168,CC
0.9713,REBGLO,0.103,0.692,0.206,CC
0.9319,REBGLO,0.049,0.792,0.159,CC
-0.6962,REBGLO,0.103,0.79,0.107,CC
-0.9999,REBGLO,0.137,0.772,0.091,CC
0.9975,REBGLO,0.008,0.831,0.16,CC
1.0,REBGLO,0.026,0.707,0.267,CC
0.9956,REBGLO,0.07,0.761,0.169,CC
-0.9992,REBGLO,0.139,0.767,0.094,CC
0.9399,REBGLO,0.017,0.946,0.037,CC
-0.9642,REBGLO,0.127,0.766,0.107,CC
0.948,REBGLO,0.052,0.854,0.094,CC
0.6548,REBGLO,0.048,0.888,0.063,CC
-0.7155,REBGLO,0.053,0.903,0.044,CC
0.9785,REBGLO,0.044,0.86,0.096,CC
