compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,CCET
0.9854,REBGLO,0.0,0.883,0.117,CCET
0.9875,REBGLO,0.009,0.887,0.104,CCET
0.4874,REBGLO,0.049,0.887,0.064,CCET
0.2023,REBGLO,0.011,0.977,0.013,CCET
0.9842,REBGLO,0.021,0.79,0.189,CCET
0.9905,REBGLO,0.039,0.784,0.177,CCET
-0.6144,REBGLO,0.061,0.885,0.054,CCET
0.9882,REBGLO,0.015,0.89,0.095,CCET
0.6553,REBGLO,0.0,0.984,0.016,CCET
0.9976,REBGLO,0.004,0.839,0.157,CCET
0.9898,REBGLO,0.031,0.647,0.322,CCET
-0.3612,REBGLO,0.012,0.982,0.005,CCET
0.997,REBGLO,0.079,0.799,0.121,CCET
0.9971,REBGLO,0.015,0.895,0.089,CCET
0.997,REBGLO,0.079,0.799,0.121,CCET
0.813,REBGLO,0.026,0.885,0.088,CCET
0.9966,REBGLO,0.067,0.754,0.179,CCET
-0.6793,REBGLO,0.164,0.736,0.1,CCET
-0.6793,REBGLO,0.227,0.635,0.138,CCET
0.9452,REBGLO,0.0,0.58,0.42,CCET
0.9976,REBGLO,0.004,0.84,0.156,CCET
0.9826,REBGLO,0.011,0.913,0.076,CCET
0.9963,REBGLO,0.017,0.854,0.13,CCET
0.2042,REBGLO,0.018,0.955,0.027,CCET
0.4228,REBGLO,0.084,0.794,0.122,CCET
0.6826,REBGLO,0.081,0.812,0.107,CCET
0.9893,REBGLO,0.016,0.913,0.071,CCET
-0.1766,REBGLO,0.095,0.804,0.101,CCET
-0.962,REBGLO,0.147,0.779,0.074,CCET
0.9542,REBGLO,0.1,0.637,0.263,CCET
0.4871,REBGLO,0.0,0.982,0.018,CCET
0.8976,REBGLO,0.051,0.86,0.089,CCET
0.8271,REBGLO,0.02,0.906,0.074,CCET
-0.0498,REBGLO,0.023,0.961,0.016,CCET
0.9447,REBGLO,0.017,0.945,0.037,CCET
-0.9282,REBGLO,0.127,0.852,0.021,CCET
0.7806,REBGLO,0.063,0.85,0.087,CCET
-0.8107,REBGLO,0.074,0.883,0.043,CCET
0.63,REBGLO,0.086,0.791,0.122,CCET
0.8581,REBGLO,0.052,0.828,0.121,CCET
0.9992,REBGLO,0.044,0.814,0.142,CCET
0.9992,REBGLO,0.041,0.827,0.131,CCET
-0.6486,REBGLO,0.072,0.88,0.048,CCET
-0.3506,REBGLO,0.051,0.908,0.04,CCET
0.9994,REBGLO,0.074,0.777,0.149,CCET
1.0,REBGLO,0.014,0.782,0.205,CCET
0.9995,REBGLO,0.009,0.89,0.101,CCET
-1.0,REBGLO,0.153,0.766,0.081,CCET
1.0,REBGLO,0.053,0.852,0.094,CCET
1.0,REBGLO,0.065,0.821,0.114,CCET
0.9864,REBGLO,0.03,0.899,0.071,CCET
0.9944,REBGLO,0.023,0.866,0.111,CCET
0.9831,REBGLO,0.025,0.89,0.085,CCET
0.9864,REBGLO,0.029,0.901,0.069,CCET
0.9538,REBGLO,0.017,0.93,0.053,CCET
0.9612,REBGLO,0.0,0.902,0.098,CCET
0.997,REBGLO,0.003,0.875,0.122,CCET
0.9926,REBGLO,0.007,0.903,0.089,CCET
0.9538,REBGLO,0.017,0.93,0.053,CCET
0.9796,REBGLO,0.0,0.791,0.209,CCET
0.9667,REBGLO,0.008,0.877,0.115,CCET
0.9993,REBGLO,0.04,0.808,0.152,CCET
0.9399,REBGLO,0.017,0.946,0.037,CCET
0.991,REBGLO,0.033,0.796,0.171,CCET
0.3462,REBGLO,0.059,0.82,0.121,CCET
-0.6486,REBGLO,0.071,0.882,0.047,CCET
0.9007,REBGLO,0.051,0.814,0.134,CCET
0.4005,REBGLO,0.0,0.915,0.085,CCET
0.9985,REBGLO,0.033,0.752,0.214,CCET
0.9947,REBGLO,0.034,0.876,0.09,CCET
-0.6486,REBGLO,0.07,0.883,0.047,CCET
0.9941,REBGLO,0.034,0.878,0.088,CCET
0.9937,REBGLO,0.046,0.84,0.113,CCET
0.9963,REBGLO,0.034,0.863,0.103,CCET
0.9957,REBGLO,0.01,0.88,0.11,CCET
0.9955,REBGLO,0.009,0.889,0.102,CCET
-0.9895,REBGLO,0.01,0.987,0.003,CCET
0.9816,REBGLO,0.005,0.919,0.077,CCET
0.9974,REBGLO,0.036,0.843,0.121,CCET
0.9977,REBGLO,0.015,0.875,0.11,CCET
0.9848,REBGLO,0.038,0.853,0.109,CCET
0.9931,REBGLO,0.008,0.891,0.101,CCET
-0.872,REBGLO,0.085,0.861,0.054,CCET
0.529,REBGLO,0.133,0.72,0.147,CCET
0.9837,REBGLO,0.034,0.876,0.09,CCET
0.5192,REBGLO,0.054,0.87,0.076,CCET
0.5267,REBGLO,0.018,0.921,0.061,CCET
0.5346,REBGLO,0.12,0.728,0.152,CCET
0.7579,REBGLO,0.0,0.939,0.061,CCET
0.9642,REBGLO,0.0,0.895,0.105,CCET
0.4607,REBGLO,0.1,0.778,0.121,CCET
-1.0,REBGLO,0.089,0.883,0.029,CCET
0.9978,REBGLO,0.057,0.819,0.124,CCET
0.9988,REBGLO,0.046,0.831,0.123,CCET
0.9921,REBGLO,0.007,0.927,0.067,CCET
0.9929,REBGLO,0.007,0.926,0.067,CCET
0.9978,REBGLO,0.058,0.817,0.125,CCET
0.9154,REBGLO,0.051,0.871,0.078,CCET
0.9664,REBGLO,0.015,0.902,0.083,CCET
