compound,name,negative,neutral,positive,ticker
0.9974,REBGLO,0.005,0.837,0.158,CID
0.0772,REBGLO,0.0,0.982,0.018,CID
0.5622,REBGLO,0.013,0.966,0.021,CID
0.9994,REBGLO,0.009,0.938,0.053,CID
0.9979,REBGLO,0.0,0.807,0.193,CID
-0.9636,REBGLO,0.06,0.917,0.023,CID
0.6553,REBGLO,0.0,0.9,0.1,CID
0.9413,REBGLO,0.011,0.949,0.04,CID
0.9984,REBGLO,0.035,0.911,0.054,CID
0.4824,REBGLO,0.014,0.967,0.019,CID
0.7125,REBGLO,0.015,0.959,0.026,CID
0.9994,REBGLO,0.074,0.777,0.149,CID
0.9997,REBGLO,0.027,0.861,0.113,CID
-1.0,REBGLO,0.153,0.766,0.081,CID
0.9993,REBGLO,0.021,0.886,0.092,CID
0.9992,REBGLO,0.035,0.866,0.099,CID
0.9794,REBGLO,0.049,0.891,0.06,CID
-0.9844,REBGLO,0.106,0.863,0.031,CID
0.9413,REBGLO,0.011,0.949,0.04,CID
0.9413,REBGLO,0.011,0.949,0.04,CID
-0.9895,REBGLO,0.01,0.987,0.003,CID
0.0258,REBGLO,0.155,0.68,0.165,CID
0.7125,REBGLO,0.014,0.962,0.024,CID
0.8286,REBGLO,0.0,0.981,0.019,CID
0.0258,REBGLO,0.156,0.678,0.166,CID
-0.7021,REBGLO,0.017,0.967,0.016,CID
0.0,REBGLO,0.0,1.0,0.0,CID
0.0772,REBGLO,0.0,0.983,0.017,CID
0.2905,REBGLO,0.0,0.99,0.01,CID
0.2905,REBGLO,0.0,0.99,0.01,CID
0.9618,REBGLO,0.02,0.876,0.104,CID
-0.2263,REBGLO,0.008,0.988,0.004,CID
0.9936,REBGLO,0.005,0.848,0.147,CID
0.7568,REBGLO,0.019,0.946,0.034,CID
-1.0,REBGLO,0.089,0.883,0.029,CID
0.9925,REBGLO,0.023,0.859,0.118,CID
0.9934,REBGLO,0.026,0.856,0.118,CID
0.9928,REBGLO,0.022,0.865,0.113,CID
-0.8619,REBGLO,0.038,0.944,0.018,CID
0.9937,REBGLO,0.018,0.866,0.116,CID
0.7297,REBGLO,0.014,0.96,0.026,CID
0.368,REBGLO,0.023,0.953,0.024,CID
0.694,REBGLO,0.018,0.954,0.028,CID
0.2342,REBGLO,0.019,0.962,0.019,CID
0.9988,REBGLO,0.028,0.852,0.12,CID
0.9577,REBGLO,0.042,0.885,0.072,CID
0.0258,REBGLO,0.153,0.684,0.163,CID
0.997,REBGLO,0.007,0.9,0.093,CID
0.0258,REBGLO,0.154,0.68,0.165,CID
-0.9427,REBGLO,0.133,0.846,0.021,CID
0.1901,REBGLO,0.085,0.781,0.134,CID
0.8582,REBGLO,0.047,0.87,0.083,CID
0.354,REBGLO,0.071,0.85,0.079,CID
0.9088,REBGLO,0.048,0.876,0.075,CID
0.9004,REBGLO,0.0,0.927,0.073,CID
-0.8952,REBGLO,0.118,0.803,0.079,CID
0.7676,REBGLO,0.005,0.989,0.006,CID
0.999,REBGLO,0.017,0.737,0.247,CID
0.999,REBGLO,0.017,0.733,0.25,CID
-0.09,REBGLO,0.153,0.685,0.162,CID
-0.0173,REBGLO,0.023,0.956,0.021,CID
0.6523,REBGLO,0.01,0.97,0.02,CID
0.4824,REBGLO,0.014,0.967,0.019,CID
0.7125,REBGLO,0.014,0.961,0.025,CID
0.9995,REBGLO,0.075,0.812,0.113,CID
0.7125,REBGLO,0.013,0.964,0.023,CID
0.7125,REBGLO,0.014,0.962,0.024,CID
0.7297,REBGLO,0.014,0.959,0.027,CID
-0.0688,REBGLO,0.021,0.962,0.017,CID
-0.9651,REBGLO,0.083,0.85,0.067,CID
0.6523,REBGLO,0.009,0.972,0.019,CID
0.7983,REBGLO,0.009,0.968,0.023,CID
0.9464,REBGLO,0.0,0.83,0.17,CID
0.964,REBGLO,0.043,0.882,0.076,CID
0.6372,REBGLO,0.039,0.916,0.045,CID
0.6126,REBGLO,0.042,0.911,0.047,CID
-0.9979,REBGLO,0.064,0.889,0.047,CID
-0.9987,REBGLO,0.07,0.879,0.05,CID
-0.9986,REBGLO,0.071,0.881,0.048,CID
-0.9981,REBGLO,0.071,0.88,0.049,CID
-0.999,REBGLO,0.072,0.878,0.05,CID
-0.9979,REBGLO,0.067,0.886,0.047,CID
-0.9579,REBGLO,0.07,0.871,0.058,CID
0.9843,REBGLO,0.0,0.831,0.169,CID
0.9997,REBGLO,0.036,0.842,0.122,CID
0.2342,REBGLO,0.02,0.961,0.019,CID
0.2342,REBGLO,0.019,0.962,0.019,CID
0.983,REBGLO,0.059,0.846,0.095,CID
-0.9186,REBGLO,0.059,0.912,0.029,CID
-0.998,REBGLO,0.069,0.883,0.048,CID
-0.9986,REBGLO,0.066,0.885,0.048,CID
-0.2702,REBGLO,0.095,0.812,0.094,CID
0.9933,REBGLO,0.036,0.875,0.089,CID
-0.9857,REBGLO,0.13,0.782,0.088,CID
-0.9312,REBGLO,0.037,0.941,0.022,CID
0.824,REBGLO,0.009,0.964,0.027,CID
0.6408,REBGLO,0.019,0.955,0.026,CID
-0.9454,REBGLO,0.121,0.86,0.019,CID
0.7149,REBGLO,0.0,0.885,0.115,CID
0.5904,REBGLO,0.015,0.96,0.025,CID
