compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,CLN
0.9987,REBGLO,0.046,0.82,0.134,CLN
-0.9636,REBGLO,0.06,0.917,0.023,CLN
0.999,REBGLO,0.042,0.855,0.102,CLN
1.0,REBGLO,0.014,0.782,0.205,CLN
-1.0,REBGLO,0.153,0.766,0.081,CLN
1.0,REBGLO,0.065,0.821,0.114,CLN
0.9831,REBGLO,0.025,0.89,0.085,CLN
0.9991,REBGLO,0.028,0.806,0.166,CLN
-1.0,REBGLO,0.089,0.883,0.029,CLN
0.9988,REBGLO,0.028,0.852,0.12,CLN
0.9826,REBGLO,0.061,0.809,0.13,CLN
0.9694,REBGLO,0.023,0.9,0.076,CLN
0.9811,REBGLO,0.053,0.837,0.11,CLN
-0.9992,REBGLO,0.139,0.767,0.094,CLN
0.9775,REBGLO,0.01,0.893,0.097,CLN
1.0,REBGLO,0.029,0.825,0.146,CLN
-0.9651,REBGLO,0.083,0.85,0.067,CLN
-0.8339,REBGLO,0.047,0.945,0.008,CLN
-0.9987,REBGLO,0.07,0.879,0.05,CLN
-0.9986,REBGLO,0.071,0.881,0.048,CLN
-0.9981,REBGLO,0.071,0.88,0.049,CLN
-0.999,REBGLO,0.072,0.878,0.05,CLN
-0.9979,REBGLO,0.067,0.886,0.047,CLN
-0.9579,REBGLO,0.07,0.871,0.058,CLN
0.9997,REBGLO,0.036,0.842,0.122,CLN
1.0,REBGLO,0.027,0.826,0.147,CLN
0.9781,REBGLO,0.045,0.884,0.071,CLN
0.5573,REBGLO,0.054,0.881,0.065,CLN
-0.998,REBGLO,0.069,0.883,0.048,CLN
-0.9986,REBGLO,0.066,0.885,0.048,CLN
-0.9631,REBGLO,0.106,0.843,0.051,CLN
-0.9312,REBGLO,0.037,0.941,0.022,CLN
0.9955,REBGLO,0.021,0.877,0.102,CLN
0.9983,REBGLO,0.005,0.857,0.138,CLN
-0.9997,REBGLO,0.064,0.897,0.038,CLN
0.9979,REBGLO,0.005,0.978,0.017,CLN
0.975,REBGLO,0.017,0.904,0.079,CLN
0.9881,REBGLO,0.113,0.761,0.127,CLN
0.999,REBGLO,0.041,0.842,0.117,CLN
0.9941,REBGLO,0.023,0.878,0.099,CLN
0.994,REBGLO,0.048,0.857,0.095,CLN
0.9998,REBGLO,0.076,0.755,0.17,CLN
0.9977,REBGLO,0.005,0.843,0.152,CLN
-0.9997,REBGLO,0.088,0.888,0.024,CLN
0.9945,REBGLO,0.043,0.88,0.077,CLN
0.9998,REBGLO,0.056,0.849,0.095,CLN
-0.9965,REBGLO,0.08,0.866,0.054,CLN
-0.997,REBGLO,0.078,0.866,0.057,CLN
-0.7736,REBGLO,0.073,0.856,0.071,CLN
-0.7736,REBGLO,0.073,0.856,0.071,CLN
0.0258,REBGLO,0.0,0.979,0.021,CLN
0.9945,REBGLO,0.043,0.88,0.077,CLN
0.9945,REBGLO,0.043,0.88,0.077,CLN
-0.2278,REBGLO,0.005,0.992,0.004,CLN
-0.4878,REBGLO,0.005,0.991,0.004,CLN
0.9996,REBGLO,0.01,0.756,0.234,CLN
0.9996,REBGLO,0.009,0.764,0.227,CLN
0.9996,REBGLO,0.01,0.755,0.236,CLN
0.9996,REBGLO,0.01,0.755,0.235,CLN
0.9996,REBGLO,0.01,0.755,0.235,CLN
0.9402,REBGLO,0.01,0.897,0.092,CLN
0.9985,REBGLO,0.019,0.849,0.131,CLN
0.9204,REBGLO,0.0,0.951,0.049,CLN
0.9986,REBGLO,0.019,0.847,0.134,CLN
0.9898,REBGLO,0.041,0.867,0.092,CLN
0.9938,REBGLO,0.0,0.944,0.056,CLN
0.9985,REBGLO,0.019,0.849,0.131,CLN
0.9985,REBGLO,0.019,0.849,0.131,CLN
0.9981,REBGLO,0.015,0.95,0.035,CLN
-0.5983,REBGLO,0.091,0.835,0.075,CLN
0.998,REBGLO,0.021,0.84,0.139,CLN
0.9995,REBGLO,0.023,0.871,0.106,CLN
0.997,REBGLO,0.041,0.88,0.08,CLN
0.9999,REBGLO,0.032,0.843,0.125,CLN
0.9964,REBGLO,0.078,0.805,0.117,CLN
0.995,REBGLO,0.042,0.88,0.078,CLN
0.9936,REBGLO,0.0,0.835,0.165,CLN
0.9229,REBGLO,0.055,0.86,0.085,CLN
1.0,REBGLO,0.023,0.834,0.143,CLN
0.9994,REBGLO,0.067,0.838,0.095,CLN
-0.9998,REBGLO,0.091,0.885,0.024,CLN
0.9034,REBGLO,0.028,0.938,0.034,CLN
0.9156,REBGLO,0.039,0.903,0.057,CLN
0.9894,REBGLO,0.012,0.805,0.183,CLN
0.9959,REBGLO,0.018,0.844,0.138,CLN
0.9999,REBGLO,0.031,0.881,0.088,CLN
0.7802,REBGLO,0.014,0.968,0.018,CLN
0.9845,REBGLO,0.084,0.825,0.09,CLN
-0.994,REBGLO,0.086,0.853,0.061,CLN
0.9456,REBGLO,0.02,0.929,0.051,CLN
0.9992,REBGLO,0.028,0.856,0.116,CLN
0.9456,REBGLO,0.02,0.929,0.051,CLN
0.9181,REBGLO,0.061,0.841,0.098,CLN
0.9993,REBGLO,0.037,0.851,0.112,CLN
0.8992,REBGLO,0.019,0.934,0.047,CLN
0.9708,REBGLO,0.03,0.89,0.08,CLN
0.9901,REBGLO,0.034,0.907,0.059,CLN
-0.6267,REBGLO,0.082,0.829,0.09,CLN
-0.4588,REBGLO,0.084,0.822,0.094,CLN
