compound,name,negative,neutral,positive,ticker
-0.7096,REBGLO,0.018,0.978,0.004,COB
0.34,REBGLO,0.0,0.982,0.018,COB
-0.0943,REBGLO,0.02,0.963,0.017,COB
0.5622,REBGLO,0.013,0.966,0.021,COB
0.34,REBGLO,0.015,0.967,0.018,COB
-0.5719,REBGLO,0.021,0.973,0.006,COB
-0.25,REBGLO,0.011,0.98,0.009,COB
-0.4939,REBGLO,0.021,0.969,0.011,COB
-0.5719,REBGLO,0.019,0.975,0.006,COB
-0.3612,REBGLO,0.014,0.979,0.006,COB
0.0857,REBGLO,0.015,0.972,0.013,COB
0.4648,REBGLO,0.01,0.973,0.017,COB
-0.1027,REBGLO,0.016,0.969,0.015,COB
0.2103,REBGLO,0.016,0.967,0.018,COB
-0.7096,REBGLO,0.02,0.975,0.004,COB
-0.4767,REBGLO,0.019,0.97,0.01,COB
-0.2185,REBGLO,0.019,0.968,0.013,COB
0.5719,REBGLO,0.0,0.986,0.014,COB
0.5719,REBGLO,0.0,0.986,0.014,COB
0.3612,REBGLO,0.007,0.979,0.014,COB
-0.4767,REBGLO,0.018,0.973,0.009,COB
-0.2263,REBGLO,0.017,0.971,0.012,COB
0.5719,REBGLO,0.0,0.988,0.012,COB
0.5719,REBGLO,0.0,0.989,0.011,COB
0.0772,REBGLO,0.01,0.979,0.011,COB
0.3612,REBGLO,0.005,0.984,0.011,COB
-0.1027,REBGLO,0.015,0.973,0.012,COB
0.2263,REBGLO,0.0,0.993,0.007,COB
0.2263,REBGLO,0.0,0.994,0.006,COB
0.34,REBGLO,0.0,0.989,0.011,COB
0.3612,REBGLO,0.005,0.984,0.011,COB
0.5719,REBGLO,0.0,0.985,0.015,COB
0.0772,REBGLO,0.013,0.973,0.014,COB
-0.4767,REBGLO,0.015,0.977,0.008,COB
-0.7964,REBGLO,0.031,0.963,0.005,COB
-0.7964,REBGLO,0.025,0.971,0.004,COB
-0.4883,REBGLO,0.03,0.95,0.02,COB
-0.4708,REBGLO,0.023,0.964,0.013,COB
-0.5994,REBGLO,0.03,0.951,0.019,COB
0.6166,REBGLO,0.01,0.972,0.018,COB
0.0,REBGLO,0.01,0.98,0.01,COB
-0.7579,REBGLO,0.026,0.964,0.009,COB
