compound,name,negative,neutral,positive,ticker
-0.9977,REBGLO,0.091,0.862,0.047,COP
-0.9913,REBGLO,0.536,0.361,0.103,COP
0.9511,REBGLO,0.099,0.798,0.103,COP
-0.9999,REBGLO,0.106,0.813,0.082,COP
0.9796,REBGLO,0.014,0.97,0.016,COP
0.9371,REBGLO,0.029,0.887,0.084,COP
0.9995,REBGLO,0.057,0.812,0.131,COP
-0.9964,REBGLO,0.098,0.806,0.095,COP
-0.9964,REBGLO,0.098,0.806,0.095,COP
0.9845,REBGLO,0.084,0.825,0.09,COP
-0.9725,REBGLO,0.137,0.774,0.089,COP
-0.9827,REBGLO,0.294,0.647,0.059,COP
-0.8174,REBGLO,0.18,0.745,0.076,COP
-0.9423,REBGLO,0.165,0.761,0.073,COP
-0.0192,REBGLO,0.122,0.759,0.119,COP
0.2551,REBGLO,0.055,0.865,0.08,COP
-0.9944,REBGLO,0.173,0.753,0.074,COP
0.875,REBGLO,0.025,0.943,0.031,COP
-0.9944,REBGLO,0.174,0.751,0.074,COP
0.999,REBGLO,0.049,0.828,0.124,COP
-0.9954,REBGLO,0.059,0.895,0.046,COP
-0.9888,REBGLO,0.098,0.807,0.095,COP
0.9712,REBGLO,0.093,0.794,0.113,COP
-0.9998,REBGLO,0.109,0.801,0.091,COP
0.9944,REBGLO,0.083,0.826,0.091,COP
0.9944,REBGLO,0.083,0.826,0.091,COP
-0.8779,REBGLO,0.084,0.845,0.071,COP
-0.9998,REBGLO,0.109,0.801,0.091,COP
