compound,name,negative,neutral,positive,ticker
0.9974,REBGLO,0.036,0.843,0.121,CRS
0.8924,REBGLO,0.059,0.855,0.086,CRS
0.3071,REBGLO,0.019,0.926,0.055,CRS
0.9998,REBGLO,0.056,0.849,0.095,CRS
0.9816,REBGLO,0.026,0.874,0.1,CRS
-0.9231,REBGLO,0.155,0.806,0.04,CRS
0.9997,REBGLO,0.042,0.865,0.093,CRS
0.9839,REBGLO,0.025,0.89,0.086,CRS
-0.4497,REBGLO,0.093,0.875,0.033,CRS
0.2732,REBGLO,0.023,0.955,0.023,CRS
-0.5954,REBGLO,0.06,0.882,0.058,CRS
-0.9785,REBGLO,0.166,0.749,0.085,CRS
-0.9535,REBGLO,0.137,0.779,0.084,CRS
-0.9119,REBGLO,0.132,0.774,0.095,CRS
-0.7796,REBGLO,0.06,0.883,0.056,CRS
0.9337,REBGLO,0.024,0.911,0.065,CRS
0.9999,REBGLO,0.049,0.783,0.168,CRS
0.9998,REBGLO,0.037,0.865,0.099,CRS
0.7681,REBGLO,0.058,0.832,0.11,CRS
-0.065,REBGLO,0.128,0.734,0.138,CRS
-0.9998,REBGLO,0.109,0.801,0.091,CRS
0.8778,REBGLO,0.076,0.805,0.119,CRS
0.9724,REBGLO,0.038,0.891,0.071,CRS
-0.9998,REBGLO,0.109,0.801,0.091,CRS
