compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,CRTL
0.4824,REBGLO,0.015,0.965,0.02,CRTL
0.368,REBGLO,0.01,0.976,0.014,CRTL
-0.9937,REBGLO,0.119,0.821,0.061,CRTL
0.9996,REBGLO,0.074,0.817,0.109,CRTL
0.9038,REBGLO,0.019,0.903,0.078,CRTL
0.9162,REBGLO,0.044,0.848,0.108,CRTL
0.7885,REBGLO,0.066,0.807,0.127,CRTL
0.4767,REBGLO,0.038,0.844,0.118,CRTL
0.9138,REBGLO,0.029,0.851,0.12,CRTL
0.8641,REBGLO,0.029,0.818,0.153,CRTL
-0.7096,REBGLO,0.018,0.978,0.004,CRTL
-0.5719,REBGLO,0.017,0.978,0.005,CRTL
0.9524,REBGLO,0.019,0.897,0.084,CRTL
0.0772,REBGLO,0.012,0.976,0.012,CRTL
-0.4939,REBGLO,0.017,0.974,0.009,CRTL
-0.9935,REBGLO,0.129,0.806,0.065,CRTL
0.9956,REBGLO,0.009,0.818,0.174,CRTL
0.9882,REBGLO,0.015,0.89,0.095,CRTL
0.0857,REBGLO,0.015,0.972,0.013,CRTL
0.5622,REBGLO,0.013,0.966,0.021,CRTL
-0.3612,REBGLO,0.011,0.985,0.005,CRTL
-0.7964,REBGLO,0.027,0.968,0.005,CRTL
-0.3612,REBGLO,0.012,0.982,0.005,CRTL
-0.5719,REBGLO,0.018,0.977,0.005,CRTL
0.9902,REBGLO,0.006,0.866,0.129,CRTL
0.9971,REBGLO,0.015,0.895,0.089,CRTL
0.9968,REBGLO,0.03,0.842,0.129,CRTL
0.9987,REBGLO,0.046,0.82,0.134,CRTL
0.9826,REBGLO,0.011,0.913,0.076,CRTL
-0.9937,REBGLO,0.116,0.824,0.06,CRTL
-0.6444,REBGLO,0.085,0.831,0.084,CRTL
-0.2263,REBGLO,0.015,0.974,0.011,CRTL
0.34,REBGLO,0.015,0.967,0.018,CRTL
0.8481,REBGLO,0.0,0.977,0.023,CRTL
-0.2263,REBGLO,0.016,0.972,0.012,CRTL
0.9992,REBGLO,0.044,0.814,0.142,CRTL
0.3612,REBGLO,0.006,0.982,0.012,CRTL
0.4939,REBGLO,0.016,0.964,0.021,CRTL
-0.7096,REBGLO,0.03,0.963,0.006,CRTL
-0.5719,REBGLO,0.023,0.97,0.007,CRTL
-0.5719,REBGLO,0.021,0.973,0.006,CRTL
-0.7964,REBGLO,0.036,0.958,0.006,CRTL
-0.2263,REBGLO,0.024,0.96,0.017,CRTL
0.4824,REBGLO,0.014,0.967,0.019,CRTL
0.7125,REBGLO,0.015,0.959,0.026,CRTL
0.9927,REBGLO,0.009,0.872,0.119,CRTL
1.0,REBGLO,0.014,0.782,0.205,CRTL
0.9995,REBGLO,0.009,0.89,0.101,CRTL
-1.0,REBGLO,0.153,0.766,0.081,CRTL
0.9944,REBGLO,0.023,0.866,0.111,CRTL
0.9612,REBGLO,0.0,0.902,0.098,CRTL
0.965,REBGLO,0.017,0.883,0.1,CRTL
0.9991,REBGLO,0.028,0.806,0.166,CRTL
0.079,REBGLO,0.036,0.927,0.038,CRTL
0.9985,REBGLO,0.029,0.807,0.164,CRTL
0.9873,REBGLO,0.022,0.826,0.152,CRTL
0.4602,REBGLO,0.066,0.863,0.07,CRTL
0.87,REBGLO,0.005,0.969,0.026,CRTL
0.368,REBGLO,0.01,0.977,0.013,CRTL
0.981,REBGLO,0.02,0.915,0.065,CRTL
-0.0173,REBGLO,0.02,0.962,0.018,CRTL
0.0857,REBGLO,0.014,0.973,0.013,CRTL
-0.3612,REBGLO,0.016,0.977,0.007,CRTL
0.9957,REBGLO,0.01,0.88,0.11,CRTL
0.368,REBGLO,0.01,0.977,0.013,CRTL
-0.0688,REBGLO,0.022,0.96,0.018,CRTL
0.3612,REBGLO,0.007,0.979,0.014,CRTL
0.2263,REBGLO,0.0,0.993,0.007,CRTL
0.3612,REBGLO,0.008,0.975,0.017,CRTL
0.9955,REBGLO,0.009,0.889,0.102,CRTL
-0.765,REBGLO,0.03,0.96,0.009,CRTL
-0.2263,REBGLO,0.017,0.97,0.012,CRTL
-0.7096,REBGLO,0.032,0.961,0.007,CRTL
0.9931,REBGLO,0.008,0.891,0.101,CRTL
0.7125,REBGLO,0.014,0.962,0.024,CRTL
0.9847,REBGLO,0.025,0.872,0.103,CRTL
0.9816,REBGLO,0.029,0.81,0.161,CRTL
0.9792,REBGLO,0.014,0.872,0.114,CRTL
-0.0772,REBGLO,0.007,0.986,0.006,CRTL
0.5267,REBGLO,0.018,0.921,0.061,CRTL
0.7568,REBGLO,0.019,0.946,0.034,CRTL
0.9948,REBGLO,0.047,0.86,0.093,CRTL
-1.0,REBGLO,0.089,0.883,0.029,CRTL
0.9816,REBGLO,0.029,0.806,0.164,CRTL
0.7096,REBGLO,0.111,0.657,0.232,CRTL
-0.0772,REBGLO,0.007,0.987,0.006,CRTL
-0.4767,REBGLO,0.029,0.955,0.016,CRTL
0.9154,REBGLO,0.051,0.871,0.078,CRTL
0.7479,REBGLO,0.045,0.882,0.073,CRTL
0.8861,REBGLO,0.0,0.906,0.094,CRTL
0.9664,REBGLO,0.015,0.902,0.083,CRTL
0.967,REBGLO,0.032,0.825,0.143,CRTL
-0.1027,REBGLO,0.015,0.971,0.014,CRTL
-0.3182,REBGLO,0.011,0.981,0.008,CRTL
-0.6486,REBGLO,0.027,0.962,0.011,CRTL
0.0772,REBGLO,0.011,0.976,0.012,CRTL
-0.3612,REBGLO,0.01,0.986,0.004,CRTL
-0.5719,REBGLO,0.015,0.98,0.004,CRTL
-0.25,REBGLO,0.011,0.98,0.009,CRTL
