compound,name,negative,neutral,positive,ticker
0.9953,REBGLO,0.0,0.68,0.32,CRYPT
0.0516,REBGLO,0.046,0.895,0.059,CRYPT
1.0,REBGLO,0.014,0.782,0.205,CRYPT
0.9818,REBGLO,0.019,0.935,0.046,CRYPT
-1.0,REBGLO,0.089,0.883,0.029,CRYPT
0.9925,REBGLO,0.023,0.859,0.118,CRYPT
0.9934,REBGLO,0.026,0.856,0.118,CRYPT
0.9928,REBGLO,0.022,0.865,0.113,CRYPT
0.9937,REBGLO,0.018,0.866,0.116,CRYPT
0.9979,REBGLO,0.005,0.978,0.017,CRYPT
0.7174,REBGLO,0.008,0.961,0.031,CRYPT
0.7174,REBGLO,0.008,0.961,0.031,CRYPT
0.7174,REBGLO,0.008,0.961,0.031,CRYPT
0.7174,REBGLO,0.008,0.961,0.031,CRYPT
0.4263,REBGLO,0.0,0.832,0.168,CRYPT
0.2695,REBGLO,0.101,0.788,0.111,CRYPT
0.5993,REBGLO,0.027,0.92,0.054,CRYPT
0.9838,REBGLO,0.008,0.827,0.165,CRYPT
-0.2278,REBGLO,0.005,0.992,0.004,CRYPT
-0.4878,REBGLO,0.005,0.991,0.004,CRYPT
0.9996,REBGLO,0.01,0.756,0.234,CRYPT
0.9996,REBGLO,0.009,0.764,0.227,CRYPT
0.9996,REBGLO,0.01,0.755,0.236,CRYPT
0.9796,REBGLO,0.014,0.97,0.016,CRYPT
0.9996,REBGLO,0.01,0.755,0.235,CRYPT
0.9996,REBGLO,0.01,0.755,0.235,CRYPT
0.9997,REBGLO,0.042,0.865,0.093,CRYPT
0.0772,REBGLO,0.006,0.988,0.006,CRYPT
0.7096,REBGLO,0.009,0.97,0.021,CRYPT
-0.2695,REBGLO,0.007,0.987,0.006,CRYPT
0.0772,REBGLO,0.002,0.995,0.002,CRYPT
-0.0772,REBGLO,0.004,0.992,0.004,CRYPT
-0.6103,REBGLO,0.005,0.991,0.003,CRYPT
0.1926,REBGLO,0.024,0.95,0.026,CRYPT
0.8552,REBGLO,0.048,0.863,0.089,CRYPT
0.9883,REBGLO,0.015,0.855,0.131,CRYPT
0.9738,REBGLO,0.0,0.902,0.098,CRYPT
-0.0312,REBGLO,0.083,0.832,0.085,CRYPT
0.9842,REBGLO,0.01,0.971,0.019,CRYPT
0.9802,REBGLO,0.023,0.863,0.114,CRYPT
0.0516,REBGLO,0.039,0.911,0.05,CRYPT
0.9998,REBGLO,0.037,0.865,0.099,CRYPT
-0.9015,REBGLO,0.17,0.83,0.0,CRYPT
0.9962,REBGLO,0.037,0.842,0.121,CRYPT
0.9316,REBGLO,0.044,0.672,0.283,CRYPT
0.9996,REBGLO,0.043,0.825,0.132,CRYPT
-0.9538,REBGLO,0.006,0.993,0.001,CRYPT
0.2516,REBGLO,0.015,0.961,0.024,CRYPT
0.9978,REBGLO,0.032,0.86,0.108,CRYPT
0.9954,REBGLO,0.07,0.825,0.105,CRYPT
0.9945,REBGLO,0.0,0.987,0.013,CRYPT
0.8586,REBGLO,0.03,0.881,0.09,CRYPT
0.4404,REBGLO,0.0,0.977,0.023,CRYPT
0.9477,REBGLO,0.0,0.893,0.107,CRYPT
0.992,REBGLO,0.038,0.86,0.101,CRYPT
0.9432,REBGLO,0.04,0.916,0.044,CRYPT
0.9432,REBGLO,0.04,0.916,0.044,CRYPT
-0.5308,REBGLO,0.055,0.881,0.063,CRYPT
-0.8687,REBGLO,0.033,0.967,0.0,CRYPT
