compound,name,negative,neutral,positive,ticker
-0.6486,REBGLO,0.072,0.88,0.048,CTF
-0.3506,REBGLO,0.051,0.908,0.04,CTF
-0.6486,REBGLO,0.071,0.882,0.047,CTF
-0.6486,REBGLO,0.07,0.883,0.047,CTF
0.8418,REBGLO,0.042,0.835,0.123,CTF
0.9565,REBGLO,0.028,0.896,0.076,CTF
-0.8555,REBGLO,0.078,0.882,0.041,CTF
-0.6486,REBGLO,0.075,0.876,0.05,CTF
0.7087,REBGLO,0.0,0.918,0.082,CTF
0.998,REBGLO,0.089,0.752,0.16,CTF
0.9457,REBGLO,0.032,0.898,0.07,CTF
0.9659,REBGLO,0.026,0.832,0.142,CTF
0.9827,REBGLO,0.024,0.892,0.084,CTF
0.9997,REBGLO,0.042,0.865,0.093,CTF
0.9954,REBGLO,0.012,0.908,0.08,CTF
0.9512,REBGLO,0.0,0.87,0.13,CTF
0.8834,REBGLO,0.0,0.827,0.173,CTF
0.981,REBGLO,0.045,0.801,0.154,CTF
0.9779,REBGLO,0.023,0.894,0.083,CTF
-0.9964,REBGLO,0.098,0.806,0.095,CTF
-0.9964,REBGLO,0.098,0.806,0.095,CTF
0.9989,REBGLO,0.047,0.786,0.167,CTF
0.657,REBGLO,0.066,0.857,0.077,CTF
0.9365,REBGLO,0.0,0.884,0.116,CTF
0.9999,REBGLO,0.049,0.783,0.168,CTF
0.9998,REBGLO,0.037,0.865,0.099,CTF
-0.3506,REBGLO,0.064,0.886,0.05,CTF
0.9989,REBGLO,0.047,0.786,0.167,CTF
0.0,REBGLO,0.0,1.0,0.0,CTF
0.0,REBGLO,0.0,1.0,0.0,CTF
0.9721,REBGLO,0.0,0.843,0.157,CTF
0.296,REBGLO,0.0,0.738,0.262,CTF
0.296,REBGLO,0.0,0.738,0.262,CTF
0.296,REBGLO,0.0,0.738,0.262,CTF
